"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",258,1.55421686746988,0.834890840960556,11
"K00002",17,1,0,4
"K00003",461,1.00435729847495,0.0933520056018673,25
"K00004",2,1,0,1
"K00005",5,1,0,3
"K00008",106,1.04950495049505,0.409297877437994,9
"K00009",1,1,NA,1
"K00010",39,1.02631578947368,0.162221421130763,4
"K00012",536,1.02681992337165,0.161711818466851,23
"K00013",553,1.0109689213894,0.104251970683174,25
"K00014",613,1.08112874779541,0.273273822995633,26
"K00015",159,1.00632911392405,0.079555728417573,8
"K00016",23,1.04545454545455,0.21320071635561,9
"K00018",149,1,0,5
"K00019",62,1,0,2
"K00020",500,1.38504155124654,0.599720361633309,18
"K00021",8,1,0,2
"K00023",112,1.01818181818182,0.134220015312268,1
"K00024",605,1.08228980322004,0.275051865594122,24
"K00027",165,1.04430379746835,0.20642349360381,15
"K00029",392,1.10734463276836,0.344610072190242,12
"K00030",57,1.01785714285714,0.133630620956212,9
"K00031",576,1.03783783783784,0.200204793188208,23
"K00033",246,1.03361344537815,0.180611857844347,11
"K00034",7,1,0,5
"K00035",6,1,0,1
"K00036",346,1.02366863905325,0.152239960592184,14
"K00038",81,1.05194805194805,0.223377418174046,3
"K00039",6,1,0,1
"K00040",35,1,0,3
"K00041",11,1,0,2
"K00042",84,1.05,0.219320007803175,2
"K00045",7,1,0,2
"K00046",102,1.15909090909091,0.367856907348797,7
"K00050",111,1,0,9
"K00051",1,1,NA,1
"K00052",560,1.00900900900901,0.112044947747782,25
"K00053",545,1,0,25
"K00054",107,1,0,7
"K00055",3,1,0,1
"K00057",526,1.01544401544402,0.12342977295584,23
"K00058",844,1.50177935943061,0.904039479680495,26
"K00059",2088,3.58762886597938,2.11096266830549,26
"K00060",116,1,0,6
"K00064",54,1.74193548387097,0.444802722974569,2
"K00065",51,1,0,5
"K00067",423,1.08461538461538,0.278665993636633,22
"K00068",1,1,NA,1
"K00074",266,1.57396449704142,0.737294942384234,12
"K00075",500,1,0,24
"K00076",6,1,0,2
"K00077",334,1.47787610619469,1.01190553035344,15
"K00082",2,1,0,1
"K00087",10,1,0,4
"K00088",617,1.04222972972973,0.246615866024923,27
"K00091",84,1.10526315789474,0.349435635214691,7
"K00096",59,1,0,4
"K00097",459,1.06496519721578,0.246750860501118,18
"K00099",483,1,0,23
"K00100",224,1.28735632183908,0.788765714309154,13
"K00101",118,1.05357142857143,0.226182008918263,3
"K00102",40,1,0,3
"K00103",3,1,0,2
"K00104",229,1.09569377990431,0.294877128924994,20
"K00108",206,1.15730337078652,0.560445271009118,4
"K00111",422,1.07928388746803,0.270527497481433,22
"K00112",8,1,0,3
"K00113",10,1,0,3
"K00114",22,1.1,0.307793505625546,1
"K00116",36,1,0,6
"K00117",26,1,0,3
"K00121",298,1.17322834645669,0.409269824869894,9
"K00122",36,1,0,3
"K00123",348,1.34883720930233,1.05602708070672,14
"K00124",148,1.15625,0.442567669099634,4
"K00126",18,1,0,1
"K00127",142,1.20338983050847,0.607071181479468,3
"K00128",647,1.79224376731302,1.05858695458259,18
"K00130",128,1.13274336283186,0.526179368839336,4
"K00131",1,1,NA,1
"K00133",607,1.05199306759099,0.222205672886561,25
"K00134",841,1.61111111111111,0.761420477200918,23
"K00135",491,1.20343137254902,0.48087552236101,15
"K00137",10,1,0,2
"K00138",79,1,0,5
"K00140",198,1.13142857142857,0.338837963997024,9
"K00145",505,1.00198412698413,0.0445435403187374,24
"K00146",5,1,0,2
"K00147",466,1.00865800865801,0.0927451662809289,21
"K00150",78,1,0,6
"K00151",10,1,0,1
"K00153",6,1,0,1
