"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",524,1.86476868327402,0.91585481141237,4
"K00002",138,1,0,1
"K00003",862,1.2510885341074,0.43395437615094,9
"K00005",210,1,0,2
"K00007",72,1,0,1
"K00009",72,1,0,1
"K00010",92,1,0,1
"K00012",1057,1.32622333751568,0.469124508344051,10
"K00013",832,1,0,10
"K00014",1307,1.45707915273133,0.673640783769963,12
"K00015",197,1,0,2
"K00016",91,1,0,2
"K00018",549,1,0,6
"K00019",537,1.20674157303371,0.40542430026488,5
"K00020",1249,1.87256371814093,0.920379798255049,8
"K00021",240,1.53846153846154,0.500124054089491,2
"K00023",168,1,0,2
"K00024",608,1,0,9
"K00027",247,1,0,4
"K00029",789,1.10041841004184,0.300766884053545,10
"K00030",84,1,0,1
"K00031",1151,1.25108695652174,0.433874305526575,13
"K00032",92,1,0,1
"K00033",540,1,0,6
"K00034",188,1,0,2
"K00036",800,1.30718954248366,0.461706019526025,7
"K00039",72,1,0,1
"K00040",67,1,0,1
"K00042",540,1,0,6
"K00045",176,1,0,2
"K00046",210,1,0,2
"K00050",344,1,0,4
"K00052",897,1,0,12
"K00053",897,1,0,12
"K00054",76,1,0,2
"K00057",782,1,0,12
"K00058",1090,1.36591478696742,0.64264283592171,10
"K00059",3852,4.18695652173913,2.1392857457376,13
"K00060",223,1,0,3
"K00065",41,1,0,1
"K00066",92,1,0,1
"K00067",899,1.19072847682119,0.393135898469535,10
"K00074",456,1.46153846153846,0.844003744102692,4
"K00075",920,1,0,13
"K00077",851,1.67850098619329,0.467513100891252,7
"K00082",138,1,0,1
"K00087",67,1,0,1
"K00088",920,1,0,13
"K00090",164,1,0,2
"K00091",137,1,0,2
"K00096",23,1,0,1
"K00097",1032,1.18213058419244,0.386173353657399,11
"K00099",844,1,0,11
"K00100",680,1.25461254612546,0.43604564158223,6
"K00101",488,1,0,6
"K00102",72,1,0,1
"K00104",499,1,0,5
"K00108",705,1.29120879120879,0.45473614125238,7
"K00111",801,1.20996978851964,0.407594692404729,8
"K00112",139,1,0,2
"K00113",240,1,0,3
"K00114",176,1,0,2
"K00116",418,1.28220858895706,0.450766218841962,3
"K00117",265,1,0,3
"K00118",84,1,0,1
"K00121",722,1,0,8
"K00122",137,1,0,2
"K00123",843,1.71690427698574,0.760839620125752,6
"K00124",578,1.48205128205128,0.500319586744413,5
"K00126",188,1,0,2
"K00127",578,1.48205128205128,0.500319586744413,5
"K00128",1414,1.96662030598053,1.08239835276656,9
"K00130",609,1.46394230769231,0.499298627631945,5
"K00131",168,1,0,3
"K00133",1076,1.1695652173913,0.37545449583225,13
"K00134",1775,1.92934782608696,0.986529296568354,13
"K00135",1140,1.37019230769231,0.637742680955916,10
"K00137",184,2,0,1
"K00138",728,1.14465408805031,0.352028595606939,8
"K00140",1121,1.74610591900312,0.690491769856442,8
"K00141",72,1,0,1
"K00145",832,1,0,10
"K00146",92,1,0,1
"K00147",948,1.10747663551402,0.309899341387883,11
"K00148",184,2,0,1
"K00150",138,1,0,1
"K00154",495,1.15654205607477,0.363793705352144,6
"K00156",96,1,0,1
"K00161",564,1,0,8
"K00162",564,1,0,8
"K00163",755,1.10541727672035,0.307315393113935,9
"K00164",758,1,0,11
"K00166",176,1,0,2
"K00167",176,1,0,2
"K00184",52,1,0,1
"K00185",52,1,0,1
"K00200",96,1,0,1
"K00201",96,1,0,1
"K00202",96,1,0,1
"K00208",769,1.14264487369985,0.349970432689912,9
"K00209",362,1.62331838565022,0.485644108350714,3
"K00210",101,1,0,1
"K00215",920,1,0,13
"K00218",414,3,0,1
"K00219",471,1.21705426356589,0.41277351384479,5
"K00220",197,1,0,2
"K00226",24,1,0,1
"K00228",896,1,0,12
"K00230",180,1,0,3
"K00239",758,1,0,11
"K00240",758,1,0,11
"K00241",758,1,0,11
"K00242",706,1,0,10
"K00243",391,1,0,6
"K00244",163,1,0,3
"K00245",139,1,0,2
"K00246",139,1,0,2
"K00247",139,1,0,2
"K00248",385,1,0,5
"K00249",1266,2.4022770398482,1.54324066930832,7
"K00252",257,1,0,4
"K00253",526,1.35917312661499,0.480379101698324,5
"K00254",937,1.04575892857143,0.209078542159878,12
"K00257",2217,3.34894259818731,2.51602857454471,8
"K00259",607,1.09369369369369,0.291664982409217,7
"K00261",214,1,0,3
"K00262",455,1.22641509433962,0.419075985097045,6
"K00263",433,1,0,5
"K00265",755,1.10541727672035,0.307315393113935,9
"K00266",1038,1.41224489795918,0.492574004341017,10
"K00273",239,1,0,2
"K00274",188,1,0,2
"K00275",947,1.10760233918129,0.310058891428342,11
"K00278",731,1,0,9
"K00281",924,1.11057692307692,0.313796141058344,10
"K00284",262,1,0,3
"K00285",1091,2.00920810313076,1.25888279959163,7
"K00286",949,1.05797101449275,0.233819000621763,12
"K00287",658,1,0,10
"K00290",84,1,0,1
"K00294",52,1,0,1
"K00297",873,1,0,11
"K00299",318,1,0,4
"K00301",234,1,0,2
"K00302",390,1.34948096885813,0.477633133510266,3
"K00303",574,1.98615916955017,0.807827669754837,3
"K00304",390,1.34948096885813,0.477633133510266,3
"K00305",390,1.34948096885813,0.477633133510266,3
"K00311",839,1.22840409956076,0.420111981420806,9
"K00315",101,1,0,1
"K00318",52,1,0,1
"K00322",315,1,0,4
"K00324",1315,1.72346002621232,0.447580350314808,9
"K00325",763,1,0,9
"K00330",442,1,0,6
"K00331",442,1,0,6
"K00332",350,1,0,5
"K00333",350,1,0,5
"K00334",442,1,0,6
"K00335",543,1.22850678733032,0.420346510983773,6
"K00336",442,1,0,6
"K00337",442,1,0,6
"K00338",442,1,0,6
"K00339",442,1,0,6
"K00340",442,1,0,6
"K00341",442,1,0,6
"K00342",442,1,0,6
"K00343",442,1,0,6
"K00344",921,1.85311871227364,0.887045733351107,7
"K00346",316,1,0,5
"K00347",388,1.22784810126582,0.4201093459658,5
"K00348",316,1,0,5
"K00349",316,1,0,5
"K00350",316,1,0,5
"K00351",316,1,0,5
"K00355",193,1,0,2
"K00356",379,1.36330935251799,0.481820237745014,4
"K00362",772,1.42698706099815,0.495098173783871,7
"K00363",609,1.3685393258427,0.482951582454225,6
"K00364",235,1,0,4
"K00365",96,1,0,1
"K00366",234,1,0,2
"K00367",138,1,0,1
"K00370",92,1,0,1
"K00371",92,1,0,1
"K00372",541,1,0,7
"K00373",92,1,0,1
"K00374",92,1,0,1
"K00375",838,1.83369803063457,0.736517782339472,6
"K00376",92,1,0,1
"K00380",536,1.55813953488372,0.898390542291649,4
"K00381",633,1.17005545286506,0.37602920083718,7
"K00382",1729,1.87934782608696,0.819782349027863,13
"K00383",573,1,0,7
"K00384",1514,1.64565217391304,0.656832018923719,13
"K00387",96,1,0,1
"K00389",148,1,0,2
"K00390",731,1,0,9
"K00392",190,1,0,2
"K00394",101,1,0,1
"K00395",101,1,0,1
"K00404",629,1.41348314606742,0.81084860052976,6
"K00405",537,1.20674157303371,0.40542430026488,6
"K00406",589,1.1851106639839,0.388778636828978,7
"K00407",470,1.24338624338624,0.429695054440069,5
"K00411",706,1,0,10
"K00412",747,1.05807365439093,0.234048489156746,10
"K00413",610,1,0,9
"K00425",919,1.71775700934579,1.15176245698684,7
"K00426",919,1.71775700934579,1.15176245698684,7
"K00428",476,1.23958333333333,0.427386047699845,5
"K00432",1374,1.53177257525084,0.674259250960617,12
"K00433",280,1.48936170212766,0.501221627435261,2
"K00448",184,2,0,1
"K00449",308,1.42592592592593,0.495631215183482,3
"K00450",72,1,0,1
"K00451",367,1,0,5
"K00452",52,1,0,1
"K00453",275,1,0,4
"K00457",603,1.37357630979499,0.484305003131805,6
"K00459",815,1.65650406504065,0.775055594868001,7
"K00463",41,1,0,1
"K00464",138,1,0,1
"K00466",92,1,0,1
"K00471",92,1,0,1
"K00472",197,1,0,3
"K00476",84,1,0,1
"K00479",92,1,0,1
"K00480",269,1,0,3
"K00481",164,1,0,2
"K00486",52,1,0,1
"K00499",245,1,0,3
"K00500",439,1,0,6
"K00505",92,1,0,1
"K00507",658,1.26538461538462,0.441962960367765,6
"K00508",52,1,0,1
"K00510",138,1,0,1
"K00514",138,1,0,1
"K00517",179,1,0,2
"K00518",138,1,0,1
"K00520",84,1,0,1
"K00523",289,1,0,4
"K00524",138,1,0,1
"K00525",1013,1.29539641943734,0.456512733602326,12
"K00526",710,1.03498542274052,0.183876941768675,11
"K00527",313,1,0,5
"K00528",549,1.20131291028446,0.401420756019991,6
"K00529",168,1,0,2
"K00537",995,1.31788079470199,0.465961555761464,10
"K00544",101,1,0,1
"K00547",101,1,0,1
"K00548",855,1.16963064295486,0.375564963049912,9
"K00549",541,1.15351812366738,0.360871141786441,7
"K00554",920,1,0,13
"K00555",138,1,0,1
"K00556",413,1,0,5
"K00557",356,1,0,5
"K00558",565,1.17463617463617,0.380050877434416,6
"K00560",730,1.10942249240122,0.312406042001941,10
"K00563",315,1,0,4
"K00564",599,1.37701149425287,0.485195848486274,6
"K00566",920,1,0,13
"K00567",831,1.09486166007905,0.293216986468112,11
"K00568",882,1.24929178470255,0.432909742599283,10
"K00569",315,1,0,4
"K00570",192,2,0,1
"K00571",125,1,0,2
"K00573",961,1.30748299319728,0.461765424508681,10
"K00574",1268,2.32234432234432,1.07794180305148,7
"K00575",939,1.38291605301915,0.486456433479992,8
"K00588",67,1,0,1
"K00590",92,1,0,1
"K00595",398,1,0,4
"K00598",188,1,0,2
"K00600",1176,1.27826086956522,0.633457116792721,13
"K00602",920,1,0,13
"K00604",1083,1.17717391304348,0.382023494218398,13
"K00605",1249,1.43069873997709,0.755755647255449,11
"K00606",832,1,0,10
"K00609",987,1.07282608695652,0.25999215727251,13
"K00610",139,1,0,2
"K00611",766,1.13649851632047,0.343572128636483,8
"K00612",193,1,0,2
"K00613",197,1,0,2
"K00615",1531,1.66413043478261,0.938370954503927,13
"K00616",867,1.10727969348659,0.309666320182968,11
"K00620",624,1,0,7
"K00625",125,1,0,2
"K00626",2365,3.3737517831669,2.40893486622801,10
"K00627",1247,1.3554347826087,0.478905201065027,13
"K00631",315,1,0,4
"K00632",800,1.66666666666667,0.471896335761299,7
"K00638",139,1,0,2
"K00639",327,1.18909090909091,0.392294730959965,4
"K00640",1351,1.50613154960981,0.500241321760623,12
"K00641",707,1.15711947626841,0.364211545171823,8
"K00643",215,1.80672268907563,0.396538217628724,2
"K00645",1016,1.10434782608696,0.305877514825447,13
"K00647",905,1.32503660322108,0.468731791959045,9
"K00648",959,1.34880450070323,0.759444277759711,10
"K00651",318,1,0,4
"K00652",821,1.08885941644562,0.284729593996482,10
"K00655",1478,1.60652173913043,0.80501750098591,13
"K00656",331,2.03067484662577,0.925785038133874,3
"K00657",371,1,0,5
"K00658",810,1.06860158311346,0.252942309612699,11
"K00661",606,1.53417721518987,0.784184738792892,6
"K00666",1459,2.63833634719711,1.92601717406194,7
"K00672",96,1,0,1
"K00673",591,1.87619047619048,1.36630450086391,4
"K00674",782,1,0,12
"K00675",164,1,0,2
"K00677",873,1,0,11
"K00680",301,1,0,3
"K00681",1578,2.73958333333333,1.21793660147702,8
"K00684",593,1,0,8
"K00685",541,1,0,7
"K00687",24,1,0,1
"K00688",640,1.11692844677138,0.321615769067909,7
"K00690",397,1.26837060702875,0.443821072349533,4
"K00691",52,1,0,1
"K00694",482,1,0,5
"K00696",234,1,0,2
"K00697",168,1,0,2
"K00700",961,1.27284768211921,0.613501254901602,10
"K00703",807,1.06887417218543,0.253407920815509,10
"K00705",602,1.12523364485981,0.331293418592918,7
"K00712",138,1,0,1
"K00720",192,2,0,1
"K00721",190,1,0,2
"K00748",873,1,0,11
"K00752",52,1,0,1
"K00754",205,1,0,2
"K00756",24,1,0,1
"K00757",330,1.72774869109948,0.446288388808313,3
"K00758",235,1,0,3
"K00759",912,1.0792899408284,0.270350776976807,11
"K00760",409,1,0,6
"K00761",755,1,0,10
"K00762",920,1,0,13
"K00763",605,1.13508442776735,0.342134831402115,8
"K00764",961,1.0445652173913,0.206459416945406,13
"K00765",832,1,0,10
"K00766",873,1,0,11
"K00767",832,1,0,10
"K00768",390,1,0,5
"K00769",210,1,0,2
"K00772",234,1,0,2
"K00773",920,1,0,13
"K00782",188,1,0,2
"K00783",796,1,0,11
"K00784",322,1,0,5
"K00788",1061,1.52442528735632,0.725273225732169,8
"K00789",920,1,0,13
"K00790",944,1.02608695652174,0.159480635039626,13
"K00791",920,1,0,13
"K00793",1035,1.15513392857143,0.362234505247222,12
"K00794",1060,1.18303571428571,0.386911770661138,12
"K00795",547,1,0,8
"K00796",879,1,0,12
"K00797",436,1,0,5
"K00798",659,1,0,8
"K00799",3551,4.7792732166891,2.44337511464337,10
"K00800",1039,1.15830546265329,0.365230822781783,12
"K00806",1016,1.10434782608696,0.305877514825447,13
"K00808",180,1,0,2
"K00809",153,1,0,2
"K00812",688,1.2091388400703,0.407051572224037,7
"K00813",156,1,0,2
"K00817",1313,1.5338785046729,0.667558634316762,11
"K00818",354,1,0,4
"K00819",93,1,0,2
"K00820",920,1,0,13
"K00821",535,1,0,7
"K00822",486,1,0,6
"K00823",197,1,0,3
"K00824",221,1,0,3
"K00826",1086,1.21070234113712,0.408034894238701,12
"K00830",594,1.19277108433735,0.394871488922424,6
"K00831",658,1,0,10
"K00832",386,1.31292517006803,0.464474764296253,4
