"Feature ID"	"Taxon"	"Consensus"
"00c8e5140a2ae2db708237c744746ef5"	"d__Bacteria; p__Acidobacteriota"	0.8
"01e18504d656c23a0b0139d1bbde6301"	"d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__AKYG1722; g__AKYG1722"	1
"021824b0b5afcb5d37b97a1377e29a91"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Oscillatoriaceae; g__Planktothricoides_SR001"	0.7
"025b423245f44e232fb108273863f31a"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides"	0.8
"032b66e64ba19eac8df7248aa1be6e1f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas"	1
"03f99a43ebb37f55ff36c5ac5744ea1e"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Entomoplasmatales; f__Entomoplasmataceae; g__[Mycoplasma]_group"	0.9
"06256a2158fbe3c96ce6f9a8261e6120"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Chryseomicrobium"	0.8
"07a0fd54e9efc835a31043b942986422"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Parvularculaceae; g__Parvularcula"	0.7
"09dda52e5639c70e2610d9598a5f96e5"	"d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae"	1
"09e32a5600c35e847e0eeb0fd5b9c8fd"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__uncultured"	1
"0b0ecf946414d301f203a1d04971ad4e"	"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II"	1
"0b356dc2203aff9da20649ad6e23b238"	"d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_organism"	0.6
"0b7fcb6f9e47fc5202840ca5ec476931"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__uncultured; g__uncultured"	0.9
"0be2b0012984bfb4c6f6a65d7d01c563"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Amnibacterium"	0.8
"0bf7922b0fd8c5f6340ddd5073fdd7f9"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Filifactor"	0.9
"0c47fe1a880059c6746b89e7e29e0e63"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Francisellales; f__Francisellaceae; g__[Caedibacter]_taeniospiralis_group"	0.7
"0cea80ca471eb3b08c71291b25ebaac5"	"d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus"	1
"0d06999ee50ab0abad026a088f8a84b8"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium"	0.8
"0d89daed2e31eb0b35eee707949a3f9f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__OM60(NOR5)_clade"	1
"0da78c970bcd67e34b7a6cb1d7e78e20"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales"	0.6
"0e8c6c3333cdbc263828b9cbe4296a28"	"d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__Kiritimatiellales; f__Kiritimatiellaceae; g__R76-B128"	1
"0ef2aea4b1dcd545c78fc0ed9ca8329f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Pseudohongiellaceae; g__Pseudohongiella"	0.9
"0fdc3549d858701aa9ddf356c972efb6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella"	1
"10d50ad27980c6fcac66927dc0ac8442"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thiomicrospiraceae; g__endosymbionts; s__uncultured_bacterium"	0.7
"1153cf15d88bdbb6ca653eb54dc2d369"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales"	0.8
"120eff3f0f2c86ee097ac9c95b53d7ee"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria"	1
"126500182fac0c783b43f0a606649895"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__SS1-B-02-17; f__SS1-B-02-17; g__SS1-B-02-17"	1
"148fdb58bfb242cc0bc92fce26cc2dc5"	"d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__uncultured; s__uncultured_bacterium"	0.6
"149761132a2eb572dc2d15ca0ebccbb0"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__PeM15; f__PeM15; g__PeM15"	0.9
"14af2f0ef56bcfb6b0843902977c1c07"	"d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__BSV26; g__BSV26; s__uncultured_bacterium"	0.7
"15185777bba4dc684efb61f2380fe635"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__TRA3-20; g__TRA3-20"	1
"15439a7ef9a33d7b438bb6d855ce7126"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Entomoplasmatales; f__Spiroplasmataceae; g__Spiroplasma"	1
"1637942ee2c170dab660ebaceac87af8"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter"	1
"167dae7fac5deb0859f41c2e83210522"	"d__Bacteria; p__Cyanobacteria; c__Sericytochromatia; o__Sericytochromatia; f__Sericytochromatia; g__Sericytochromatia"	1
"16e2f0175ce55cffd424ce4753e09dc7"	"d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__uncultured_bacterium"	1
"172d6927f4cbb822053335e7406217ff"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Terriglobus"	1
"172fedacff79bfa7625bc61673562374"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Arctic95B-14; g__Arctic95B-14"	0.8
"1879a539ab0a44b81d603339ee4f911a"	"d__Bacteria; p__Deferrisomatota; c__Defferrisomatia; o__Defferrisomatales; f__Defferrisomataceae; g__Deferrisoma; s__uncultured_bacterium"	0.6
"19714fb6601ff58bedef72d7a901f42e"	"d__Bacteria; p__Firmicutes; c__Dethiobacteria; o__Dethiobacterales; f__Dethiobacteraceae; g__uncultured"	1
"1a60e86e1b423dd130630bf38c776172"	"d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured"	0.6
"1a733eb17355cbf36fe972e0a8eb51b6"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptococcales; f__Peptococcaceae; g__uncultured; s__uncultured_bacterium"	0.6
"1add56626510da30b03485dda502ff01"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__uncultured; s__uncultured_bacterium"	0.6
"1af5ad51ab35586efcefc609c5e14d9b"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__PAUC26f; f__PAUC26f; g__PAUC26f"	1
"1b23cc6850b5fed0bf2bc4b5630fe122"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__PS1_clade; g__PS1_clade"	0.9
"1b387e9734e716278c26ba8e2c3e5804"	"d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__LCP-80"	1
"1d654fcb06cb378ed880382b860ae455"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__B2M28; f__B2M28; g__B2M28; s__uncultured_bacterium"	0.7
"1dad9f42a4a6c0b45569516becc2cab0"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium"	0.7
"1f170095ab17d9b4b8b313f54c2006e6"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__uncultured_bacterium"	0.7
"1f7acd2e5f0d2c6b5f135d17b76928f8"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured"	1
"1f7e584603a8b3b91975f6f39421b113"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria"	1
"2065755318d28be920839d5ed772f350"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__uncultured; s__uncultured_bacterium"	0.6
"23416966504891a66d7c0d44489152da"	"d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria"	0.8
"234e291941e4f54f2e2685e0d5bbf4d9"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__EV818SWSAP88; f__EV818SWSAP88; g__EV818SWSAP88"	0.7
"2451aaf421aab0dd0ab5f0474543cf6b"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Xenococcaceae; g__Xenococcus_PCC-7305; s__uncultured_bacterium"	0.8
"24aae5f566591fcd3d591028be1cbe1e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia"	1
"251734cc5d62aa36f1b7ec891710c138"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Roseimarinus; s__uncultured_Bacteroidetes"	0.8
"258303369af623fca9ceb5ef128d61b3"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales"	0.8
"25db37c44822001b1a9a46b11508085c"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__MBAE14; f__MBAE14; g__MBAE14"	1
"26159cc94769dd444726ff5c59061406"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas"	1
"26ca0c356ecaab13ae9ad70ee5a149e9"	"d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfobacteraceae"	1
"28224521a0a017b966a064482d0dea96"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula; s__uncultured_bacterium"	0.8
"28bc6cedd83b6e9425a9b98f2d18333d"	"d__Bacteria; p__Halanaerobiaeota; c__Halanaerobiia; o__Halanaerobiales; f__Halobacteroidaceae; g__uncultured"	0.6
"2900df30966ec547956b6ec72945a75f"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Frankia"	0.6
