"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1a9c19d3518b06f07d971f9314d59af6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA
"8fe0446b7e6f69bad2795f2bcd49840b","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Unclassified Vampirovibrionales",NA,NA
"e47b29a7f44414d82efac2f76bcf99cd","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae",NA,NA
"2f68e1ec33d593c075094cb3b0c64dc4","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales",NA,NA
"3d1dd21cbf858f9f70dc5ad72dbfe1e3","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA
"afe2794035780fc2e10c4f6e6cb34eb6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia",NA,NA
"9f951a349f5ed2855b2e885044f6b97a","d__Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","Caenarcaniphilales",NA,NA
"e9305207ed7184a3eb2d7c892352a275","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis",NA,NA
"83bcafff554c714414639a92dfb4c375","d__Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae",NA,NA
"c1f8471cc41a98c2a038efbc3a5f2f74","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae",NA,NA
"23b797330d20df4f577bef7ba2ed2a1d","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae",NA,NA
"de64944a694ace78d2c69910a4759f32","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae",NA,NA
"fc75b939932869133765d5145089e4e9","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"cd7ccdee016064f32ae15e6de3eb3831","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
"9eae46c21d5fa9041f66a9e0702f5672","d__Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae",NA,NA
"d4040bca59505eb62e5bc2b50d643810","d__Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae",NA,NA
"c05af3bd2fd4e66976bafd48b6c63e25","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae",NA,NA
"bc0533e754cda40e80893c6bc36cd4b3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae",NA,NA
"05ec3457e4726078c527ac0ab15a62d1","d__Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade",NA,NA
"e56688f63d8d85285c2d651a42b149da","d__Bacteria","Proteobacteria","Gammaproteobacteria","eub62A3","eub62A3",NA,NA
"581c95d8c957ff4981119c86f200e2cc","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"6b4a94c91e930303667e834f314b25aa","d__Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae",NA,NA
"896d7cf854f31c00f5ad6ed2a1b85c95","d__Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae",NA,NA
"21ab8c1d40f2fd9244db4a09498234dc","d__Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",NA,NA
"aac50fdd3aade74e2fd20be4e46271a5","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",NA,NA
"bf546e57265707cefd07f127cf762568","d__Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae",NA,NA
"c52a3a48c26d290ccbcb3b3742d6d421","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"389424a453091776937b0630beb8e16e","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae",NA,NA
"89bfb3594bcfe03429f7c1197c062e59","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Unclassified Alteromonadales",NA,NA
"a1f7064ffcc8b6700d07c6dddef3f07b","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Unclassified Burkholderiales",NA,NA
"ef089b94b8a0d0d9e7e69beee3b368be","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae",NA,NA
"22c4915880d95e62675e5026a893efce","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"21c08e8b18838de709ed71b6801f8590","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",NA,NA
"3c6dbad66642521f67807260cfeeb068","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Unclassified Sphingobacteriales",NA,NA
"e9bb1cefa7e7597367ac7159f1b0eeeb","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"2c95378653648ce017222e6641c8e2d1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae",NA,NA
"550f1094b1c7d5b212342853fe7c0abe","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae",NA,NA
