"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"300080b19604443285f865e9091ecce1","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"a4c0c8515802c38a06843e8e6012a89c","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"9025f7316d027dcd0ecef9499424bf83","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"259c9c7d1cb219fe8a161bef5c9fb7dc","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"47830587dbfc298a3b2b7aaac2af4612","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"3f2963496f5f9d2e4a053948185f13b5","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"0b6827ee680729c9416da044b083d6d5","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"af8b96f9bea90d9cc02228f7377c8f98","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"64f502e84ae7c5b7381e4a6fd6cee8e8","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"e775deb4773939232bf7d2778e121ab8","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"35548c4a319a27d2e44901817d7e2cde","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"1a9c19d3518b06f07d971f9314d59af6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"21ac60ca174e6731feedfa604072d8a0","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
