"Phylum","taxon_path_count","tax_path_mean_abun","tax_path_sd","unique_function_count"
"Acetothermia",188088,73.5868544600939,62.276624602986,852
"Acidobacteriota",1850575,65.3867217864462,39.3523180674664,1430
"Actinobacteriota",699831,79.6167235494881,52.7607296090265,1792
"Aenigmarchaeota",93984,71.0385487528345,28.0115741424987,845
"AncK6",111505,50.2954442940911,30.8189036354952,739
"Bacteroidota",4765167.51,75.9207760694655,59.6867811431222,1956
"Bdellovibrionota",215005,73.5814510609172,40.8725489374067,1317
"Calditrichota",314862,61.8346425765907,48.7106005141118,1273
"Campilobacterota",26448,22.1137123745819,12.115294635901,1196
"Chloroflexi",1141964,67.0127339944839,64.8344602214136,1655
"Crenarchaeota",43188,65.7351598173516,22.473626745541,657
"Cyanobacteria",336780.5,72.5038751345533,42.7547123046874,1426
"Dadabacteria",258656,71.9288097886541,40.2114639004122,899
"Deinococcota",165230.5,31.5325381679389,19.6267893777694,1048
"Dependentiae",125125,92.2750737463127,42.3228358404053,678
"Desulfobacterota",1338816.47,43.2392361851242,36.0283166179281,1845
"Elusimicrobiota",21721,29.9187327823691,6.11839569170059,726
"Entotheonellaeota",77952,91.4929577464789,25.2579397935839,852
"Firmicutes",641865,136.363926067559,80.9688695729188,1567
"Gemmatimonadota",465209,74.3501678120505,54.3247019215246,1519
"Hydrogenedentes",18288,24.9155313351499,6.5700925323573,734
"Latescibacterota",80536,49.1973121563836,16.9057734559873,981
"Margulisbacteria",20304,28.8819345661451,7.59753301625167,703
"Marinimicrobia_(SAR406_clade)",88704,52.989247311828,32.8407722480447,558
"Myxococcota",683085.34,47.1288353801573,48.6822084411587,2027
"NB1-j",187620,220.729411764706,50.1761768340264,850
"Nitrospinota",129724,43.0404777704048,24.4973705160601,1278
"Nitrospirota",100614,97.5887487875849,46.4662904171613,1031
"PAUC34f",104528,142.408719346049,28.8417468812115,734
"Patescibacteria",729846,76.0018744142455,46.5941206302115,873
"Planctomycetota",1377040,55.3139184575216,64.080860962341,1461
"Poribacteria",86128,116.546684709066,31.6091291437619,739
"Proteobacteria",17060254,66.9670351238047,70.5658208453808,3485
"SAR324_clade(Marine_group_B)",38064,49.1148387096774,8.01522931520015,775
"Spirochaetota",55798,26.9816247582205,22.2182874870824,1034
"Sumerlaeota",47125,66.5607344632768,13.5209193264183,708
"Sva0485",140420,129.538745387454,43.0138307192334,1084
"Thermoplasmatota",61180,82.787550744249,28.2689762983697,739
"Verrucomicrobiota",1126038,75.8427965245504,42.4327292784291,1494
"WS2",14269,19.4665757162347,3.94505139020732,733
