"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",353,2.19254658385093,1.97330790789955,10
"K00002",1,1,NA,1
"K00003",435,1.01873536299766,0.192890766091165,39
"K00004",3,1,0,3
"K00005",7,1,0,3
"K00006",1,1,NA,1
"K00008",95,1.23376623376623,0.705170824696211,10
"K00010",22,1.1,0.307793505625546,2
"K00012",450,1.01123595505618,0.141928641383136,39
"K00013",456,1,0,39
"K00014",483,1.15,0.482510340943016,36
"K00015",172,1.02380952380952,0.152911110822417,10
"K00016",45,1.02272727272727,0.150755672288882,6
"K00018",90,1,0,4
"K00019",96,1,0,3
"K00020",463,1.9453781512605,1.23296821365838,18
"K00021",4,1.33333333333333,0.577350269189626,2
"K00023",97,1.01041666666667,0.102062072615966,1
"K00024",458,1.00659340659341,0.0810207427106341,39
"K00027",93,1.03333333333333,0.180511134456912,21
"K00029",329,1.2007299270073,0.401279336971866,13
"K00030",49,1.13953488372093,0.350604603563426,14
"K00031",453,1.05594405594406,0.230081977758186,36
"K00033",274,1.00735294117647,0.0855909373251816,20
"K00034",15,1,0,3
"K00035",28,1,0,1
"K00036",327,1.01552795031056,0.12383236896159,20
"K00038",50,1,0,2
"K00040",52,1,0,2
"K00041",50,1,0,2
"K00042",130,2.6530612244898,1.28372862540082,4
"K00043",9,1,0,1
"K00045",29,1,0,2
"K00046",130,1.07438016528926,0.263479577203444,7
"K00048",1,1,NA,1
"K00050",150,1.00671140939597,0.081923192051904,16
"K00051",4,1,0,1
"K00052",461,1.00875273522976,0.0932477959275874,39
"K00053",448,1,0,39
"K00054",28,1,0,5
"K00055",1,1,NA,1
"K00057",484,1.05908096280088,0.236034555548771,37
"K00058",762,1.63870967741935,0.908891928876021,40
"K00059",1828,3.8728813559322,1.8317632041287,40
"K00060",103,1,0,8
"K00064",41,1,0,2
"K00065",113,1.63768115942029,0.938882541246486,5
"K00066",3,1,0,1
"K00067",488,1.07252747252747,0.276090522594502,38
"K00068",2,1,0,1
"K00074",337,1.39834024896266,0.706397362500931,19
"K00075",459,1,0,37
"K00076",6,1,0,3
"K00077",217,1.18579234972678,0.562974147461837,21
"K00082",1,1,NA,1
"K00087",23,1,0,3
"K00088",484,1.0276008492569,0.176497778659159,40
"K00091",86,1.1025641025641,0.345273977030009,10
"K00096",5,1,0,4
"K00097",402,1.02290076335878,0.149777838284749,30
"K00099",434,1,0,36
"K00100",173,1.46610169491525,0.636257801185771,9
"K00101",97,1.01041666666667,0.102062072615966,2
"K00102",74,1,0,6
"K00103",4,1,0,2
"K00104",297,1.11654135338346,0.321477826020811,33
"K00105",1,1,NA,1
"K00108",218,1.53521126760563,0.804790372520651,4
"K00109",3,1,0,2
"K00111",361,1.06804733727811,0.252200471592,24
"K00112",5,1,0,2
"K00113",9,1,0,4
"K00114",36,1.63636363636364,1.39882449103165,2
"K00116",11,1,0,3
"K00117",119,2.70454545454545,1.54888625334232,5
"K00118",14,1,0,2
"K00121",190,1.09826589595376,0.383750462228236,7
"K00122",10,1,0,3
"K00123",337,1.36991869918699,0.874438358229321,22
"K00124",137,1.00735294117647,0.0857492925712544,8
"K00125",4,1,0,2
"K00126",39,1,0,2
"K00127",113,1,0,4
"K00128",614,1.70083102493075,1.57558609085681,27
"K00130",133,1.07258064516129,0.462818988598902,4
"K00131",5,1,0,5
"K00132",2,1,0,1
"K00133",475,1.01279317697228,0.112501101021833,39
"K00134",601,1.28144989339019,0.540750930217389,39
"K00135",527,1.67301587301587,1.78218415602577,17
"K00137",24,1,0,2
"K00138",31,1,0,6
"K00140",149,1.25210084033613,0.436054875161178,7
"K00145",453,1.01116071428571,0.105170538279899,38
"K00146",68,2.83333333333333,0.56465970257328,2
"K00147",414,1.00485436893204,0.0695884891014015,35
"K00150",32,1,0,7
"K00151",6,1,0,2
"K00153",1,1,NA,1
