"id"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"2f68e1ec33d593c075094cb3b0c64dc4"	"d__Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Vampirovibrionales"	"Vampirovibrionales"
"3d1dd21cbf858f9f70dc5ad72dbfe1e3"	"d__Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Gastranaerophilales"	"Gastranaerophilales"
"9eae46c21d5fa9041f66a9e0702f5672"	"d__Bacteria"	"Entotheonellaeota"	"Entotheonellia"	"Entotheonellales"	"Entotheonellaceae"
"581c95d8c957ff4981119c86f200e2cc"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"
"389424a453091776937b0630beb8e16e"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"
"e9bb1cefa7e7597367ac7159f1b0eeeb"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"
"bb2028e392aa5a9dc63da1a3da0bcff4"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"SB-5"
"61f983bccae879612d31bcd62db2aff8"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinilabiliaceae"
"0c927c9cbcdeacf9fac29833f1cfa2d0"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"
"d288dd46bc581b6a6841234dd8464135"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"
"6119ec2d8c583b12e822af7a5b4dbdde"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Lentimicrobiaceae"
"beb2632ff350089a02e7eca090281cfe"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"uncultured"
"82c1c2f7157104bc1be25334cad36a25"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"
"e07672a4b4bc1130d34f7f20189389c1"	"d__Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Babeliaceae"
"1090ff43d4e342f4144f046538c3cb5e"	"d__Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Vermiphilaceae"
"8173be77f62723bea8c32a690df4d231"	"d__Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Babeliales"
"ddd51cd00c21dcb5157b8215d059bb03"	"d__Bacteria"	"NB1-j"	"NB1-j"	"NB1-j"	"NB1-j"
"718b559cc8fe77204873c4198bbe84d4"	"d__Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadales"
"a2d45a98b3140cfbbbe87af4c0060555"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"UBA10353_marine_group"	"UBA10353_marine_group"
"3da0ff6fb7c39996320aeab758bc7452"	"d__Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"
"262be0ab8c0547306030b4c1f1e873e4"	"d__Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22"	"Subgroup_22"
"734325a74f997583455218b835bb73fd"	"d__Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"
"240cab4982f287b928b74e6773ff3250"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"
"17f9d461cf617ee4cdc98552d324677f"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"mle1-8"	"mle1-8"
"27c0f79ba15c838222a078e7cf19166b"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"S-70"	"S-70"
"ed3b99d0d9b04ba0a98c9829f232f124"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"AKAU3564_sediment_group"
"9b78551c8d24c42709a269e9a4b95c98"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"
"107c55a021c1c5185448c88e652c0619"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SM23-30"
"3c8c7470e81bf55595bdf98e274b7714"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Unclassified Phycisphaerae"	"Unclassified Phycisphaerae"
"63083ceacad4cb06f74dbe7d58eec850"	"d__Bacteria"	"Planctomycetota"	"Pla4_lineage"	"Pla4_lineage"	"Pla4_lineage"
"7e7d91b3e0e40bf648124c39e21fc631"	"d__Bacteria"	"Planctomycetota"	"Unclassified Planctomycetota"	"Unclassified Planctomycetota"	"Unclassified Planctomycetota"
"d2973a13621b676173f12e71e7823b2c"	"d__Bacteria"	"Planctomycetota"	"BD7-11"	"BD7-11"	"BD7-11"
"45f9fce45129787483dcc21f3e9ea937"	"d__Bacteria"	"Planctomycetota"	"Pla3_lineage"	"Pla3_lineage"	"Pla3_lineage"
"916faa0acfd54f66342f472096e01e12"	"d__Bacteria"	"Planctomycetota"	"vadinHA49"	"vadinHA49"	"vadinHA49"
"b47ac9d17f15e50ccdb31d6b9756f033"	"d__Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"
"e5777493b9ad2578c67dbf6bdd43fae9"	"d__Bacteria"	"Elusimicrobiota"	"Elusimicrobia"	"MVP-88"	"MVP-88"
