"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"1256-004-C118-S_below","1256-004-C118-S","Orbicella faveolata","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-007-C119-S_below","1256-007-C119-S","Orbicella annularis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-010-C120-S_below","1256-010-C120-S","Orbicella faveolata","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-013-C121-S_below","1256-013-C121-S","Orbicella faveolata","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-016-C122-S_below","1256-016-C122-S","Orbicella annularis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-020-C123-S_below","1256-020-C123-S","Orbicella annularis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-023-C127-S_below","1256-023-C127-S","Scolymia sp","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-026-C128-S_below","1256-026-C128-S","Scolymia sp","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-029-C129-S_below","1256-029-C129-S","Scolymia sp","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-035-C133-S_below","1256-035-C133-S","Montastraea cavernosa","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-041-C143-S_below","1256-041-C143-S","Stephanocoenia intersepta","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-044-C144-S_below","1256-044-C144-S","Stephanocoenia intersepta","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-047-C145-S_below","1256-047-C145-S","Stephanocoenia intersepta","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-050-C148-S_below","1256-050-C148-S","Diploria labyrinthiformis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-054-C149-S_below","1256-054-C149-S","Diploria labyrinthiformis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-057-C150-S_below","1256-057-C150-S","Diploria labyrinthiformis","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-060-C151-S_below","1256-060-C151-S","Siderastrea siderea","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-063-C152-S_below","1256-063-C152-S","Siderastrea siderea","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-065-C153-S_below","1256-065-C153-S","Siderastrea siderea","E5","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-069-C327-S_below","1256-069-C327-S","Montastraea cavernosa","E12","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-072-C328-S_below","1256-072-C328-S","Montastraea cavernosa","E12","Colombia","Caribbean","Skeleton_below","Skeleton","below"
"1256-102-PW164-S_below","1256-102-PW164-S","Pavona clavus","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-105-PW165-S_below","1256-105-PW165-S","Pavona clavus","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-108-PW166-S_below","1256-108-PW166-S","Tubastraea sp","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-111-PW167-S_below","1256-111-PW167-S","Tubastraea sp","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-114-PW168-S_below","1256-114-PW168-S","Pavona clavus","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-118-PW169-S_below","1256-118-PW169-S","Tubastraea sp","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-121-PW170-S_below","1256-121-PW170-S","Pavona clavus","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-124-PW171-S_below","1256-124-PW171-S","Gardineroseris planulata","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-127-PW172-S_below","1256-127-PW172-S","Gardineroseris planulata","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-130-PW174-S_below","1256-130-PW174-S","Pavona gigantea","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
"1256-135-PW176-S_below","1256-135-PW176-S","Pavona gigantea","E11","Panama","Eastern Pacific","Skeleton_below","Skeleton","below"
