"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",349,1.19931271477663,0.600114536605033,2
"K00003",658,1.12286689419795,0.328564824336114,6
"K00004",56,1,0,1
"K00005",72,1,0,1
"K00007",72,1,0,1
"K00008",139,1.67469879518072,0.471335252622148,2
"K00009",128,1,0,2
"K00010",67,1,0,1
"K00012",737,1.36481481481481,0.481824534612842,5
"K00013",658,1,0,6
"K00014",913,1.38753799392097,0.487558780049417,6
"K00015",190,1,0,2
"K00016",130,1,0,3
"K00018",235,1,0,1
"K00019",264,1,0,1
"K00020",944,2.37783375314861,1.16918012479317,4
"K00021",72,1,0,1
"K00023",235,1,0,1
"K00024",634,1.04448105436573,0.206331350721687,6
"K00027",312,1.3,0.459215266610188,2
"K00029",714,1.24173913043478,0.428509817315576,3
"K00030",16,1,0,1
"K00031",900,1.35338345864662,0.478380310750686,6
"K00033",375,1,0,4
"K00034",152,1,0,2
"K00036",529,1.22170900692841,0.415876849579187,4
"K00038",56,1,0,1
"K00039",72,1,0,1
"K00040",67,1,0,1
"K00042",168,1,0,1
"K00045",67,1,0,1
"K00046",139,1,0,1
"K00050",329,1.25572519083969,0.437103020611112,2
"K00052",658,1,0,6
"K00053",658,1,0,6
"K00054",83,1,0,2
"K00057",654,1,0,5
"K00058",942,1.57,0.697072341833746,6
"K00059",2501,3.67254038179148,1.36983065996124,6
"K00060",206,1,0,1
"K00065",67,1,0,1
"K00067",523,1,0,3
"K00068",56,1,0,1
"K00074",716,1.92991913746631,0.958853337676471,4
"K00075",654,1,0,5
"K00076",67,1,0,1
"K00077",639,1.35668789808917,0.479530872524696,4
"K00087",67,1,0,1
"K00088",688,1.01027900146843,0.100937130911516,6
"K00090",101,1,0,1
"K00091",154,1.232,0.423807625256798,1
"K00096",50,1,0,2
"K00097",619,1.1213768115942,0.326860870026138,3
"K00099",654,1,0,5
"K00100",410,1.26934984520124,0.858943745884849,2
"K00101",381,1.21337579617834,0.410344753582271,2
"K00102",139,1,0,1
"K00104",296,1,0,3
"K00108",584,1.38717339667458,0.48768338758735,2
"K00111",707,1.24471830985915,0.430299012007586,4
"K00112",139,1,0,1
"K00113",139,1,0,1
"K00116",244,1.29787234042553,0.458544249266818,3
"K00117",101,1,0,1
"K00121",403,1,0,1
"K00122",163,1,0,1
"K00123",691,1.53897550111359,0.499034623249766,4
"K00124",468,1.25806451612903,0.438158996027122,2
"K00126",96,1,0,1
"K00127",461,1.26301369863014,0.44087414706251,1
"K00128",984,2.31529411764706,1.24551136372123,4
"K00130",320,1.09965635738832,0.300057268302516,2
"K00133",753,1.1057268722467,0.307713735375243,6
"K00134",1292,1.97553516819572,1.2147690953908,5
"K00135",957,1.49065420560748,0.704835012652102,6
"K00138",456,1,0,4
"K00140",730,1.58351409978308,0.607980811979742,1
"K00141",72,1,0,1
"K00145",631,1,0,5
"K00146",29,1,0,1
"K00147",575,1,0,5
"K00150",27,1,0,1
"K00151",7,1,0,1
"K00153",7,1,0,1
"K00154",336,1.4,0.490921769837536,1
"K00156",103,1,0,2
"K00158",56,1,0,1
"K00161",472,1,0,4
"K00162",472,1,0,4
"K00163",540,1.15384615384615,0.361187302519393,2
"K00164",631,1,0,4
"K00166",56,1,0,1
"K00167",56,1,0,1
"K00174",120,1.15384615384615,0.362548443880016,3
"K00175",120,1.15384615384615,0.362548443880016,3
"K00176",32,2,0,1
"K00177",32,2,0,1
"K00179",16,1,0,1
"K00180",16,1,0,1
"K00184",91,1,0,2
"K00185",91,1,0,2
