"Feature ID"	"Taxon"	"Consensus"
"000956bd052a30dd22c96e5aff7dd204"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256"	1
"00d2be4f316dff9b4908036f5c7cd581"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter"	1
"016c6e41222ff36278d73298ee3362c6"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae"	0.7
"019dc3ec05ce4ba1c31904d91d3df070"	"d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae; s__uncultured_bacterium"	1
"031db8794f00996346846ce2473c755c"	"d__Bacteria; p__WS2; c__WS2; o__WS2; f__WS2; g__WS2; s__uncultured_bacterium"	0.6
"03c634c6550beb60bb45cd12b27340c3"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HOC36; f__HOC36; g__HOC36"	1
"0446dd6bb4e29d39dc1e3a454b0f0841"	"d__Bacteria; p__Patescibacteria"	0.7
"04e0366caebbc4f7efa1a8a46523f00d"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae"	1
"05503d1a3df07c71b6fba029c33c5d68"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"	0.7
"055cba3d5e5dd5a1233426b109a6d6b7"	"d__Bacteria; p__WOR-1; c__WOR-1; o__WOR-1; f__WOR-1; g__WOR-1; s__uncultured_bacterium"	0.8
"05e7a81f6659b2b4e1d0a64c1faa5b2e"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__uncultured; g__uncultured; s__uncultured_bacterium"	0.9
"06191e8bd73ae8a43303ba611e498450"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus"	1
"07250dedf54cc11ffb3ff71264a6f2de"	"d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria"	0.6
"0927dd7dceb57b3db08cf0d6d61facb5"	"d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Kaiserbacteria; f__Candidatus_Kaiserbacteria; g__Candidatus_Kaiserbacteria; s__uncultured_bacterium"	0.7
"0972af539c438102f4f9e91fb23c9a06"	"d__Bacteria; p__Firmicutes; c__Clostridia"	1
"09b2fff981c4c78cf5b468e1c8256a72"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__uncultured_bacterium"	0.9
"09e32a5600c35e847e0eeb0fd5b9c8fd"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__uncultured"	1
"0a7d5c710ba2d65449a2542e021a4ee1"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium"	1
"0adb964c97b81c0ebe47d465c78a9029"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales"	0.6
"0b20371f451426b6cd05db9276227d7e"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Nakamurellaceae; g__Nakamurella; s__uncultured_bacterium"	0.6
"0b48c12c0f3da4554b6ce8908417ba63"	"d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__SBR1031; g__SBR1031; s__uncultured_bacterium"	0.8
"0b8c52ea1cba3f4b650f4e179cb6329a"	"d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae"	0.6
