"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",158,1.30578512396694,0.804601093778894,9
"K00002",9,1,0,4
"K00003",360,1,0,35
"K00004",4,1,0,2
"K00005",21,1,0,3
"K00008",71,1.16393442622951,0.3732884438274,8
"K00009",1,1,NA,1
"K00010",12,1,0,2
"K00012",426,1.01670644391408,0.145778350567777,36
"K00013",353,1,0,35
"K00014",396,1.0259067357513,0.159063269634192,35
"K00015",80,1,0,7
"K00016",24,1,0,6
"K00018",41,1,0,5
"K00019",79,1.05333333333333,0.226210457696304,2
"K00020",268,1.51412429378531,0.840098375142949,20
"K00021",3,1,0,3
"K00023",85,1.03658536585366,0.188896859388666,1
"K00024",386,1.0025974025974,0.0509647191437626,35
"K00027",79,1,0,20
"K00029",269,1.17982456140351,0.396166614831254,12
"K00030",38,1.08571428571429,0.284028640998691,9
"K00031",399,1.05835543766578,0.245795389151355,32
"K00033",239,1.01271186440678,0.112266104977068,19
"K00034",21,1.05,0.223606797749979,4
"K00035",7,1,0,1
"K00036",240,1.02127659574468,0.144612908321902,21
"K00038",1,1,NA,1
"K00040",14,1,0,1
"K00041",53,1,0,1
"K00042",67,1.31372549019608,0.468623348903205,3
"K00043",13,1,0,1
"K00045",9,1,0,2
"K00046",104,1.09473684210526,0.294404708078621,7
"K00048",2,1,0,1
"K00050",111,1,0,15
"K00051",8,1,0,1
"K00052",395,1.01282051282051,0.112644051571719,36
"K00053",370,1,0,36
"K00054",37,1,0,5
"K00055",1,1,NA,1
"K00057",420,1.01941747572816,0.138154856819123,35
"K00058",608,1.52380952380952,0.718603841637102,36
"K00059",1582,3.73995271867612,2.10809475708949,36
"K00060",34,1,0,7
"K00064",14,1,0,1
"K00065",33,1,0,5
"K00066",1,1,NA,1
"K00067",398,1.07277628032345,0.260119725195642,35
"K00074",307,1.4147465437788,0.702748608507219,24
"K00075",391,1,0,35
"K00076",2,1,0,2
"K00077",181,1.37121212121212,0.755693938514076,21
"K00082",10,1,0,2
"K00087",4,1,0,1
"K00088",421,1.01937046004843,0.137990399268651,37
"K00091",47,1.23684210526316,0.489578446703416,9
"K00096",2,1,0,2
"K00097",349,1.02046783625731,0.141801616267057,24
"K00099",387,1,0,35
"K00100",188,1.62068965517241,0.881255748436811,14
"K00101",57,1,0,2
"K00102",47,1,0,3
"K00103",2,1,0,2
"K00104",243,1.07522123893805,0.264333450509038,32
"K00105",1,1,NA,1
"K00108",89,1.27142857142857,0.611991961949406,4
"K00111",355,1.1525974025974,0.360184182335868,26
"K00112",4,1,0,3
"K00113",5,1,0,2
"K00114",42,1.35483870967742,1.01811548450308,2
"K00116",36,1.05882352941176,0.238832573610613,5
"K00117",32,1.33333333333333,0.868114732282431,4
"K00118",7,1,0,2
"K00121",122,1.11926605504587,0.325598327931649,8
"K00122",28,1,0,2
"K00123",232,1.70588235294118,1.28303833295597,22
"K00124",57,1.03636363636364,0.269679944985297,6
"K00125",1,1,NA,1
"K00126",15,1,0,1
"K00127",41,1,0,2
"K00128",434,1.40453074433657,0.730667851765537,30
"K00130",52,1.18181818181818,0.390153653257413,3
"K00131",2,1,0,2
"K00132",1,1,NA,1
"K00133",431,1.02375296912114,0.152459755101755,36
"K00134",517,1.22802850356295,0.458021791064982,35
"K00135",305,1.24489795918367,0.604986527586683,19
"K00137",1,1,NA,1
"K00138",48,1,0,4
"K00140",85,1.01190476190476,0.109108945117996,6
"K00145",371,1.00542005420054,0.0735209207803354,34
"K00146",8,1.6,0.547722557505166,2
"K00147",366,1.03389830508475,0.181223574523639,33
"K00150",16,1,0,5
"K00151",4,1,0,2
"K00154",69,1.25454545454545,0.439620283046623,2
"K00156",10,1,0,3
"K00161",306,1.15909090909091,0.396362653287168,21
"K00162",289,1.13779527559055,0.356626515778409,17
"K00163",123,1.00819672131148,0.0905357460425185,5
"K00164",270,1,0,16
"K00166",48,1.04347826086957,0.206184570942362,7
"K00167",47,1,0,7
"K00169",43,1.04878048780488,0.312347523777212,16
"K00170",41,1.025,0.158113883008419,16
"K00171",11,1,0,7
"K00172",47,1.02173913043478,0.147441956154897,18
"K00174",228,1.37349397590361,0.742001280297743,34
"K00175",217,1.30722891566265,0.55776244156399,34
"K00176",74,1.48,0.706818107248742,10
"K00177",75,1.47058823529412,0.702935023354807,10
"K00179",59,1.25531914893617,0.487588792644277,10
"K00180",58,1.26086956521739,0.49147318718299,10
"K00184",223,1.25280898876405,0.448623730362282,20
"K00185",218,1.25287356321839,0.474028140053892,18
"K00186",1,1,NA,1
"K00187",4,1,0,2
"K00188",3,1,0,1
"K00194",21,1,0,3
"K00196",19,1.05555555555556,0.235702260395516,2
"K00197",24,1.14285714285714,0.358568582800318,3
"K00198",55,2.39130434782609,0.656376446504361,3
"K00200",12,1,0,2
"K00201",9,1,0,2
"K00202",12,1,0,2
