"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00001",452,1.26610644257703,0.442540825118518,2
"K00002",138,1,0,1
"K00003",841,1.09362808842653,0.291500200188633,6
"K00004",56,1,0,1
"K00005",144,1,0,2
"K00007",72,1,0,1
"K00008",155,1.56565656565657,0.498192982885396,3
"K00009",56,1,0,1
"K00010",220,1,0,1
"K00012",744,1.21967213114754,0.414364281373935,5
"K00013",752,1,0,7
"K00014",1118,1.4314980793854,0.661762552550267,7
"K00015",247,1,0,3
"K00016",152,1,0,2
"K00018",362,1,0,2
"K00019",426,1.21367521367521,0.410485284143255,1
"K00020",1258,1.99366085578447,1.13247491539768,6
"K00021",6,1,0,1
"K00023",204,1,0,1
"K00024",537,1.08484848484848,0.278937993328613,6
"K00027",202,1.38356164383562,0.487926986802014,2
"K00029",654,1.26990291262136,0.444340754949408,2
"K00031",1061,1.39056356487549,0.488196716174805,6
"K00032",75,1,0,1
"K00033",432,1,0,5
"K00034",190,1,0,2
"K00036",705,1.23467600700525,0.424167740448707,5
"K00038",56,1,0,1
"K00039",72,1,0,1
"K00040",67,1,0,1
"K00042",422,1,0,2
"K00045",142,1,0,1
"K00046",277,1,0,2
"K00050",382,1.21269841269841,0.409867177293999,2
"K00052",781,1,0,7
"K00053",781,1,0,7
"K00054",133,1,0,3
"K00057",613,1,0,5
"K00058",984,1.41379310344828,0.670903595779652,7
"K00059",3190,4.02269861286255,1.65434514530937,7
"K00060",140,1,0,1
"K00064",78,1,0,1
"K00065",73,1,0,1
"K00066",75,1,0,1
"K00067",663,1.12755102040816,0.333873231482895,6
"K00068",56,1,0,1
"K00074",470,1.5210355987055,0.847289928392042,4
"K00075",751,1,0,6
"K00076",67,1,0,1
"K00077",727,1.39539347408829,0.489404945469126,3
"K00082",138,1,0,1
"K00087",67,1,0,1
"K00088",805,1.01513240857503,0.12215660536259,7
"K00090",164,1,0,1
"K00091",76,1,0,1
"K00096",54,1,0,2
"K00097",861,1.34321372854914,0.475152902560042,3
"K00099",716,1,0,5
"K00100",692,1.33076923076923,0.536001920142386,2
"K00101",539,1.36802030456853,0.482880078352934,2
"K00102",139,1,0,1
"K00104",468,1,0,4
"K00108",703,1.42307692307692,0.494548215319504,2
"K00111",632,1.14285714285714,0.350243925648135,5
"K00112",67,1,0,1
"K00113",145,1,0,1
"K00114",75,1,0,1
"K00116",488,1.36694677871148,0.482648277236217,4
"K00117",242,1,0,1
"K00121",524,1.04590818363273,0.2094951635549,2
"K00122",126,1,0,1
"K00123",770,1.63829787234043,0.839472164216537,3
"K00124",475,1.41791044776119,0.493953067279624,1
"K00126",134,1,0,1
"K00127",475,1.41791044776119,0.493953067279624,1
"K00128",1362,2.36048526863085,1.21978699766028,5
"K00130",435,1.20833333333333,0.406681659464558,2
"K00131",104,1,0,2
"K00133",799,1.00756620428752,0.086708925989812,7
"K00134",1526,2.03195739014647,1.11309360051853,6
"K00135",1067,1.42077230359521,0.684140289769006,6
"K00137",150,2,0,1
"K00138",450,1.25698324022346,0.437581659124096,3
"K00140",792,1.57455268389662,0.737382949525381,2
"K00141",72,1,0,1
"K00145",710,1,0,6
"K00146",75,1,0,1
"K00147",752,1.11078286558346,0.314095124383679,5
"K00148",150,2,0,1
"K00150",180,1,0,2
"K00153",12,1,0,1
"K00154",304,1.28270042194093,0.451265037920038,1
"K00156",77,1,0,2
"K00158",56,1,0,1
"K00161",516,1,0,5
"K00162",516,1,0,5
"K00163",581,1.14145383104126,0.348831920824741,2
"K00164",571,1,0,3
"K00166",132,1,0,3
"K00167",132,1,0,3
"K00174",99,1,0,3
"K00175",99,1,0,3
"K00184",7,1,0,2
"K00185",7,1,0,2
"K00200",59,1,0,1
"K00201",59,1,0,1
"K00202",59,1,0,1
"K00208",762,1.19811320754717,0.398891645242394,4
"K00209",146,2,0,1
"K00210",78,1,0,1
"K00215",751,1,0,6
"K00218",414,3,0,1
"K00219",333,1.05379746835443,0.225975437898133,2
"K00220",204,1,0,1
"K00226",29,1,0,1
"K00228",653,1,0,3
"K00230",73,1,0,1
"K00231",68,1,0,2
"K00232",12,1,0,1
"K00239",626,1,0,6
"K00240",626,1,0,6
"K00241",626,1,0,6
"K00242",551,1,0,2
"K00243",239,1,0,3
"K00244",79,1.08219178082192,0.276557441167003,1
"K00245",73,1,0,1
"K00246",73,1,0,1
"K00247",73,1,0,1
"K00248",223,1,0,1
"K00249",1376,2.73015873015873,1.56838901741357,3
"K00252",305,1,0,4
"K00253",371,1.22039473684211,0.415196293914648,1
"K00254",665,1,0,4
"K00255",34,2,0,1
"K00257",2116,4.07707129094412,2.68447457825867,4
"K00259",436,1.01395348837209,0.117434493665567,5
"K00260",112,2,0,1
"K00261",157,1,0,2
"K00262",203,1,0,4
"K00263",336,1,0,3
"K00265",559,1.01084990958409,0.103690073862276,2
"K00266",847,1.5125,0.500290613218376,4
"K00273",138,1,0,1
"K00274",134,1,0,1
