"Feature ID"	"Taxon"	"Consensus"
"001c5ff06bad62ce6adaf9c2899b06f2"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Filomicrobium"	1
"0048b54ee1f5035cc574f6bff4bee812"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales"	1
"008cce7ce9be694ee2b0ce2554c55e1c"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia"	0.8
"00ce4a7233be663656c91e143c9f1770"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales"	0.7
"01be1538671b3d13a25a4ea0aba18162"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__Rubinisphaera"	1
"0243b6b185e5cdb5e420f44747c32ab6"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium"	0.8
"0255203339abcb8f73864d776021a7de"	"d__Bacteria; p__Planctomycetota; c__vadinHA49; o__vadinHA49; f__vadinHA49; g__vadinHA49; s__uncultured_organism"	0.7
"025de959295484611a4a1936f67ba2af"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kordiimonadales; f__Iodidimonadaceae; g__Iodidimonas"	0.6
"026c1dd32c61e12186f35a2a63249efa"	"d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfococcaceae"	0.7
"0274d97b30c6c6a07596aa004ec461af"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales"	0.6
"02d479164d623dee8db60aad2d5e50d8"	"d__Bacteria; p__Patescibacteria; c__ABY1"	1
"03b3fcb1a0367e6ed12027d6604a62c5"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Tenderiales; f__Tenderiaceae; g__Candidatus_Tenderia"	0.7
"03b43465bb0ae97bc73b549df90529cf"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"	0.7
"04b8c414c6d0bec62086485d151ba817"	"d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__PHOS-HE36; g__PHOS-HE36"	0.8
"04d23fef8b50dd72f99dce095be08df1"	"d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__DEV007"	0.9
"0513960bd55dd9aca8dbf0ad36d83405"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Izemoplasmatales; f__Izemoplasmataceae; g__Izimaplasma"	1
"063068a5d5114c2ee105273efcb00744"	"d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales; s__uncultured_bacterium"	0.6
"067e63cece4c5e90e432ea6801251817"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI_clade; s__uncultured_bacterium"	0.6
"085e1626a46735bca478ac719c62b52e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__OM43_clade; s__uncultured_bacterium"	0.7
"08ff5eaf6ecd1957fecd73e90a7c726b"	"d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota"	0.9
"0afb606fef4e3626983561132a6a4626"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales"	0.7
"0b2c7756267bcffd1a5256bf2e259ad7"	"d__Bacteria; p__Caldatribacteriota; c__JS1; o__JS1; f__JS1; g__JS1"	0.6
"0b4ee2e4cfa46bb732f1fdd84f543fba"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Hahellaceae; g__Hahella"	0.9
"0c50729b3ffb4527cce75193e4da1057"	"d__Bacteria; p__Spirochaetota; c__Brevinematia; o__Brevinematales; f__Brevinemataceae; g__Brevinema"	1
"0c620b721bacb3848f0ca8c911547771"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium"	1
"0cce7f24a56349bad161b40bddedcbff"	"d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5"	0.9
"0da076ffd358cd674670f30be39cb7ea"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Geitlerinemaceae; g__Geitlerinema_PCC-7105"	0.8
"0dbd84d0d6a93f1cef1be9d221b85835"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia"	0.9
"0e4bcfe16c9f0dbe749a3685a4f81499"	"d__Bacteria; p__Hydrogenedentes; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedensaceae; g__Hydrogenedensaceae; s__uncultured_bacterium"	0.6
"0e569bb21f3f8569d81d178dbdc13eb1"	"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17; s__uncultured_bacterium"	0.7
"0f2d26ea11b266299cfe5e64b364f750"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__uncultured; s__uncultured_bacterium"	0.6
"0f7bd67fea18c3fa4399a0713841ce03"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Flammeovirgaceae; g__Flammeovirga"	1
"0fc0bc1c1e8bce1dabf727aa7ae8ebc8"	"d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium"	0.7
"0fed7cd14f3953b4fad95c0eb44a533d"	"d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Arctic97B-4_marine_group; f__Arctic97B-4_marine_group; g__Arctic97B-4_marine_group"	0.6
"101053501543f9299c3f828734dec9fb"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Neptuniibacter; s__uncultured_bacterium"	0.6
