"SampleId","model","compartment"
"id","neutral","Tissue"
"neutral_padj","neutral","Tissue"
"neutral_model","neutral","Tissue"
"neutral_1256-008-C119-T","neutral","Tissue"
"neutral_1256-011-C120-T","neutral","Tissue"
"neutral_1256-014-C121-T","neutral","Tissue"
"neutral_1256-018-C122-T","neutral","Tissue"
"neutral_1256-024-C127-T","neutral","Tissue"
"neutral_1256-027-C128-T","neutral","Tissue"
"neutral_1256-030-C129-T","neutral","Tissue"
"neutral_1256-032-C132-T","neutral","Tissue"
"neutral_1256-036-C133-T","neutral","Tissue"
"neutral_1256-042-C143-T","neutral","Tissue"
"neutral_1256-045-C144-T","neutral","Tissue"
"neutral_1256-048-C145-T","neutral","Tissue"
"neutral_1256-052-C148-T","neutral","Tissue"
"neutral_1256-055-C149-T","neutral","Tissue"
"neutral_1256-061-C151-T","neutral","Tissue"
"neutral_1256-066-C153-T","neutral","Tissue"
"neutral_1256-070-C327-T","neutral","Tissue"
"neutral_1256-073-C328-T","neutral","Tissue"
"neutral_1256-074-C369-T","neutral","Tissue"
"neutral_1256-075-C370-T","neutral","Tissue"
"neutral_1256-076-C371-T","neutral","Tissue"
"neutral_1256-077-C372-T","neutral","Tissue"
"neutral_1256-078-C373-T","neutral","Tissue"
"neutral_1256-079-C386-T","neutral","Tissue"
"neutral_1256-080-C435-T","neutral","Tissue"
"neutral_1256-081-C436-T","neutral","Tissue"
"neutral_1256-082-C437-T","neutral","Tissue"
"neutral_1256-103-PW164-T","neutral","Tissue"
"neutral_1256-106-PW165-T","neutral","Tissue"
"neutral_1256-109-PW166-T","neutral","Tissue"
"neutral_1256-112-PW167-T","neutral","Tissue"
"neutral_1256-115-PW168-T","neutral","Tissue"
"neutral_1256-119-PW169-T","neutral","Tissue"
"neutral_1256-122-PW170-T","neutral","Tissue"
"neutral_1256-125-PW171-T","neutral","Tissue"
"neutral_1256-128-PW172-T","neutral","Tissue"
"neutral_1256-131-PW174-T","neutral","Tissue"
"neutral_1256-136-PW176-T","neutral","Tissue"
"neutral_1256-139-PW177-T","neutral","Tissue"
"neutral_1256-142-PW178-T","neutral","Tissue"
"neutral_1256-147-PW182-T","neutral","Tissue"
"neutral_1256-151-PW183-T","neutral","Tissue"
"neutral_1256-154-PW185-T","neutral","Tissue"
"neutral_1256-157-PW186-T","neutral","Tissue"
"neutral_1256-160-PW187-T","neutral","Tissue"
"neutral_1256-168-PW192-T","neutral","Tissue"
"neutral_1256-171-PW193-T","neutral","Tissue"
"neutral_1256-174-PW194-T","neutral","Tissue"
"neutral_1256-177-PW195-T","neutral","Tissue"
"neutral_1256-180-PW197-T","neutral","Tissue"
"neutral_1256-189-PW201-T","neutral","Tissue"
"neutral_1256-192-PW202-T","neutral","Tissue"
"neutral_1256-195-PW203-T","neutral","Tissue"
"neutral_1256-202-HI6-T","neutral","Tissue"
"neutral_1256-205-HI7-T","neutral","Tissue"
"neutral_1256-208-HI8-T","neutral","Tissue"
"neutral_1256-211-HI10-T","neutral","Tissue"
"neutral_1256-214-HI57-T","neutral","Tissue"
"neutral_1256-218-HI58-T","neutral","Tissue"
"neutral_1256-221-HI59-T","neutral","Tissue"
"neutral_1256-224-HI60-T","neutral","Tissue"
"neutral_1256-227-HI61-T","neutral","Tissue"
"neutral_1256-237-HI64-T","neutral","Tissue"
"neutral_1256-240-HI65-T","neutral","Tissue"
"neutral_1256-246-HI67-T","neutral","Tissue"
"neutral_1256-253-HI69-T","neutral","Tissue"
"neutral_1256-258-HIA-T","neutral","Tissue"
"neutral_1256-267-HID-T","neutral","Tissue"
"neutral_1256-273-P2-T","neutral","Tissue"
"neutral_1256-276-P5-T","neutral","Tissue"
"neutral_1256-277-HIE-T","neutral","Tissue"
"neutral_1256-287-P6-T","neutral","Tissue"
"neutral_1256-290-P7-T","neutral","Tissue"
"neutral_1256-293-P8-T","neutral","Tissue"
"neutral_1256-297-P11-T","neutral","Tissue"
"neutral_1256-300-P12-T","neutral","Tissue"
"neutral_1256-304-P479-T","neutral","Tissue"
"neutral_1256-312-P483-T","neutral","Tissue"
"neutral_1256-322-P489-T","neutral","Tissue"
"neutral_1256-325-P493-T","neutral","Tissue"
"neutral_1256-327-P494-T","neutral","Tissue"
"neutral_1256-329-P496-T","neutral","Tissue"
"neutral_1256-331-P497-T","neutral","Tissue"
"neutral_1256-334-P499-T","neutral","Tissue"
"neutral_1256-339-P503-T","neutral","Tissue"
"neutral_1256-343-P507-T","neutral","Tissue"
"neutral_1256-345-P508-T","neutral","Tissue"
"neutral_1256-347-P509-T","neutral","Tissue"
"neutral_1256-349-P510-T","neutral","Tissue"
"neutral_1256-351-P511-T","neutral","Tissue"
"neutral_E1.10.Poc.dami.1.20140728.T","neutral","Tissue"
"neutral_E1.10.Poc.dami.1.20140731.T","neutral","Tissue"
"neutral_E1.10.Sty.pist.1.20140815.T","neutral","Tissue"
"neutral_E1.11.Fun.sp.1.20140730.T","neutral","Tissue"
"neutral_E1.11.Fun.sp.1.20140811.T","neutral","Tissue"
"neutral_E1.11.Lep.tran.1.20140731.T","neutral","Tissue"
"neutral_E1.11.Psa.cont.1.20140730.T","neutral","Tissue"
"neutral_E1.11.Psa.digi.1.20140807.T","neutral","Tissue"
"neutral_E1.14.Phy.lich.1.20140811.T","neutral","Tissue"
"neutral_E1.15.Dip.heli.1.20140726.T","neutral","Tissue"
"neutral_E1.15.Dip.heli.1.20140809.T","neutral","Tissue"
"neutral_E1.15.Dip.heli.1.20140815.T","neutral","Tissue"
"neutral_E1.15.Dip.heli.1.20140905.T","neutral","Tissue"
"neutral_E1.17.Cau.furc.1.20140801.T","neutral","Tissue"
"neutral_E1.17.Ech.lame.1.20140905.T","neutral","Tissue"
"neutral_E1.17.Ech.mamm.1.20140815.T","neutral","Tissue"
"neutral_E1.17.Fav.sp.1.20140805.T","neutral","Tissue"
"neutral_E1.17.Fav.sp.1.20140811.T","neutral","Tissue"
"neutral_E1.17.Fav.sp.2.20140805.T","neutral","Tissue"
"neutral_E1.17.Hyd.exes.1.20140803.T","neutral","Tissue"
"neutral_E1.19.Lob.sp.1.20140730.T","neutral","Tissue"
"neutral_E1.19.Lob.sp.1.20140809.T","neutral","Tissue"
"neutral_E1.19.Sym.sp.1.20140814.T","neutral","Tissue"
