"id","1256-004-C118-S","1256-007-C119-S","1256-010-C120-S","1256-013-C121-S","1256-016-C122-S","1256-020-C123-S","1256-023-C127-S","1256-026-C128-S","1256-029-C129-S","1256-035-C133-S","1256-041-C143-S","1256-044-C144-S","1256-047-C145-S","1256-050-C148-S","1256-054-C149-S","1256-057-C150-S","1256-060-C151-S","1256-063-C152-S","1256-065-C153-S"
"8afde0214ae11742d62f79f4fff23761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"8ee7442bed9b3913958fd68d24f43db4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc5f306538401e2975cc9aacae04441a",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1bcce73a8c1bd6ad5a462f0efe37bf09",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"b9311732854cb0d3493a2e9e85d8bd0f",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,10,0
"624e9c02f57e2d2e0e4432cd85df549d",0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
"43d6d7bc180b12fa766310b8c26cf22a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"7f577043d3f5776268c1d0d87642477c",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"98a68ca4de53004ee94b9b63ca9f0779",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"02946492db2332dd5133ed0cfdaff667",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"da9179ddf7980950f1be869d8044d2a9",0,0,0,0,0,0,2,0,0,0,0,0,0,2,9,0,0,6,0
"07250dedf54cc11ffb3ff71264a6f2de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"90d7e1d95d90284bcd9be4e2823e2273",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ba2fde6931f6347afcc2d62601d1e54a",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ce2d44fb5595a08b52690eb754198ad3",0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0
"c7a0f3bd3778eca08559404455123563",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f6e8b94d267345fb7b76fc0a07565a8",0,0,0,0,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"01d3c3182538841f1b85893515a69943",76,3,26,0,28,2,12,0,0,0,0,0,0,0,0,0,0,0,0
"782ee750ebfa9e995588c5fd1fcdbc92",63,0,0,0,0,39,8,0,0,0,0,0,0,0,12,16,0,0,4
