"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","012-C121-M","E5","Coral Mucus",9.477005409,40
"2","019-C123-M","E5","Coral Mucus",8.576224599,107
"3","022-C127-M","E5","Coral Mucus",25.940899958,164
"4","025-C128-M","E5","Coral Mucus",16.443279246,128
"5","028-C129-M","E5","Coral Mucus",16.589413876,81
"6","040-C143-M","E5","Coral Mucus",26.443007649,166
"7","043-C144-M","E5","Coral Mucus",29.263514539,176
"8","046-C145-M","E5","Coral Mucus",13.986907421,79
"9","049-C148-M","E5","Coral Mucus",10.217703828,57
"10","056-C150-M","E5","Coral Mucus",5.051914395,75
"11","059-C151-M","E5","Coral Mucus",8.497709096,101
"12","062-C152-M","E5","Coral Mucus",32.691388801,232
"13","064-C153-M","E5","Coral Mucus",42.42846545,285
"14","068-C327-M","E12","Coral Mucus",7.112995112,124
"15","071-C328-M","E12","Coral Mucus",15.309021673,213
"16","101-PW164-M","E11","Coral Mucus",4.184007175,74
"17","104-PW165-M","E11","Coral Mucus",3.671767209,82
"18","107-PW166-M","E11","Coral Mucus",9.149063646,171
"19","110-PW167-M","E11","Coral Mucus",13.492562797,247
"20","113-PW168-M","E11","Coral Mucus",10.716806134,177
"21","116-PW169-M","E11","Coral Mucus",5.083213176,70
"22","120-PW170-M","E11","Coral Mucus",10.311410454,173
"23","123-PW171-M","E11","Coral Mucus",9.134306241,169
"24","126-PW172-M","E11","Coral Mucus",5.791331585,48
"25","129-PW174-M","E11","Coral Mucus",13.42803798,187
"26","132-PW175-M","E11","Coral Mucus",7.344522329,110
"27","134-PW176-M","E11","Coral Mucus",15.652509512,224
"28","137-PW177-M","E11","Coral Mucus",12.362445141,116
"29","140-PW178-M","E11","Coral Mucus",10.466576729,84
"30","143-PW181-M","E11","Coral Mucus",14.90644046,188
"31","145-PW182-M","E11","Coral Mucus",16.456566445,244
"32","148-PW183-M","E11","Coral Mucus",18.604750229,236
"33","152-PW185-M","E11","Coral Mucus",18.871336737,218
"34","155-PW186-M","E11","Coral Mucus",3.520898383,96
"35","158-PW187-M","E11","Coral Mucus",21.015031679,262
"36","161-PW190-M","E11","Coral Mucus",19.508154547,231
"37","163-PW191-M","E11","Coral Mucus",4.354600227,97
"38","165-PW192-M","E11","Coral Mucus",22.413400436,213
"39","169-PW193-M","E11","Coral Mucus",7.996836568,77
"40","172-PW194-M","E11","Coral Mucus",2.322814957,63
"41","175-PW195-M","E11","Coral Mucus",14.541143896,198
"42","178-PW197-M","E11","Coral Mucus",26.215133194,152
"43","185-PW199-M","E11","Coral Mucus",19.240914281,228
"44","190-PW202-M","E11","Coral Mucus",28.314314245,258
"45","193-PW203-M","E11","Coral Mucus",22.693819665,341
"46","196-PW204-M","E11","Coral Mucus",17.33157062,294
"47","200-HI6-M","E15","Coral Mucus",5.311565984,45
"48","203-HI7-M","E15","Coral Mucus",3.161646595,62
"49","206-HI8-M","E15","Coral Mucus",2.756989749,59
"50","209-HI10-M","E15","Coral Mucus",6.420331412,144
"51","216-HI58-M","E15","Coral Mucus",1.920381957,55
"52","219-HI59-M","E15","Coral Mucus",2.645036153,58
"53","222-HI60-M","E15","Coral Mucus",11.776613971,97
"54","225-HI61-M","E15","Coral Mucus",1.76270386,78
"55","228-HI62-M","E15","Coral Mucus",8.394387723,63
"56","232-HI63-M","E15","Coral Mucus",31.496406367,268
"57","235-HI64-M","E15","Coral Mucus",4.464352342,84
"58","238-HI65-M","E15","Coral Mucus",1.678388585,51
"59","244-HI67-M","E15","Coral Mucus",16.34943649,95
"60","247-HI68-M","E15","Coral Mucus",4.99911061,122
"61","251-HI69-M","E15","Coral Mucus",1.897351513,67
"62","254-HI70-M","E15","Coral Mucus",2.958928594,90
"63","256-HIA-M","E15","Coral Mucus",9.779309424,45
"64","259-HIB-M","E15","Coral Mucus",4.344065471,72
"65","262-HICM","E15","Coral Mucus",3.36293312,76
"66","269-HIE-M","E15","Coral Mucus",2.940695616,62
"67","274-P5-M","E2","Coral Mucus",29.012107003,274
"68","288-P7-M","E2","Coral Mucus",8.804315,53
"69","291-P8-M","E2","Coral Mucus",4.765242318,58
"70","294-P11-M","E2","Coral Mucus",12.501205739,74
"71","298-P12-M","E2","Coral Mucus",1.028238396,12
"72","303-P479-M","E2","Coral Mucus",13.943536686,79
"73","305-P480-M","E2","Coral Mucus",20.197148077,118
"74","307-P481-M","E2","Coral Mucus",15.07893091,85
"75","309-P482-M","E2","Coral Mucus",30.398267149,196
"76","311-P483-M","E2","Coral Mucus",22.294005387,154
"77","313-P484-M","E2","Coral Mucus",16.644394233,114
"78","315-P485-M","E2","Coral Mucus",20.997062978,130
"79","319-P486-M","E2","Coral Mucus",19.904680738,124
"80","321-P489-M","E2","Coral Mucus",19.732534309,154
"81","323-P492-M","E2","Coral Mucus",17.472740124,152
"82","324-P493-M","E2","Coral Mucus",15.083272396,101
"83","326-P494-M","E2","Coral Mucus",2.95610203,52
"84","330-P497-M","E2","Coral Mucus",28.329692979,207
"85","332-P498-M","E2","Coral Mucus",27.361810789,248
"86","333-P499-M","E2","Coral Mucus",12.007996633,55
"87","337-P502-M","E2","Coral Mucus",20.124020857,135
"88","338-P503-M","E2","Coral Mucus",14.672948418,74
"89","340-P504-M","E2","Coral Mucus",9.358380724,150
"90","342-P507-M","E2","Coral Mucus",6.969403067,88
"91","344-P508-M","E2","Coral Mucus",7.62527001,98
"92","346-P509-M","E2","Coral Mucus",13.145868201,83
"93","348-P510-M","E2","Coral Mucus",7.567209156,34
"94","350-P511-M","E2","Coral Mucus",6.388270529,40
"95","352-P512-M","E2","Coral Mucus",8.490661333,42
"96","358-P501-M","E2","Coral Mucus",6.444974444,29
"97","363-REU2-M","E9","Coral Mucus",3.966547744,77
"98","366-REU4-M","E9","Coral Mucus",30.934673277,180
