"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"9292e54b84068d02aa36fb0ebdecaadc","d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA,NA
"54511ddac3669f6e84f869148fcea49d","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae",NA,NA
"5e721c3270cad9ff02898176529ee176","d__Bacteria","WOR-1","WOR-1","WOR-1","WOR-1",NA,NA
"cb07deb3b34c88e64d664ccce340c1db","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA
"2120210ea16230ba62aecd94149ad10f","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae",NA,NA
"85baea190d7315401bd8d224bbd196f2","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA
"b9311732854cb0d3493a2e9e85d8bd0f","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"faf7861cb232eee2054e46e1fe673d3f","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"d6d1b2b144665b9fcf1a7c4f57d8d5d7","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"04413a27f14f5ad2016083b889138fce","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA,NA
"ac16b14bf5d554d11b83ff27d4bd674c","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",NA,NA
"f1eb103fe76e5e7f2e009f8785c7f09a","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3",NA,NA
"f798f8fbcc73baea0eb85d606590d1b5","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"d171d59ba35e8288cf343812b41e4f7a","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria",NA,NA
"9b5e039fe10d6eb9ddad82003342c1e1","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria",NA,NA
"45962bc8d8e4874791d343112e12c4b0","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria",NA,NA
"46b0b18a2c2494b750f8e4ad1c90898a","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"f3619a72f27118697126a904620feaf8","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"efb859d7e20ef1c61419d6673196c811","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria",NA,NA
"154f8ae806d654126619a56f61fe1c25","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1",NA,NA
"090641e7f7e3b9f2a2cbc071118394ac","d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"9ca73fb84215e6d7d684d207af82338b","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"9c69cd95d6d498c80245233d3b1bf849","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria",NA,NA
"0828ceb52a6de77c35565f8c2d54c879","d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria",NA,NA
"8e3dc6bb1fe7f08fec33c8e7173ce38a","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b",NA,NA
"abe95745f22f60eaa1c8455f80d3cdcf","d__Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","Caenarcaniphilales",NA,NA
"a8b25723f18ff1b48b46b6bcd725f727","d__Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae",NA,NA
"5e700251b01ff011ce7e8d8eef742bc2","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae",NA,NA
"12f4956c6c94a7abbd64b28e6e158958","d__Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Unclassified Phormidesmiales",NA,NA
"b9c2fc17168ae9d7f90bae5181e81167","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"7b1370e420cb61a73ee5ac8b47e82ee9","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
"0771988f924cf3f5804ce8369d94f09d","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis",NA,NA
"d58bb12cd601d911966ee9a1ca05f7f8","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae",NA,NA
"239f535a302fdbd79c9ff87d81d00d58","d__Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified Bacillales",NA,NA
"7db93e38cf78596ef15a7fb407ad6e7c","d__Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae",NA,NA
"f84ef60a8ea746b179e54197e840bef5","d__Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria",NA,NA
"49a2c44b0462d2532c4f0af18f39a133","d__Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia",NA,NA
"fa7e95899ac79b7e2d05daa837f1b2b9","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae",NA,NA
"74f7158cac58d7b32594964c7c5998a5","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"baa019a59389a0246c0dc2b8147430ce","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales",NA,NA
"4999a792886821ea522633f67b9be7a3","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Thermotaleaceae",NA,NA
"5112272f438dd446d1f46d669870f854","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae",NA,NA
