"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","008-C119-T","E5","Coral Tissue",7.038124276,40
"2","011-C120-T","E5","Coral Tissue",9.997758291,75
"3","014-C121-T","E5","Coral Tissue",6.550046195,41
"4","018-C122-T","E5","Coral Tissue",9.207876404,50
"5","024-C127-T","E5","Coral Tissue",35.232146748,225
"6","027-C128-T","E5","Coral Tissue",25.580456351,150
"7","030-C129-T","E5","Coral Tissue",20.809526818,117
"8","032-C132-T","E5","Coral Tissue",8.583120056,58
"9","036-C133-T","E5","Coral Tissue",10.805797046,64
"10","042-C143-T","E5","Coral Tissue",22.08281113,150
"11","045-C144-T","E5","Coral Tissue",16.462697055,94
"12","048-C145-T","E5","Coral Tissue",30.469548054,224
"13","052-C148-T","E5","Coral Tissue",32.60415587,204
"14","055-C149-T","E5","Coral Tissue",32.805019498,199
"15","061-C151-T","E5","Coral Tissue",36.218802361,267
"16","066-C153-T","E5","Coral Tissue",20.887081511,109
"17","070-C327-T","E12","Coral Tissue",3.724295274,49
"18","073-C328-T","E12","Coral Tissue",8.715399709,115
"19","074-C369-T","E12","Coral Tissue",7.101605044,83
"20","075-C370-T","E12","Coral Tissue",3.816594273,25
"21","076-C371-T","E12","Coral Tissue",5.035122713,95
"22","077-C372-T","E12","Coral Tissue",5.42264795,97
"23","078-C373-T","E12","Coral Tissue",6.608875155,110
"24","079-C386-T","E12","Coral Tissue",9.636220943,130
"25","080-C435-T","E12","Coral Tissue",11.803725202,167
"26","081-C436-T","E12","Coral Tissue",7.509184732,125
"27","082-C437-T","E12","Coral Tissue",12.202553846,192
"28","095-SING11-T","E8","Coral Tissue",3.83372677,92
"29","096-SING12-T","E8","Coral Tissue",2.956211455,53
"30","098-SING09-T","E8","Coral Tissue",8.607586355,47
"31","099-SING14-T","E8","Coral Tissue",16.313363474,141
"32","103-PW164-T","E11","Coral Tissue",13.878880925,80
"33","106-PW165-T","E11","Coral Tissue",13.346590831,91
"34","109-PW166-T","E11","Coral Tissue",50.070104951,437
"35","112-PW167-T","E11","Coral Tissue",39.420192777,304
"36","115-PW168-T","E11","Coral Tissue",9.077178659,53
"37","119-PW169-T","E11","Coral Tissue",30.323942612,229
"38","122-PW170-T","E11","Coral Tissue",35.30827452,278
"39","125-PW171-T","E11","Coral Tissue",38.005446593,278
"40","128-PW172-T","E11","Coral Tissue",40.132583789,327
"41","131-PW174-T","E11","Coral Tissue",15.731835927,109
"42","136-PW176-T","E11","Coral Tissue",31.100867631,235
"43","139-PW177-T","E11","Coral Tissue",45.508419238,368
"44","142-PW178-T","E11","Coral Tissue",35.400656879,256
"45","147-PW182-T","E11","Coral Tissue",42.866563244,335
"46","151-PW183-T","E11","Coral Tissue",24.188922052,162
"47","154-PW185-T","E11","Coral Tissue",32.916429752,257
"48","157-PW186-T","E11","Coral Tissue",44.488442411,345
