"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","E3.11.Fun.sp.1.20150125.T","E3.11.Fun.sp.1.20150127.T","E3.11.Fun.sp.2.20150125.T","E3.14.Phy.lich.1.20150129.T","E3.15.Dip.heli.1.20150105.T","E3.15.Dip.heli.1.20150106.T","E3.15.Dip.heli.1.20150118.T","E3.15.Dip.heli.1.20150120.T","E3.15.Dip.heli.1.20150121.T","E3.15.Dip.heli.1.20150123.T","E3.15.Dip.heli.2.20150105.T","E3.15.Dip.heli.2.20150106.T","E3.15.Dip.heli.2.20150119.T","E3.15.Dip.heli.2.20150121.T","E3.15.Dip.heli.3.20150105.T","E3.15.Dip.heli.3.20150106.T","E3.15.Dip.heli.3.20150120.T","E3.15.Dip.heli.3.20150121.T","E3.15.Dip.heli.3.20150123.T","E3.15.Dip.heli.4.20150105.T","E3.15.Dip.heli.4.20150106.T","E3.17.Ech.horr.1.20150123.T","E3.17.Ech.mamm.1.20150123.T","E3.17.Ech.mamm.1.20150127.T","E3.2.Tur.reni.1.20150127.T","E3.3.Por.cyli.1.20150123.T","E3.3.Por.cyli.1.20150127.T","E3.3.Por.cyli.2.20150123.T","E3.4.Pac.rugo.1.20150127.T","E3.4.Pac.rugo.1.20150128.T","E3.4.Pac.spec.1.20150128.T","E3.4.Pac.spec.1.20150129.T","E3.5.Gal.astr.1.20150124.T","E3.5.Gal.astr.2.20150124.T","E3.6.Acr.hyac.1.20150106.T","E3.6.Acr.hyac.1.20150118.T","E3.6.Acr.hyac.1.20150121.T","E3.6.Acr.hyac.1.20150123.T","E3.6.Acr.hyac.2.20150105.T","E3.6.Acr.hyac.2.20150106.T","E3.6.Acr.hyac.2.20150120.T","E3.6.Acr.hyac.2.20150123.T","E3.6.Acr.hyac.3.20150105.T","E3.6.Acr.hyac.3.20150106.T","E3.6.Acr.hyac.3.20150120.T","E3.6.Acr.hyac.3.20150121.T","E3.6.Acr.hyac.3.20150123.T","E3.6.Acr.hyac.4.20150105.T","E3.6.Acr.hyac.4.20150106.T","E3.7.Pav.vari.1.20150124.T","E3.7.Pav.vari.1.20150127.T","E3.7.Pav.vari.2.20150124.T"
"d5e9f8bfb2656e621ab59da2e4b97044","d__Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales","Dadabacteriales","Dadabacteriales uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e900b6f185d6aa6b2d9ee42fff8e738b","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"397fa6f6bde9ee00e67f3b04a68ed5bb","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c2c3152d21e135b3ad0ebc375548d42a","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab7e9ea4cbd678177e8f04d297b82601","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fd8271e59fb1c99abb3c6a8efbc5832","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76d37f0f3d421c64d3de55e3b495da94","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d8adcf88ce9cc6ddb0a253f4f9c7581","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1","Unclassified ABY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2c78761454cfc2959cd6877bde02ae4b","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Unclassified  Candidatus_Kerfeldbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4736b1470c039ea7a3c2c0e1ee9bce42","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Unclassified  Candidatus_Kerfeldbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
