sequence	16S_rRNA_Count	metadata_NSTI
00007caaa6bcd40faf94b4bade0eb8ce	1	0.637501
00007daa3ca3870e0f669425ddd2de13	10	4.224732
00009376cff2dc50681aa00ed51dcf9c	2	0.401434
0001887245d7b2926a5d46fbe43d0c2d	1	0.6018560000000001
0001ddf5e332f2b20fa40fbd7aa2f6a0	3	0.10781700000000001
000275e36902163a7b1275e9de284c61	1	0.7316229999999999
000465053369252ac44dddb872820d32	1	1.037548
000472ede72bcc785264fe37a36a795f	5	0.119554
0004738405759f4843eaa86084c68289	1	0.042293
0005561ecb38188541da5c4382316816	1	0.8670389999999999
000655569a525cd71c3f21029a838a56	1	0.627865
00067e3fdec213b81f097197fa71ca22	1	0.6852520000000001
000696ac403f997818c520b795e915d3	1	0.8973629999999999
0007f74668db1ff209badcee91ae863a	1	0.454984
00091b4a929c7b0ddd05ac49926d2da0	1	0.519698
000956bd052a30dd22c96e5aff7dd204	1	0.37367100000000003
0009f30e5e0e2239081eeb210109da0a	2	0.19603900000000002
000a4c9a7f06811d3973fba0f4d17196	1	0.414108
000b8ac9f1d29cf2f3d31beffcca45d4	1	1.0018209999999999
000cc650e867d492855e64d18abd852a	4	0.14063
000e18f20f1e631cba2b4e9d18625598	1	0.357165
000e2015167869b0b49033ab31ac1a27	1	0.10912000000000001
000e404fb97dcc8aa1583f33c40766b4	1	0.353479
000fa1c3d194b0fa469cbe65efef4c8d	2	0.611811
000fcff43c283c34b43aae6c02fabbce	1	0.020955
001001776c08481bbaf04151fc033dd0	1	0.44828599999999996
0011a2cb80d897750d5eaee2c2b0ec21	1	0.146315
001289f1ea2f154060e8f7b858a0f549	2	0.21803499999999998
001313267e461f05cb950c87a9a1c87e	1	0.439784
00134c9a5f884aa8d01af5e3a7b6b9a4	1	0.32911
001445881196e9fd34f33b7b157310a1	1	0.7388979999999999
00144e3fed7d9c9fd6f25ef428163a1c	1	0.361252
00147226b5024fc5fbea62ccea0c726a	1	0.736647
0014912663e2d75fbadcacefc0d24dc5	1	0.255911
0015a182a4ab5c65369827420239fddb	1	0.16528099999999998
0015ce3dfbd4bf107da6aa3588f4bce9	1	0.752888
0015d076cec8733c2dde7690c6e17308	1	0.246381
001619b2b13cf94247d34a897675c06e	1	1.391362
001671a5fc2053a14ad19dfd9a58fbe6	1	0.246259
0016b499c520cd55ad15bd670e6635f7	1	0.055076
0016c040a7b423165ce7b748c1663e92	1	0.140399
00173f54867eb1eb8b46976f982f4c7d	5	0.702687
00177e8702a557b0bf4d73f28c795fee	2	0.555651
00182506d8dd57939f7ad77c96e3ad27	2	0.161574
00191106d8e8d8ee610d1e0ee6a75b4c	1	0.8798040000000001
001989af8bc4402bcc4a0d723cbbf44a	2	0.584249
0019e7d92bbe66778863ba69335d9338	1	0.383234
001b066d94537f4f95b44758cb92504e	10	5.406924
001bec4e8dd9709f0e5f6ac57066c881	1	0.704497
001c2965d88d233cc9dfc2a63c21ae95	1	0.050663
001c5ff06bad62ce6adaf9c2899b06f2	1	0.146421
001c82c1f693fa3ef7c9420c97e541fd	1	1.136662
001cb6abd3589e2823ed972d0def2312	1	0.297752
001d3be7a06b8adfe74a5ba9be719e2a	1	0.260472
001d60766a1c3363b36392bd1936da11	1	0.236643
001ec4d8146414baf53ccbfe9a024182	1	0.066562
001eec60116eecf159938c6384e9bf85	1	0.52969
001f56fab62bca6faae2c763bc271118	1	0.294217
001f6e4d54a2fe07192a749278238028	1	0.448221
00201623f17990c552beac04e33e0db2	2	0.7098140000000001
0022ad5ea76e97b78c8555a3b323baac	10	3.874268
002313c9923c61b8898488755c0f9eec	1	1.7850979999999999
002341b1b30a2d71f1307d8d9eb3b84d	1	0.6146050000000001
00235675e41eb6038b458800cfd4b542	1	0.19508499999999998
0023a7912806628316b123863c557325	1	0.5268
0023cbbc1d1897096c76aecf7e473471	2	0.289106
0026f2fcabf14e323131fb48e469c92a	2	0.24753899999999998
002744d022aa84128cc32b62f286b294	1	1.060501
0027667c24931c3920198c6062443e0b	3	0.553199
00278172493cf838770bb6dc46bb9fb1	1	0.194487
002789973dfd2891b1ad7e6e124aa76a	1	0.9994790000000001
002818afb87780dffa097d8f5edd5298	1	0.873495
002873a005bbe9e04aaa06ce64b2ba7b	1	0.8254879999999999
00291f777a2f340083ec36c35587189f	1	0.034082
002a0fcfb9be2370a7b77a80a87049b1	10	1.9243279999999998
002a8447d3b648408dbb3a78d8ad55bf	1	0.709124
002b84d60880fb8259e468e7d4191170	1	0.252799
002bb55e367f96d17fd5373b5230f3f6	1	0.10216
002bc33df035616eef4dcc622927ac5a	2	0.41156800000000004
002d4269309761a5f90523ed4689e8f8	2	0.13639500000000002
002dc251dc36899262059a218596e0f2	1	0.787243
002deb283167ea0a0208c5b9dfd27723	1	0.774266
002e12c4960e3ca2565d1d329af023ef	1	0.11456500000000001
002e2fb7e1884c0659196f6b987e2ca2	1	0.782831
002f3b8428f571e51354c7631e1ed895	10	3.671836
00300d0138d42c76e4b07d76683475a9	10	7.426111
00318cce568a49601d58c9467191328e	1	0.066579
0031fae3ce59f79af3d9fdc64160e502	1	0.575587
0032f389cbfe2371c9f7ffded0187c8c	1	0.513674
00331ec95d616c9b7de505944c5e0b3d	1	0.7912520000000001
0033c4467fed43a2aa46be9b3315bd8a	10	8.232362
0033cc2abd99548ab9f85ae76e8d04da	1	0.207421
00354942d7cd22620e2e08fab1f314c4	1	0.254749
0035609452fa44fcf59b58e93d27f2e9	4	0.199569
0035a2d3cce1c56469efd223c446c936	1	0.042438
00364aabe031db7552d2f4481d0a4570	1	1.069138
00366333c3c0e705575a36844f22158e	1	0.8323709999999999
0036a1c26e80e25a2339f7874cc1b843	2	0.356381
00373ba7f9e7fce7490cf98cedd10731	1	0.044563
003829bdd0a0506afa9324dbf80225d6	1	0.22150799999999998
0038768303eb27857a3804d78c72a0f6	1	0.128057
00393797d6c10f9d62047348e83eddf4	1	0.8085399999999999
00397ef0239bed4c4c59febe4b97e2f3	1	0.47735600000000006
0039eab75960942c30b345609a94130a	2	0.324885
003aad2584ac00fbce47aa97a13b68dc	1	0.630099
003be1d1d3482bdba40c5328990b2a99	1	0.10910399999999999
003beed65e8e2eef172e66cb4f80a377	1	0.41571800000000003
003d0e8415fe780cdbacdcfdc73e8bdf	1	1.105507
003d1202491c80ac6dee3143f358e1fd	1	0.189404
003ef48646323834250f6d41ed1b1331	1	0.144536
00406955760c9e9d236340fbc79e27bc	1	0.219561
0040734a6b7166d617fe9e85eaf4033b	1	1.6002319999999999
0040aa36498c9684df8b25658cb43f6b	1	0.533089
0040dc98cbe880f4ad7584d7ff72e4a6	1	0.301444
0040fe12843a45ee32dc6df055a3aa0d	1	0.076681
0041fc13e371387c01a1509dc32faeb6	1	0.31717
0042c045c19bfc278aaea909cae6e7f5	1	0.407086
00432fec243aa09c9d8e8324dee314df	1	0.633367
00457cc60ee0d86336b3d0318d18a137	10	6.109532
004583593c796cc1ebc8697036692d9e	1	1.095399
0047c143c2cece4daf30d6d27748ea82	10	2.581491
0047f1821e084f4260dbb93a17d28985	2	0.505833
004850ce8dc82edc57ffcb299a7e6ade	2	0.433488
0048b54ee1f5035cc574f6bff4bee812	1	1.0078610000000001
0048f78489544d2ff7ced1362a829ece	1	0.582742
004958440d581981be7e628fa7f66ffd	1	0.36235100000000003
004a4eff889f640442a4516342cd4b34	1	0.30330799999999997
004a4f59b4857b106afc5a511dde615f	1	0.964894
004b5ae4cdd6d1d780df79c4111b5258	1	0.316869
004d30938a31c3a2d61069a6d12cb1cf	1	1.189087
004d622e962870a842bccb70f2c1b9d7	1	0.112954
004e15f79faa11b42729cd34eae80f37	1	1.523879
0050489420b46de2883aec37e74c90ac	1	0.369384
00507e440bc9995e4e3a646ed13f88b9	2	0.46441000000000004
0050de26e632d1108d5cd9d784c28ffd	1	0.5540430000000001
00518272dc0e240c3b42650f18131acc	1	0.697415
00526a0e3ffaaaa09e89359d28a2f6ec	1	0.149625
0054e61271e3afb6474d004516a4cba7	2	0.423037
0056cbf0e88142efe3c98ca5bbf1d206	2	0.052298000000000004
00574791b32540a23c18d28370ee14f8	1	0.709731
0057fbd565f9f66adbfbedfd63d88351	1	0.33853099999999997
0058c2a5c6994fd780f8eb4317941921	1	0.772936
0058d86a24d35baffec044ac1e30ed2c	9	0.072628
005bc535d24ab6d7153b922bb3d42d61	1	0.50592
005cd03b3e3bb0a11b4459628cb9afc5	1	0.672708
005dd4ad3df203a12bd4416688f8759f	1	0.27471100000000004
005ea46c8823ad9095e40f93fe95b216	1	0.248689
005ee4e4a86d5d43ea83f364310553af	1	0.15775999999999998
006002b64bf559e8c129adbd37dc9fde	1	0.17879
0060469661dcd62be8bd286a2319c2af	1	0.27853
0061725889642df67407990205a71e8a	1	0.146315
0062f38302a4c5d4114453b541a0a280	1	0.529367
0063c7bce246d9fc3cec3d5c2178a580	1	0.395095
0064984c4c35734c28db244dcf9cbb04	1	0.33717199999999997
0066e4a7062e4b3b91902859885ef40a	2	0.220458
006788cd34867b8f298e5803979e51bb	1	1.0717139999999998
0067b71f44b1b0176049f851813d34cc	1	0.130456
0067cb78277c2d63a553acbae2177d35	1	0.50817
006840a7f0625801ec10b2c86932e953	3	0.415138
006983fd9c59cf01bb846c3fb394e9e1	1	0.381786
006a28d5e9d45058eb126fc433061ca4	1	0.115567
006b038b640644ab5e5d52e7dd0e9800	1	0.815171
006b65fffd1c5e2c8c8e16a656241636	1	0.053475
006be3dea34dcd0b79472b7d280dc25d	1	1.14252
006ce5fc06585ff8ea88ddef6075247a	1	0.612618
006d4e75e90b323d0898b41425504150	1	0.645571
006dcf55c3389f53a3b6d6255ecb43ca	1	0.341725
006ef34c8bcef3c479ba8845c1595815	10	3.830064
006f9ddb77e72b2679345707fd0b8571	1	0.289787
007120448d5f0c8cfda4148e3a726af5	1	0.298227
00713bf3442c79624c52cbadc95b1ee3	1	0.58273
0071b3c1988dbddaedcf59574226817f	1	0.717857
00723e9a7a00d4cec0db2d78aa2b1e00	1	0.429547
0072f23f836164d6befb11ae3e29d908	1	0.199524
00740a0c0ae51fada5e13844e97e86ff	1	1.1698
0074c28e7ef908eeafc8b7f402d7f399	1	0.048704000000000004
0075e97646d4fb624722c8a7e37dd70f	1	0.761842
007639a0cfdcfb43b43b2e0a9b4a2a26	1	0.382788
0076dff891e3fee96113bb8b302597d4	1	0.29485900000000004
0076eede2e87015e8d2d386ddeff3b2f	10	3.807286
0076f4423f259c6920e32b21f055fac8	1	0.346489
0077314722862a6ab1a8c7d3d5ff5b89	2	1.114767
00777c09cbd57344a3ceac7dc0e24726	10	5.394516
007798f21ec458b18e4510838e869b25	1	0.739483
0077ac1f56ac481cfc24e6f701c413da	2	0.053398
0078eecbe1fdf71eb78570fc8a9d8dd1	1	0.22795
007922d015d6845d6c94d2c5744f4ac9	1	0.39511399999999997
007a60b35fbf58eac1024ab34485feee	1	0.538756
007a9555cc2b9d6a45c1f0e149975834	1	1.758675
007b490ed0de01097c3f7ae9a3811f3c	1	0.457157
0081b070e5bc31d88bdd5c96f30234b3	2	0.19959200000000002
008294b9787618202dafb11d22103c7d	1	0.586847
0084d2e20f2d6ce208c86c00c3afc6fe	1	1.171676
0085197404533b33dee5b1dfc3ae4b59	1	1.9772889999999999
00853e70ed99bdfb0f82f3307ccaae61	1	0.224847
0086f6b45f8285dd8836c744e25f37fa	1	0.5883
00887ad75b55223b9bc3953574efb321	2	0.054463
008a32a091e2b06777954b5c901a4f49	1	0.35497
008b5e82eb5786c70b13efc4d5ee012a	2	0.490782
008b9a28c45db1657384ea24ea4e4f81	2	0.229223
008c72cd951035ccc7addb0ffcffcbd9	1	1.022278
008cce7ce9be694ee2b0ce2554c55e1c	1	0.056746000000000005
008dbfd773d57767f0bf40e3939165d6	1	0.591276
008e56522a681cbe75db4733d5eb3177	1	0.33853099999999997
008ea6e3b770dd4bc2400793003d0fe6	1	0.068247
008ef6cf95499f7b42559d7d0d292458	1	0.066575
008f4fa5578ed385c41becbd7c5d4f3a	1	0.8888450000000001
0090247c064f13c02043410e20de4191	1	0.19919800000000001
009202934fa195147a0dc21c74bb5c43	1	0.435091
009253429fa592c98a51788e0ab636b0	1	0.962541
00937c07a8e18f3f4b06c6113503e06f	2	0.339464
009398e231fa5e73eb4cc5a83ffe7ee8	1	0.293941
00942346b712de1fe5dd8a72e108d245	1	0.75493
0095a1076fe0e24f4cf4b55edac54ce3	1	0.972726
0096458280ca0a10ed68986cc686d576	1	0.042262
0096474241b98e673f0fbf4f45068d53	1	0.585228
0098103a61cadc65d782e49366331a27	1	0.344069
009830c9351473e3eebc2ebf8072cad6	1	0.09862
009937539afdc5c9da6ce04d91b10795	1	0.4584
009938a8ce1b8046021a51116579a212	1	1.474189
00996e0802bc2478f6fb3283d9d7920b	1	0.260375
0099723ce509baa85b1a10412535b5a2	1	0.260393
00998ea67fb4ef78bb9f1d5f1aabdcf2	1	0.361252
0099f1e0539d8e26e484ae4946617a06	1	0.675771
009a0d3914b29f98fd35b58bc3dc3332	1	0.920484999999999
009a859cff98e8e7d5c508b83f7d4bea	1	0.219678
009bbc18f49591737e1fe2ea6cbd4484	1	1.830634
009bc650c5a6084112cbcefad6f1e33b	2	0.12455
009bd4f2248ba8acad1bff15b08203ee	1	0.184158
009c80afa4d006674994c6a94f967d4d	1	0.07707699999999999
009dba2f2f520dc61a5e9b304b76e19e	1	0.757251
009dcb929e282dd2375a4a9efa5ea53c	1	0.823368
009fb9cd5623191d9b55152bdc049d17	1	0.523572
00a2cd3d38116e0b007f744d068bacb4	1	0.33853099999999997
00a444c55562022800c6d0e8b6a89494	10	4.647653
00a48ec0b3a2dda419f7c2ab47f5aaa8	1	0.72123
00a6a7db41247706ba10b6c21f746174	1	0.152568
00a712a5c5a74a2a6df8f94e67f7f1aa	1	0.737175
00a7fdfa8cf35f3776c9485836731c84	1	0.996455
00a8117c344a8fa26679b2f37447cf44	1	0.6620729999999999
00a9169f9fe499eabf1f58635d41090e	1	0.349541
00a98437dd371643a9cbe9c606f1d75a	3	0.9653700000000001
00aa56bff3dada7126de60df41abd8a5	2	0.43854499999999996
00ababb2a4509db0365592ab6dd457fb	1	0.339033
00ac072ea4003fd557a03f22fccd3880	1	0.739476
00ac1a06c03f828c211f6ad1f0836bff	1	0.8851509999999989
00ae2e86f4418ab9717e5b0fedf9313d	1	0.746449
00af6b77d3025c012f636c246cc71ec8	1	0.417103
00b016627d6de2fa9c82e4c975d27c9f	1	0.079916
00b03c122f6b71a249f0fbd4aa1e26f1	1	0.552855
00b0d60d8038bad3cf1772b08c425809	2	0.122057
00b0dd3f100334f691c4215a271efd32	1	0.104359
00b0efac294acc1d8333ebdad8021797	1	0.563284
00b18cfe0b6074db068fc28860de18fe	1	0.9337549999999999
00b1a689d6ca7f079e98099773f8f47d	1	0.47055699999999995
00b1dd7fd663777ba6e05625515d4a72	1	0.23821199999999998
00b2ccc5cb3345ceaaa3b6a771fc342d	1	0.225559
00b32cf7639608fd36eb863e6ca43218	1	1.044286
00b4311d6b753d6f1ec723573a187496	1	1.44651
00b7ca4c25fdbdc4ae021af1bfb30496	1	0.751468
00b7ce017bf973e77ded430399963033	1	0.24886999999999998
00b7d2916a7c107577a2fbcd7a09f242	10	4.793678
00b80bc419e4b6ff4385890c37e7259f	1	0.585345
00b8332f92d5797518dfd51498b9d181	1	0.137647
00b8c7fda860934c09cd308debea16ec	1	0.729089
00baf83819f269f80e222ee532dcdd75	1	1.390107
00bc0d05d7fbf317958f113ac6e57290	1	0.826684
00bc351ecfdc0ac3f8813e60cf3dff4e	1	0.153906
00bc693155d3c9195568bee5f51c8dd4	1	0.9539340000000001
00bcb129037e49ca4e1ae01484a35ce0	1	0.244596
00bd23e0440cb15b8c916512abe4263e	1	0.135824
00bd45b06aebb11cad04ec72e9f4f712	4	0.085918
00bea77c69db7aa267bbdac9dab4e7df	1	0.806484
00bf2804128ff570959f91c9127499d9	1	0.090303
00bf557a0ac0edfc48e7215f833c3402	1	0.085126
00c0de7cbde3b86c17066a2fd3028470	1	0.235514
00c1a50ce172beda4c81abbc9b955bb0	1	0.20111400000000001
00c1f879c847e75c9f8906c5b03c1004	5	0.603846
00c2257f88ae1fefded37b8d90cce091	1	0.23581999999999997
00c31d903f4085799edea2e134dfbe54	1	0.736006
00c33e8ba01ec20dab8324ab3fd1cbdb	1	1.179049
00c45f21ebe58a5fbcac061612426702	1	0.33853099999999997
00c59921dfdb6dc5758726aeb741c094	1	0.550678
00c5e2743e66cdd095d8577276555add	3	0.47307
00c6642a4ebccdb389fef5fd01cb3a64	1	1.169391
00c7e6ed6d2178a5676017d3f74c80f9	1	0.066863
00c80ff797dfd1dca5bebac49d974d27	4	0.097648
00c840fa6f45c33742fb2980b9f84261	1	1.436308
00c8e5140a2ae2db708237c744746ef5	1	0.361252
00ca2e28cf01c000f2b7017ade012709	1	0.8893019999999989
00cc4e3da359e7e2729100005f9f025c	1	0.223077
00cc7e118afe4e26aa86e5cbf7c9b8ed	1	0.453771
00ccbc8022d7dab87ed3f62e558cb7c6	1	0.353243
00cd4e8cee7465de9bfc985e7d4fc10d	1	0.066209
00ce4a7233be663656c91e143c9f1770	1	0.54762
00ce774980897533ccba1b04e478971c	1	0.293443
00cf4a7b5dfabf807dc860a781f2e72d	5	0.114309
00cfa0bf636d90cb83964d7976627ea6	1	1.357599
00cfded18c26a8556670fb18f7dafe2e	1	0.682706
00d033660f8d94ea027b297fcc992137	1	0.537465
00d058c7f8a8ae1b30167086929ec7e8	1	0.487701
00d2be4f316dff9b4908036f5c7cd581	1	0.21201
00d33e3706f58b47f957da8f40758cee	1	0.097468
