"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E5","Orbicella faveolata","below","Skeleton","1256-004-C118-S_below","Skeleton_below"
"E5","Orbicella annularis","below","Skeleton","1256-007-C119-S_below","Skeleton_below"
"E5","Orbicella faveolata","below","Skeleton","1256-010-C120-S_below","Skeleton_below"
"E5","Orbicella faveolata","below","Skeleton","1256-013-C121-S_below","Skeleton_below"
"E5","Orbicella annularis","below","Skeleton","1256-016-C122-S_below","Skeleton_below"
"E5","Orbicella annularis","below","Skeleton","1256-020-C123-S_below","Skeleton_below"
"E5","Scolymia sp","below","Skeleton","1256-023-C127-S_below","Skeleton_below"
"E5","Scolymia sp","below","Skeleton","1256-026-C128-S_below","Skeleton_below"
"E5","Scolymia sp","below","Skeleton","1256-029-C129-S_below","Skeleton_below"
"E5","Montastraea cavernosa","below","Skeleton","1256-035-C133-S_below","Skeleton_below"
"E5","Stephanocoenia intersepta","below","Skeleton","1256-041-C143-S_below","Skeleton_below"
"E5","Stephanocoenia intersepta","below","Skeleton","1256-044-C144-S_below","Skeleton_below"
"E5","Stephanocoenia intersepta","below","Skeleton","1256-047-C145-S_below","Skeleton_below"
"E5","Diploria labyrinthiformis","below","Skeleton","1256-050-C148-S_below","Skeleton_below"
"E5","Diploria labyrinthiformis","below","Skeleton","1256-054-C149-S_below","Skeleton_below"
"E5","Diploria labyrinthiformis","below","Skeleton","1256-057-C150-S_below","Skeleton_below"
"E5","Siderastrea siderea","below","Skeleton","1256-060-C151-S_below","Skeleton_below"
"E5","Siderastrea siderea","below","Skeleton","1256-063-C152-S_below","Skeleton_below"
"E5","Siderastrea siderea","below","Skeleton","1256-065-C153-S_below","Skeleton_below"
"E12","Montastraea cavernosa","below","Skeleton","1256-069-C327-S_below","Skeleton_below"
"E12","Montastraea cavernosa","below","Skeleton","1256-072-C328-S_below","Skeleton_below"
"E11","Pavona clavus","below","Skeleton","1256-102-PW164-S_below","Skeleton_below"
"E11","Pavona clavus","below","Skeleton","1256-105-PW165-S_below","Skeleton_below"
"E11","Tubastraea sp","below","Skeleton","1256-108-PW166-S_below","Skeleton_below"
"E11","Tubastraea sp","below","Skeleton","1256-111-PW167-S_below","Skeleton_below"
"E11","Pavona clavus","below","Skeleton","1256-114-PW168-S_below","Skeleton_below"
"E11","Tubastraea sp","below","Skeleton","1256-118-PW169-S_below","Skeleton_below"
"E11","Pavona clavus","below","Skeleton","1256-121-PW170-S_below","Skeleton_below"
"E11","Gardineroseris planulata","below","Skeleton","1256-124-PW171-S_below","Skeleton_below"
"E11","Gardineroseris planulata","below","Skeleton","1256-127-PW172-S_below","Skeleton_below"
"E11","Pavona gigantea","below","Skeleton","1256-130-PW174-S_below","Skeleton_below"
"E11","Pavona gigantea","below","Skeleton","1256-135-PW176-S_below","Skeleton_below"
"E11","Porites panamensis","below","Skeleton","1256-138-PW177-S_below","Skeleton_below"
"E11","Porites panamensis","below","Skeleton","1256-141-PW178-S_below","Skeleton_below"
"E11","Porites panamensis","below","Skeleton","1256-144-PW181-S_below","Skeleton_below"
"E11","Tubastraea sp","below","Skeleton","1256-146-PW182-S_below","Skeleton_below"
"E11","Pavona gigantea","below","Skeleton","1256-149-PW183-S_below","Skeleton_below"
"E11","Psammocora stellata","below","Skeleton","1256-153-PW185-S_below","Skeleton_below"
"E11","Psammocora stellata","below","Skeleton","1256-156-PW186-S_below","Skeleton_below"
"E11","Psammocora stellata","below","Skeleton","1256-159-PW187-S_below","Skeleton_below"
"E11","Pocillopora damicornis","below","Skeleton","1256-162-PW190-S_below","Skeleton_below"
"E11","Pocillopora damicornis","below","Skeleton","1256-164-PW191-S_below","Skeleton_below"
"E11","Pocillopora damicornis","below","Skeleton","1256-167-PW192-S_below","Skeleton_below"
"E11","Gardineroseris planulata","below","Skeleton","1256-170-PW193-S_below","Skeleton_below"
"E11","Porites lobata","below","Skeleton","1256-173-PW194-S_below","Skeleton_below"
"E11","Pocillopora elegans","below","Skeleton","1256-176-PW195-S_below","Skeleton_below"
"E11","Porites lobata","below","Skeleton","1256-179-PW197-S_below","Skeleton_below"
"E11","Pocillopora elegans","below","Skeleton","1256-186-PW199-S_below","Skeleton_below"
"E11","Pocillopora elegans","below","Skeleton","1256-191-PW202-S_below","Skeleton_below"
"E11","Pavona varians","below","Skeleton","1256-194-PW203-S_below","Skeleton_below"
"E11","Pavona varians","below","Skeleton","1256-197-PW204-S_below","Skeleton_below"
"E15","Porites lobata","below","Skeleton","1256-201-HI6-S_below","Skeleton_below"
"E15","Montipora capitata","below","Skeleton","1256-204-HI7-S_below","Skeleton_below"
"E15","Pocillopora meandrina","below","Skeleton","1256-207-HI8-S_below","Skeleton_below"
"E15","Pocillopora meandrina","below","Skeleton","1256-210-HI10-S_below","Skeleton_below"
"E15","Leptastrea purpurea","below","Skeleton","1256-213-HI57-S_below","Skeleton_below"
"E15","Lobactis scutaria","below","Skeleton","1256-217-HI58-S_below","Skeleton_below"
"E15","Montipora capitata","below","Skeleton","1256-220-HI59-S_below","Skeleton_below"
"E15","Pavona varians","below","Skeleton","1256-223-HI60-S_below","Skeleton_below"
"E15","Porites evermanni","below","Skeleton","1256-226-HI61-S_below","Skeleton_below"
"E15","Pavona varians","below","Skeleton","1256-229-HI62-S_below","Skeleton_below"
"E15","Pocillopora damicornis","below","Skeleton","1256-236-HI64-S_below","Skeleton_below"
"E15","Porites lobata","below","Skeleton","1256-239-HI65-S_below","Skeleton_below"
"E15","Leptastrea purpurea","below","Skeleton","1256-242-HI66-S_below","Skeleton_below"
"E15","Porites evermanni","below","Skeleton","1256-245-HI67-S_below","Skeleton_below"
"E15","Gardineroseris planulata","below","Skeleton","1256-249-HI68-S_below","Skeleton_below"
"E15","Gardineroseris planulata","below","Skeleton","1256-252-HI69-S_below","Skeleton_below"
"E15","Lobactis scutaria","below","Skeleton","1256-255-HI70-S_below","Skeleton_below"
"E15","Tubastraea coccinea","below","Skeleton","1256-257-HIA-S_below","Skeleton_below"
"E15","Pocillopora damicornis","below","Skeleton","1256-260-HIB-S_below","Skeleton_below"
"E15","Tubastraea coccinea","below","Skeleton","1256-263-HICS_below","Skeleton_below"
"E2","Montastraea cavernosa","below","Skeleton","1256-272-P2-S_below","Skeleton_below"
"E2","Montastraea cavernosa","below","Skeleton","1256-282-P1-S_below","Skeleton_below"
"E2","Orbicella franksi","below","Skeleton","1256-286-P6-S_below","Skeleton_below"
"E2","Orbicella franksi","below","Skeleton","1256-289-P7-S_below","Skeleton_below"
"E2","Orbicella faveolata","below","Skeleton","1256-292-P8-S_below","Skeleton_below"
"E2","Orbicella annularis","below","Skeleton","1256-296-P11-S_below","Skeleton_below"
"E2","Orbicella annularis","below","Skeleton","1256-299-P12-S_below","Skeleton_below"
"E1","Pocillopora damicornis","below","Skeleton","E1.10.Poc.dami.1.20140731.S_below","Skeleton_below"
"E1","Pocillopora damicornis","below","Skeleton","E1.10.Poc.dami.1.20140905.S_below","Skeleton_below"
"E1","Fungia sp","below","Skeleton","E1.11.Fun.sp.1.20140811.S_below","Skeleton_below"
"E1","Leptastrea transversa","below","Skeleton","E1.11.Lep.tran.1.20140731.S_below","Skeleton_below"
"E1","Psammocora contigua","below","Skeleton","E1.11.Psa.cont.1.20140730.S_below","Skeleton_below"
"E1","Psammocora digitata","below","Skeleton","E1.11.Psa.digi.1.20140807.S_below","Skeleton_below"
"E1","Physogyra lichtensteini","below","Skeleton","E1.14.Phy.lich.1.20140801.S_below","Skeleton_below"
"E1","Physogyra lichtensteini","below","Skeleton","E1.14.Phy.lich.1.20140811.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140726.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140809.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140815.S_below","Skeleton_below"
"E1","Diploastrea heliopora","below","Skeleton","E1.15.Dip.heli.1.20140905.S_below","Skeleton_below"
"E1","Caulastrea furcata","below","Skeleton","E1.17.Cau.furc.1.20140801.DS_below","Skeleton_below"
"E1","Caulastrea furcata","below","Skeleton","E1.17.Cau.furc.1.20140801.S_below","Skeleton_below"
"E1","Echinopora lamellosa","below","Skeleton","E1.17.Ech.lame.1.20140905.S_below","Skeleton_below"
"E1","Echinopora mammiformis","below","Skeleton","E1.17.Ech.mamm.1.20140728.S_below","Skeleton_below"
