SampleId,model,compartment
id,neutral,Skeleton
neutral_padj,neutral,Skeleton
neutral_model,neutral,Skeleton
neutral_1256-004-C118-S,neutral,Skeleton
neutral_1256-007-C119-S,neutral,Skeleton
neutral_1256-010-C120-S,neutral,Skeleton
neutral_1256-013-C121-S,neutral,Skeleton
neutral_1256-016-C122-S,neutral,Skeleton
neutral_1256-020-C123-S,neutral,Skeleton
neutral_1256-023-C127-S,neutral,Skeleton
neutral_1256-026-C128-S,neutral,Skeleton
neutral_1256-029-C129-S,neutral,Skeleton
neutral_1256-035-C133-S,neutral,Skeleton
neutral_1256-041-C143-S,neutral,Skeleton
neutral_1256-044-C144-S,neutral,Skeleton
neutral_1256-047-C145-S,neutral,Skeleton
neutral_1256-050-C148-S,neutral,Skeleton
neutral_1256-054-C149-S,neutral,Skeleton
neutral_1256-057-C150-S,neutral,Skeleton
neutral_1256-060-C151-S,neutral,Skeleton
neutral_1256-063-C152-S,neutral,Skeleton
neutral_1256-065-C153-S,neutral,Skeleton
neutral_1256-069-C327-S,neutral,Skeleton
neutral_1256-072-C328-S,neutral,Skeleton
neutral_1256-102-PW164-S,neutral,Skeleton
neutral_1256-105-PW165-S,neutral,Skeleton
neutral_1256-108-PW166-S,neutral,Skeleton
neutral_1256-111-PW167-S,neutral,Skeleton
neutral_1256-114-PW168-S,neutral,Skeleton
neutral_1256-118-PW169-S,neutral,Skeleton
neutral_1256-121-PW170-S,neutral,Skeleton
neutral_1256-124-PW171-S,neutral,Skeleton
neutral_1256-127-PW172-S,neutral,Skeleton
neutral_1256-130-PW174-S,neutral,Skeleton
neutral_1256-135-PW176-S,neutral,Skeleton
neutral_1256-138-PW177-S,neutral,Skeleton
neutral_1256-141-PW178-S,neutral,Skeleton
neutral_1256-144-PW181-S,neutral,Skeleton
neutral_1256-146-PW182-S,neutral,Skeleton
neutral_1256-149-PW183-S,neutral,Skeleton
neutral_1256-153-PW185-S,neutral,Skeleton
neutral_1256-156-PW186-S,neutral,Skeleton
neutral_1256-159-PW187-S,neutral,Skeleton
neutral_1256-162-PW190-S,neutral,Skeleton
neutral_1256-164-PW191-S,neutral,Skeleton
neutral_1256-167-PW192-S,neutral,Skeleton
neutral_1256-170-PW193-S,neutral,Skeleton
neutral_1256-173-PW194-S,neutral,Skeleton
neutral_1256-176-PW195-S,neutral,Skeleton
neutral_1256-179-PW197-S,neutral,Skeleton
neutral_1256-186-PW199-S,neutral,Skeleton
neutral_1256-191-PW202-S,neutral,Skeleton
neutral_1256-194-PW203-S,neutral,Skeleton
neutral_1256-197-PW204-S,neutral,Skeleton
neutral_1256-201-HI6-S,neutral,Skeleton
neutral_1256-204-HI7-S,neutral,Skeleton
neutral_1256-207-HI8-S,neutral,Skeleton
neutral_1256-210-HI10-S,neutral,Skeleton
neutral_1256-213-HI57-S,neutral,Skeleton
neutral_1256-217-HI58-S,neutral,Skeleton
neutral_1256-220-HI59-S,neutral,Skeleton
neutral_1256-223-HI60-S,neutral,Skeleton
