"id"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"bd71ef83aa26a10df3fc63ac9036c911"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Acholeplasmatales"	"Acholeplasmataceae"
"0c47fe1a880059c6746b89e7e29e0e63"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"
"1f7e584603a8b3b91975f6f39421b113"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Unclassified Gammaproteobacteria"	"Unclassified Gammaproteobacteria"
"bacfd40f02baa9e88dbde72541273d25"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"
"de894d4a1e33fb7478aa29fda9b7f13e"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"
"679442698c4cb805f8d6621b27edde63"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"
"f5811c64854ac860cb6cc902c2005265"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"
"9e5ca1bd20bd457a1c266d7d0e83c0ec"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Unclassified Bacteroidales"
"bc6c07189b77231f7967eb708a5c99f7"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinilabiliaceae"
"251734cc5d62aa36f1b7ec891710c138"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"
"7adf8968e7bb40c15df1b4c10a5d8c13"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"NS7_marine_group"
"4ca838bacdf5c4d0f4d1f509dd5785c8"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Lentimicrobiaceae"
"0d06999ee50ab0abad026a088f8a84b8"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"NS9_marine_group"
"c3e53c139e2b77e01725dfe522cb8393"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"uncultured"
"62869c70242d27fff6ef6d9a0a4113e1"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"
"d2ff82bc924c2fe7a64b349fa0ff2bfb"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"
"e902ec6fb748c93610d6d4a3108e2884"	"d__Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"
"86843848cbe303164ae25005bff20f64"	"d__Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"
"d23a21152f7ec8ae9894763faabe65fc"	"d__Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22"	"Subgroup_22"
"7c9edda9c7417007a97e2d086063c5e4"	"d__Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"
"3de11ad4fdcf4e3a5e370d5b5f7f86bf"	"d__Bacteria"	"Planctomycetota"	"vadinHA49"	"vadinHA49"	"vadinHA49"
