id,Taxon,Consensus
a859935a02c6fe7ea2ddaee20dc4dc47,d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales,0.8
f77009dfa769cbf03e8a7a4d13b1f3fc,d__Bacteria; p__Planctomycetota; c__Pla4_lineage; o__Pla4_lineage; f__Pla4_lineage; g__Pla4_lineage; s__uncultured_bacterium,0.8
fa1092af6c321a442aa9125bf9b62e33,d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfobulbaceae; g__uncultured,0.8
9362e3537ec76483166a03b54638b3e6,d__Bacteria; p__Margulisbacteria; c__Margulisbacteria; o__Margulisbacteria; f__Margulisbacteria; g__Margulisbacteria; s__uncultured_bacterium,0.6
86843848cbe303164ae25005bff20f64,d__Bacteria; p__Calditrichota; c__Calditrichia; o__Calditrichales; f__Calditrichaceae; g__Calditrichaceae; s__uncultured_bacterium,0.6
6ea7447ca2c8e9c0ccece8a1f6c13fa3,d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfatiglandales; f__Desulfatiglandaceae; g__Desulfatiglans,1
87308ca0a11a86a281f2e05b7a73a451,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium,0.8
9f8e89902c4ab02b7fc12f04ca16008e,d__Bacteria; p__PAUC34f; c__PAUC34f; o__PAUC34f; f__PAUC34f; g__PAUC34f; s__uncultured_bacterium,0.7
0b7fcb6f9e47fc5202840ca5ec476931,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__uncultured; g__uncultured,0.9
e902ec6fb748c93610d6d4a3108e2884,d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Acanthopleuribacterales; f__Acanthopleuribacteraceae; g__Acanthopleuribacter; s__uncultured_bacterium,0.7
f281c628daa8b6072d42f3ef7cb0176b,d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5,0.8
5959a89bb322ab3a7127538633543d20,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__AT-s2-59; f__AT-s2-59; g__AT-s2-59,0.6
c96208030f3c25e0c953e517051f9902,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium,0.7
4ca838bacdf5c4d0f4d1f509dd5785c8,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobiaceae; s__uncultured_bacterium,0.7
1a60e86e1b423dd130630bf38c776172,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured,0.6
1637942ee2c170dab660ebaceac87af8,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter,1
5c725a99895c8eadfec01a14ed1ab1e6,d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium,0.7
82f17b0cbb717668e9cc3a9a538162b9,d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus; s__uncultured_bacterium,0.9
97e872d2f0748a1c0c49568eb3e5f488,d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_bacterium,0.8
6650410b81b6d0eb4119280133d2db93,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae,1
120eff3f0f2c86ee097ac9c95b53d7ee,d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria,1
46239994a26a52e72d47853787aec4d1,d__Bacteria; p__Gemmatimonadota; c__BD2-11_terrestrial_group; o__BD2-11_terrestrial_group; f__BD2-11_terrestrial_group; g__BD2-11_terrestrial_group; s__uncultured_bacterium,0.8
905044dd8ef2dc2074702746262df24e,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured_bacterium,0.8
bbd8497ca4977abd6d75cba20627c2b5,d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae,1
432e6aa28a69616c96135b37b5c877f4,d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__Oligoflexales; f__Oligoflexales; g__Pseudobacteriovorax,0.6
bef53b71ca751f68f2405a80027aa06c,d__Bacteria; p__Planctomycetota,0.9
3c7e6b63027221109867a7ae075721d8,d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Rhodothermaceae; g__uncultured; s__uncultured_bacterium,0.6
62869c70242d27fff6ef6d9a0a4113e1,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas,0.6
d23a21152f7ec8ae9894763faabe65fc,d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_bacterium,0.8
d2ff82bc924c2fe7a64b349fa0ff2bfb,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12_marine_group; g__NS11-12_marine_group; s__uncultured_bacterium,0.8
30fb3edb90bfc0b9261e26db761a13fd,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales,0.6
a66839753f785f0d91be3ac660c80f58,d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__uncultured_bacterium,0.6
78b099efb4027437e230e8ac29caad9e,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales,0.9
2d5bac4252c5dba912e35cd4830085f5,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__pItb-vmat-80; f__pItb-vmat-80; g__pItb-vmat-80,0.7
a4554d075d0b8991d9c630d43d59e9c9,d__Bacteria; p__Planctomycetota; c__Pla3_lineage; o__Pla3_lineage; f__Pla3_lineage; g__Pla3_lineage; s__uncultured_bacterium,0.6
ff4fd1e2aeed684a34c343d03c6aaea5,d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Bradymonadales; f__Bradymonadales; g__Bradymonadales,0.9
1f7acd2e5f0d2c6b5f135d17b76928f8,d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured,1
2f19a111dde5f35f1bcdb8f58e8ff21e,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_bacterium,0.6
148fdb58bfb242cc0bc92fce26cc2dc5,d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__uncultured; s__uncultured_bacterium,0.6
7c9edda9c7417007a97e2d086063c5e4,d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium,0.7
4f2a7324bb4347870b11bcae996ca812,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__Arenicellaceae; g__Arenicella,0.7
3c9107e3753ac8e5718095c1444fe158,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Reinekea,1
6d44644cc084c06518281afa8470b4f8,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__SCGC_AAA164-E04; s__uncultured_bacterium,0.6
85494221957ab0fe0fd5d2bbbde5fcf0,d__Bacteria; p__Spirochaetota; c__Leptospirae; o__Leptospirales; f__Leptospiraceae,0.8
dd799b2bc01cdc64bfd262659d42d1b2,d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__WCHB1-41; f__WCHB1-41; g__WCHB1-41,1
0bf7922b0fd8c5f6340ddd5073fdd7f9,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Filifactor,0.9
8424032c4e05e0883107d2726ef4a125,d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__SAR202_clade; f__SAR202_clade; g__SAR202_clade,1
81779d930a1e869c532f935efb6c2487,d__Bacteria; p__Planctomycetota; c__BD7-11; o__BD7-11; f__BD7-11; g__BD7-11; s__uncultured_bacterium,0.8
0e8c6c3333cdbc263828b9cbe4296a28,d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__Kiritimatiellales; f__Kiritimatiellaceae; g__R76-B128,1
c5db2d3a618532bc9d107518fcb180e7,d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__uncultured_bacterium,0.7
f99ae02e481ec51405f1e1a255d80006,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium,1
