"id"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"ef089b94b8a0d0d9e7e69beee3b368be"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"
"926bbb9221a2a6cc4f7729c0e1a5c9a5"	"d__Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"
"85c64c8568d1b1654d7dc851ede2c889"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"
"44dad2b4741fc0067933be9b284dcf8c"	"d__Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Myxococcaceae"
"b365e66c0877d46da62a0da4df818b0f"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"
"371ff3f6af66ba2c07137267c7948686"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"
"b6f7f277ffa4b611347c6a4b6ce0f53b"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"
"646916f8eb114270d553949000ecc8cc"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"
"769593636aad0c52dfffb1ca23b4a9c1"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"
"0505f9c8b5a15bbf46d4bcf1fb0221b8"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"
"db3298fae59a4c018d0b91e70155225c"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"
"657401e49e707f4556088e4396914442"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"
"d6ff735961c5437d9a486995bfcccfa3"	"d__Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Caminicellaceae"
"73c434a77d07c20d70f499ca99470a5d"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"
"29d775c0c78c0c73c62221d931001cad"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Endozoicomonadaceae"
