id,Taxon,Consensus
27c0f79ba15c838222a078e7cf19166b,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__S-70; f__S-70; g__S-70; s__uncultured_bacterium,0.8
fd2237c95c0437d9cf77487dadb14f9e,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__uncultured; g__uncultured,0.9
e5777493b9ad2578c67dbf6bdd43fae9,d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__MVP-88; f__MVP-88; g__MVP-88,1
031db8794f00996346846ce2473c755c,d__Bacteria; p__WS2; c__WS2; o__WS2; f__WS2; g__WS2; s__uncultured_bacterium,0.6
ceebd78c7eedc5039ac66a7cfe3e9796,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__C86; f__C86; g__C86; s__uncultured_bacterium,0.6
4b14399b2a200415132904171b6dbe83,d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Yanofskybacteria; f__Candidatus_Yanofskybacteria; g__Candidatus_Yanofskybacteria,0.6
8f14249720b8bc48b8c6a69611aece62,d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__metagenome,0.7
e07672a4b4bc1130d34f7f20189389c1,d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__Babeliaceae; g__Babeliaceae; s__uncultured_bacterium,0.7
3c8c7470e81bf55595bdf98e274b7714,d__Bacteria; p__Planctomycetota; c__Phycisphaerae,1
107c55a021c1c5185448c88e652c0619,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__MSBL9; f__SM23-30; g__SM23-30; s__uncultured_bacterium,0.7
9575e68a38f222231355f1271f97e842,d__Bacteria; p__Hydrogenedentes; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedensaceae; g__Hydrogenedensaceae; s__uncultured_bacterium,0.7
428485f78a3a628438ed2084c31f070f,d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Bradymonadales; f__Bradymonadales; g__Bradymonadales,0.8
775db8af03659d822c4c2e27372123b3,d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae; g__Desulfofaba,0.6
ca30df963c21102915400861b97f8a6a,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured,0.9
ed704d1bb4b430fec111fb847300b580,d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales; s__uncultured_bacterium,0.8
d8c8516162752403d05dedded5b6a936,d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus_Woesebacteria; f__Candidatus_Woesebacteria; g__Candidatus_Woesebacteria; s__Candidatus_Woesebacteria,0.7
e49cf7243a422aef4af83c496983fefb,d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria,1
e7119922ff7a17df977d963ed3571b5d,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Thalassotalea,1
700d22984559176798bd8cd62312d40b,d__Bacteria; p__Margulisbacteria; c__Margulisbacteria; o__Margulisbacteria; f__Margulisbacteria; g__Margulisbacteria; s__uncultured_bacterium,0.9
2b7bf3120ead165261e1aa3584eedd41,d__Bacteria; p__Patescibacteria; c__ABY1; o__Candidatus_Uhrbacteria; f__Candidatus_Uhrbacteria; g__Candidatus_Uhrbacteria,1
3541ebf667fd33917fe5a6fc31ec0acf,d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__uncultured; f__uncultured; g__uncultured; s__uncultured_archaeon,0.9
2f68e1ec33d593c075094cb3b0c64dc4,d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Vampirovibrionales; f__Vampirovibrionales; g__Vampirovibrionales; s__uncultured_bacterium,0.6
c52f56441d7217607c1c445027a84793,d__Bacteria; p__Chloroflexi; c__Anaerolineae,0.6
6ac68fec4973ade770faa24cb1208520,d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfobulbaceae; g__Desulfobulbus,0.8
41146e96ff8ae6fe7718bf71341267a4,d__Bacteria; p__Latescibacterota; c__Latescibacteria; o__Latescibacterales; f__Latescibacteraceae; g__Latescibacteraceae; s__uncultured_bacterium,0.9
dee9b101d122d8e0cad8d56934363b5f,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__uncultured; s__uncultured_organism,0.7
3627437fc56fbaebf8a7033154045af3,d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_bacterium,0.9
