"id"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"395c52ea59da6ee9ca5a7f38d559045d"	"d__Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Vampirovibrionales"	"Vampirovibrionales"
"143e2107bf6409cf050b4748500b3f19"	"d__Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Gastranaerophilales"	"Gastranaerophilales"
"2c8bff5c4ea018258f137529d51e47d2"	"d__Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Synechococcales"	"Synechococcales_Incertae_Sedis"
"341218ace88d00f93e12c630b4e67fde"	"d__Bacteria"	"Entotheonellaeota"	"Entotheonellia"	"Entotheonellales"	"Entotheonellaceae"
"e247471b5e5e941316da8ee148617f62"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Francisellales"	"Francisellaceae"
"9e7d08f029634e46437b4c9eead0fcbc"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"
"926f475bef82b5d762a00d2cb36741c3"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"SAR86_clade"	"SAR86_clade"
"101053501543f9299c3f828734dec9fb"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"
"3d44680f832278176eeefa1da630116a"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Sedimenticolaceae"
"4c39bf1253c2f1cce12b35f5760d662e"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"
"546fbefec89be0f3e08588e73e663a7e"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"
"0f2d26ea11b266299cfe5e64b364f750"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prolixibacteraceae"
"53349adea11f00ead360ee54dae4e1ac"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidetes_BD2-2"
"9869c73bf523d6d4ae68ad2447762428"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Unclassified Sphingobacteriales"
"0243b6b185e5cdb5e420f44747c32ab6"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"NS9_marine_group"
"8fff9c7288d638eeb441a323a59c1b3b"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Unclassified Chitinophagales"
"964e4e9caaea46408ea43e282ac11821"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Lentimicrobiaceae"
"7afa6e4b4f4f3061b5cc38d81dc3109e"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidetes_VC2.1_Bac22"	"Bacteroidetes_VC2.1_Bac22"
"efec0bac622bd32d004df90feb767e08"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Unclassified Bacteroidales"
"6ea7e93cf845625b6f0034e0f164cbf1"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"
"a29d1a66b7b90a351b8d451fe5b2ab2d"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"
"45bd02c8a93d36cc3c30c500c33f7b30"	"d__Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Babeliales"
"ce8043840e466e968556991ebf0cd3d1"	"d__Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"
"4d5a5ee526e3928b571bb61bab4ed252"	"d__Bacteria"	"Acidobacteriota"	"Subgroup_22"	"Subgroup_22"	"Subgroup_22"
"674de308e8746fd70713b9b5946f4d12"	"d__Bacteria"	"Acidobacteriota"	"Unclassified Acidobacteriota"	"Unclassified Acidobacteriota"	"Unclassified Acidobacteriota"
"25e4946a484803c533c11da2b913a145"	"d__Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"
"0255203339abcb8f73864d776021a7de"	"d__Bacteria"	"Planctomycetota"	"vadinHA49"	"vadinHA49"	"vadinHA49"
"d4a3e1ce6df0a890e45b096798b3cdc7"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"
"81ae7604db66de1faa9f303683d344ab"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"
"e06f7cc33d7304c1d66deb0e25baf3da"	"d__Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"AKAU3564_sediment_group"
"63de6bf7b8eaa272ff211e396ef58ac4"	"d__Bacteria"	"Planctomycetota"	"Pla4_lineage"	"Pla4_lineage"	"Pla4_lineage"
"646f080addcec294b75a9fef46cb6834"	"d__Bacteria"	"Planctomycetota"	"BD7-11"	"BD7-11"	"BD7-11"
"1bca333db9a0c9627cf59e0f82b23848"	"d__Bacteria"	"Planctomycetota"	"Unclassified Planctomycetota"	"Unclassified Planctomycetota"	"Unclassified Planctomycetota"
"122211db3ffd3f79121d1f39865c9fb6"	"d__Bacteria"	"Planctomycetota"	"Pla3_lineage"	"Pla3_lineage"	"Pla3_lineage"
"f15a865328c135b277c721b83a3e12ed"	"d__Bacteria"	"Calditrichota"	"Calditrichia"	"Calditrichales"	"Calditrichaceae"
