"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","E1.10.Poc.dami.1.20140731.S","E1","Coral Skeleton",10.714320506,101
"2","E1.10.Poc.dami.1.20140905.S","E1","Coral Skeleton",3.184593404,43
"3","E1.11.Fun.sp.1.20140811.S","E1","Coral Skeleton",10.962038703,103
"4","E1.11.Lep.tran.1.20140731.S","E1","Coral Skeleton",19.449076533,123
"5","E1.11.Psa.cont.1.20140730.S","E1","Coral Skeleton",5.764260656,44
"6","E1.11.Psa.digi.1.20140807.S","E1","Coral Skeleton",24.468276816,224
"7","E1.14.Phy.lich.1.20140801.S","E1","Coral Skeleton",25.346845508,184
"8","E1.14.Phy.lich.1.20140811.S","E1","Coral Skeleton",34.104652563,294
"9","E1.15.Dip.heli.1.20140726.S","E1","Coral Skeleton",18.777704668,138
"10","E1.15.Dip.heli.1.20140809.S","E1","Coral Skeleton",29.457950327,237
"11","E1.15.Dip.heli.1.20140815.S","E1","Coral Skeleton",18.981848881,145
"12","E1.15.Dip.heli.1.20140905.S","E1","Coral Skeleton",31.264307974,245
"13","E1.17.Cau.furc.1.20140801.S","E1","Coral Skeleton",13.377258274,82
"14","E1.17.Ech.lame.1.20140905.S","E1","Coral Skeleton",5.386280241,91
"15","E1.17.Ech.mamm.1.20140728.S","E1","Coral Skeleton",3.38876202,30
"16","E1.17.Fav.sp.1.20140805.S","E1","Coral Skeleton",8.507755586,53
"17","E1.17.Fav.sp.1.20140811.S","E1","Coral Skeleton",20.688275548,169
"18","E1.17.Fav.sp.2.20140805.S","E1","Coral Skeleton",17.050671342,169
"19","E1.17.Hyd.exes.1.20140803.S","E1","Coral Skeleton",14.754601205,126
"20","E1.19.Lob.sp.1.20140730.S","E1","Coral Skeleton",18.153710555,116
"21","E1.19.Lob.sp.1.20140809.S","E1","Coral Skeleton",25.354265438,199
"22","E1.19.Sym.sp.1.20140724.S","E1","Coral Skeleton",18.318336932,134
"23","E1.19.Sym.sp.1.20140814.S","E1","Coral Skeleton",5.826619747,54
"24","E1.19.Sym.sp.1.20140815.S","E1","Coral Skeleton",4.639302981,66
"25","E1.19.Sym.sp.1.20140905.S","E1","Coral Skeleton",15.128449759,110
"26","E1.2.Tur.pelt.1.20140814.S","E1","Coral Skeleton",8.780130148,93
"27","E1.2.Tur.reni.1.20140730.S","E1","Coral Skeleton",20.098135144,168
"28","E1.2.Tur.stel.1.20140805.S","E1","Coral Skeleton",24.377237742,208
"29","E1.3.Por.cyli.1.20140801.S","E1","Coral Skeleton",13.915730688,100
"30","E1.3.Por.cyli.1.20140815.S","E1","Coral Skeleton",15.023176561,105
"31","E1.3.Por.loba.1.20140726.S","E1","Coral Skeleton",24.105809705,164
"32","E1.3.Por.loba.1.20140905.S","E1","Coral Skeleton",6.980743333,78
"33","E1.4.Pac.rugo.1.20140728.S","E1","Coral Skeleton",2.454659536,38
"34","E1.4.Pac.rugo.1.20140814.S","E1","Coral Skeleton",18.269237763,157
"35","E1.4.Pac.spec.1.20140801.S","E1","Coral Skeleton",8.234977939,66
"36","E1.4.Pac.spec.1.20140811.S","E1","Coral Skeleton",1.861575643,21
"37","E1.5.Gal.astr.1.20140728.S","E1","Coral Skeleton",20.780221267,142
"38","E1.5.Gal.astr.1.20140807.S","E1","Coral Skeleton",8.043160525,62
"39","E1.5.Gal.astr.1.20140814.S","E1","Coral Skeleton",14.187349819,119
"40","E1.5.Gal.astr.1.20140905.S","E1","Coral Skeleton",25.870532593,222
"41","E1.6.Acr.humi.1.20140731.S","E1","Coral Skeleton",2.973811995,47
"42","E1.6.Acr.sp.1.20140905.S","E1","Coral Skeleton",1.909196687,51
"43","E1.6.Iso.pali.1.20140803.S","E1","Coral Skeleton",4.901644408,46
"44","E1.6.Iso.pali.1.20140815.S","E1","Coral Skeleton",22.068236584,159
"45","E1.6.Mon.hisp.1.20140807.S","E1","Coral Skeleton",3.326951809,30
"46","E1.7.Pav.sp.1.20140905.S","E1","Coral Skeleton",10.934335958,112
"47","E1.7.Pav.vari.1.20140805.S","E1","Coral Skeleton",15.925861553,147
"48","E1.7.Pav.vari.1.20140815.S","E1","Coral Skeleton",20.350872957,146
"49","E1.7.Pav.veno.1.20140809.S","E1","Coral Skeleton",21.809396822,148
"50","E1.7.Pav.veno.1.20140811.S","E1","Coral Skeleton",25.346392535,193
"51","E10.10.Sty.pist.1.20150630.S","E10","Coral Skeleton",3.775995441,30
"52","E10.17.Fav.abdi.1.20150630.S","E10","Coral Skeleton",9.309179683,51
"53","E10.17.Fav.pali.1.20150630.S","E10","Coral Skeleton",4.331472865,43
"54","E10.17.Gon.favu.1.20150629.S","E10","Coral Skeleton",8.505069,74
"55","E10.17.Gon.favu.1.20150630.S","E10","Coral Skeleton",24.108846018,179
"56","E10.17.Gon.favu.2.20150630.S","E10","Coral Skeleton",21.683341468,163
"57","E10.17.Mon.curt.3.20150629.S","E10","Coral Skeleton",20.228045762,150
"58","E10.Aca.hill.1.20150629.S","E10","Coral Skeleton",12.977179176,94
"59","E10.Aca.hill.2.20150629.S","E10","Coral Skeleton",4.130845142,38
"60","E10.Aca.hill.3.20150629.S","E10","Coral Skeleton",5.795746263,49
"61","E10.Acr.cyth.1.20150627.S","E10","Coral Skeleton",1.802520552,47
"62","E10.Acr.cyth.2.20150627.S","E10","Coral Skeleton",4.781203504,64
"63","E10.Acr.cyth.3.20150627.S","E10","Coral Skeleton",1.803550232,35
"64","E10.Acr.pali.2.20150627.S","E10","Coral Skeleton",6.134962656,53
"65","E10.Acr.pali.3.20150627.S","E10","Coral Skeleton",3.93111734,44
"66","E10.Alv.alli.2.20150628.S","E10","Coral Skeleton",18.079407971,113
"67","E10.Alv.alli.3.20150628.S","E10","Coral Skeleton",9.903334449,91
"68","E10.Mon.curt.1.20150629.S","E10","Coral Skeleton",4.968495364,25
"69","E10.Poc.dami.1.20150628.S","E10","Coral Skeleton",4.871332475,35
"70","E10.Poc.dami.2.20150628.S","E10","Coral Skeleton",7.225109896,108
"71","E10.Por.hero.1.20150628.S","E10","Coral Skeleton",7.250413884,32
"72","E10.Por.hero.2.20150628.S","E10","Coral Skeleton",6.649731624,36
"73","E10.Por.hero.3.20150628.S","E10","Coral Skeleton",10.079528107,74
"74","E10.Sty.pist.1.20150628.S","E10","Coral Skeleton",4.974147794,60
"75","E3.14.Phy.lich.1.20150125.S","E3","Coral Skeleton",1.778836309,27
"76","E3.14.Phy.lich.1.20150129.S","E3","Coral Skeleton",9.254890602,59
"77","E3.14.Phy.lich.2.20150125.S","E3","Coral Skeleton",18.593052108,120
"78","E3.15.Dip.heli.1.20150105.S","E3","Coral Skeleton",21.233869944,157
"79","E3.15.Dip.heli.1.20150106.S","E3","Coral Skeleton",34.601639189,261
"80","E3.15.Dip.heli.1.20150118.S","E3","Coral Skeleton",4.48430844,29
"81","E3.15.Dip.heli.1.20150119.S","E3","Coral Skeleton",12.2387035,76
"82","E3.15.Dip.heli.1.20150120.S","E3","Coral Skeleton",21.934737257,158
"83","E3.15.Dip.heli.1.20150121.S","E3","Coral Skeleton",8.672436117,74
"84","E3.15.Dip.heli.1.20150123.S","E3","Coral Skeleton",25.665963317,181
"85","E3.15.Dip.heli.2.20150105.S","E3","Coral Skeleton",16.262316802,131
