"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"28c4186f046903bb87e03cc4c634618c","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"05695a7de9c729c3b53ae2054c8a3143","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria",NA,NA
"77b1294eded21e8f0900018d0da6f6ae","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"f5f36db04331084c05d8145fab1db301","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"973214b081506fbf9cd3e0ea1672eed0","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA
"f59eda3819fcda1b441658dcad5809ee","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II",NA,NA
"858e51b3dd68371683e59b6ddc02bfaf","d__Archaea","Thermoplasmatota","Thermoplasmata","uncultured","uncultured",NA,NA
"1007b1b916d7a473753268fafc56eb40","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified Woesearchaeales",NA,NA
"9ffe42627ceaf6bae59c5c301b63b6a9","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales",NA,NA
"c2c0513e6610e0ca3e9242a62a6ac0fb","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC_AAA286-E23",NA,NA
"5416452b4bed13e03edfc993f7e53466","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae",NA,NA
"76f463a1a2b1727db838028cd6162280","d__Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured",NA,NA
"75c3fb67b9d34ab5c7ffdef02c962cf3","d__Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales",NA,NA
"c96208030f3c25e0c953e517051f9902","d__Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured",NA,NA
"e43a58ad80ff58792a461639d78880fd","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group",NA,NA
"adc6d6050e32536d981e8e0d9d60e7ee","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Unclassified Desulfobacterales",NA,NA
"648c76f1eeccfcd7c808f46f02782e61","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured",NA,NA
"7bfb4295fc89be68761e498c6dee4714","d__Bacteria","Proteobacteria","Magnetococcia","Magnetococcales","Magnetococcaceae",NA,NA
"6cdc5f39734f542b3c70f9cdba511173","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured",NA,NA
"189646b719fdfc9dd2787b19b2e0eb53","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,NA
"13edc181295be4d7edd686f3bb798dd6","d__Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20",NA,NA
"3e1a2f5c968c59fcdd093014ee6328e7","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",NA,NA
