"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"f9a3f354d2bd69acfcad5e11e5b9572d",0,0,0,0,0,0,0,0,0,13,29,0,0,0,0
"990cd1dae4e842b231d6f90c2c2b9a69",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"45971cac4aab3e422a9e9dbd94f562d6",0,0,0,0,0,0,1,0,0,14,0,2,0,13,0
"51b62af7c436aa76d1aab27a01f9c202",1,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"787c10ebfc14b6f7ef3e6e01c420e8d6",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"416db1e2bce588744a37bb20aabb9b64",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"05240d4243765be5c1c1fb5a8b287075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"e3f64b731da40356b834c2dade06fcdd",0,0,0,0,0,0,0,0,8,8,0,0,0,0,1
"9678a26ca0238b4b9dc49bd45f44dab3",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"203e8159687ade2789fe6e39c288fa42",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7fc6287791b1c941ab8f529a56e008e6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"319b92e7a722a60d274b9a4ff571dd31",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9e1cc1f256c2f34f9b97581e30e86669",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4fe6a934d2bca851f51d03f82630b1d2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"d2ddc7edafd37e87160bc00c8795e638",7,0,0,0,0,0,6,18,1,48,0,19,0,0,5
"013cdc400ab1486e62643a6fc8d38c32",0,0,0,0,2,0,2,1,17,0,0,1,0,0,0
"8341e9e5531230f0d6999f37c915a764",0,0,0,0,0,0,0,0,0,5,0,3,0,0,0
"7fc362bdc107968dbac3ba0621e38718",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ade7a74fe56badc5a31c63635112234",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"845407c354e105d5fa282a69dd13541d",0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
"a1e41f59a6a2f0a3ca8efb43f1e2edff",86,9,0,0,0,0,4,13,0,4,0,1,10,0,0
"b978895055c34e2e321918a5024ce879",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7da18b7c28d8a6f2c8fbfbe15f707993",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"74d2c620f43627320dea23cc351b4a23",0,0,16,7,0,0,0,0,0,1,0,0,0,25,16
"53a745785bfc7ceac6002ec59ea96284",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"d7a3893fc495e3d6750e6225c0846ec4",0,0,0,0,0,0,0,1,0,16,0,0,0,0,0
"2a9f808f5532bbc2b7bcf267cb058d89",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"3b1d679176606de13026c44f85744a65",0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
"3358715eb1b06d1605b0c12966433b4b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"342e70faf99c951fec44124da1f563dc",0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
"9350b74e8adacd02cbb2eabad238abe8",0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
"77f6e16134c5a434c7f097b19c13d2fd",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"73532e3b40e40232bae4f8c7f7a86dee",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"8eaac9e6f3234d12dbf20982b16f347c",0,0,0,0,7,0,9,2,4,0,0,0,0,0,0
"77f5691da6ae99f7c15ff45ef674c54d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"092dc4cbb9c472737ea85aee73461cec",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"486de0a16a2ff9870b07faca4980cb32",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"51e710c8b6095ddbacd67f2d958e5ae3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"37a6d42a8f000d8d5b7c5d84b145f394",7,0,0,0,16,0,17,44,16,10,0,10,5,0,0
"1fca422f48c461a6ea90275cc68b387d",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"f676603cbbf67004922f37c150be3354",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"6d0dad5c81810badc6755a157060e248",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"cacee536d4b7198a229ad226196d89e9",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"d2b92d65fdc93146a0e419c896e19190",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"c113237ef9d926810cba28d99c7ed6a1",0,0,0,0,6,0,0,6,1,0,0,0,1,0,0
"be78641586f99f88b6926778c22a3e34",1,0,0,0,11,0,0,9,0,2,0,1,5,0,0
"3b4e4e1e7ff40ca9129a93b56174f4af",0,0,0,0,0,0,0,2,0,0,0,0,0,0,18
"d5159b94766718759f2d6f11ce0cd61f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ef813c40610ad5b467a4d980d1f0fbec",9,0,4,0,11,0,2,21,3,0,0,6,0,0,0
"572c3e1a6d59e89862494d64fccb23cf",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"786a0072a3562c4a924b1a811d62c367",0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"23a5e2ad2f56f1058e615858ddeb13a6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6c323c703f4552d5510baebaac7b2c15",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"b2a02486efb83b1a5064434159d94568",10,23,0,0,6,0,53,30,0,42,3,0,23,0,0
"02cc19ec2ae2182bf6317118d317cb16",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"b4ab64f0782de0ed7bbb5c6f52c1944c",0,0,0,0,0,0,0,1,0,0,0,0,0,7,0
"b146fb6184e32b2f184c5d61cba56eeb",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"eff20fa74e08389df6823a8e9f957cd8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"67549581b72735ea12ee618db015d32a",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"ddb7f43aee1b25ff17976685ce571852",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"2ab514d845c1f6abf92892b70cd07b6b",1,0,0,0,0,0,1,6,0,2,0,0,0,0,0
