"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2313d1235f85d195f43ad2e2f6c4811d","d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA,NA
"cb07deb3b34c88e64d664ccce340c1db","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA
"bceb37b1b935bf8bc34d45d0aa38d97e","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA
"7c9c52e177f5c8ba043628baa86de286","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae",NA,NA
"57bffe89bf08b4ea88fb4d82bc3c6610","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"faf7861cb232eee2054e46e1fe673d3f","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"ac5d7ba6a4368d2218254bd606b99270","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"e3cfafaac9e9cb9505bb5b59228437fb","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",NA,NA
"f1eb103fe76e5e7f2e009f8785c7f09a","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3",NA,NA
"d171d59ba35e8288cf343812b41e4f7a","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria",NA,NA
"3fd34de2a2d750631fc584ea2a486617","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria",NA,NA
"45962bc8d8e4874791d343112e12c4b0","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria",NA,NA
"efb859d7e20ef1c61419d6673196c811","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria",NA,NA
"154f8ae806d654126619a56f61fe1c25","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1",NA,NA
"9c69cd95d6d498c80245233d3b1bf849","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria",NA,NA
"541143515a684fd2a9cb7e821a7deb30","d__Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae",NA,NA
"5e527e719acff33dd6357e12297e599b","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae",NA,NA
"f45bc446ba3d1235fee6fc95a78689c3","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae",NA,NA
"f2abff1041db45dd3b623175d1027746","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
"2ae90e6f38ec4979bd80bc3d94714fc6","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"239f535a302fdbd79c9ff87d81d00d58","d__Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified Bacillales",NA,NA
"703113fc7b02b26c09cd6ebe3d228753","d__Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria",NA,NA
"fe0d23d22adea365b5d85851e7672fc2","d__Bacteria","Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes",NA,NA
"49a2c44b0462d2532c4f0af18f39a133","d__Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia",NA,NA
"74f7158cac58d7b32594964c7c5998a5","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"baa019a59389a0246c0dc2b8147430ce","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales",NA,NA
"4999a792886821ea522633f67b9be7a3","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Thermotaleaceae",NA,NA
"87b4fddd7d4161bcef46c8442d2972b3","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae",NA,NA
