"id","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"59a5b4fc83af7de3172a7b82535e0899",0,6,0,269,354,0,0
"99594d182f2b1934da3d8fc482747791",0,0,0,14,0,0,0
"00d033660f8d94ea027b297fcc992137",0,0,0,0,0,1,0
"e0f3fff57ff3f8d4f480d67d90f39a15",0,0,0,15,0,0,0
"f589dd2c687c21265c5c951c69ddf730",5,0,0,12,0,0,1
"7be930dda772348164d994cea55abad5",0,0,2,0,1,0,0
"6c55f500d73ba1723da021c4bfeaab38",0,6,16,0,0,0,0
"8a9b07ddf15dab3da4a19f0372693f06",0,0,0,0,1,0,0
"366919f56c8caf2b110c235b2b755cd0",0,0,1,0,0,0,0
"072b936623782c4c89535afade990cd4",0,0,1,0,0,0,0
"ff192a91bb244f12df0d402a7ef70a0f",0,0,0,25,0,0,0
"a9776e75222ae6562eb6c50d774b0df9",0,0,1,3,0,1,0
"bdb05226c5379bf2f9ef37cc0fad7064",0,0,0,0,9,0,6
"a4d190f05054b9c04c711bc2791981e4",0,0,0,0,0,0,4
"9cbae80bc0a51dad52e4c23dd57596d5",0,0,0,0,1,0,0
"3d755a2d8c6ad0572e9de69324c1a86e",0,0,0,1,0,0,0
"3d6561a9c2cc88651449dd3c65a17a5a",0,0,0,0,6,0,0
"5f3504bdded680855ccdaf9db99b1e30",0,0,0,0,0,0,1
"2261df007bf51ab6ecc3dee1d66fb4af",0,0,0,1,0,0,0
"56dd11058c81d490ecb3de2b2a64cf24",0,0,0,1,0,0,0
"6d3383af307cb28bc008a13b2e3527fd",75,0,0,0,0,0,0
"dd9004c2826f567cb4f972e0e464fbc1",45,5,0,0,0,0,0
"9ffd34380b7c14b7fc8724d4561667a8",0,0,0,0,0,1,0
"2a2b48fbb55a272a35450164e6687d68",0,4,0,0,0,0,0
"5ea64524534b537d0ba21837a5eb68ac",30,17,0,0,0,0,0
"3eb6487f50e487c829f918d2cd7ec8da",0,0,0,1,12,0,0
"9c3ea0cd050b9464686705eadb175de6",0,0,7,9,16,0,0
"a2be8a268512722124ff4f5183e5a2cb",0,0,0,2,2,0,0
"c305de71fa793e9e7a70c2d41c8a943e",0,0,0,8,6,0,0
"bba82594ca64c9cab62277695a996ab7",12,0,8,0,15,0,0
"e435c6d0de2991b04bc1e21b3fe60446",0,1,3,0,0,3,0
"5c31b639ebe88aaff743d282e263f60d",0,0,0,0,0,1,0
"6c5a828b1d117ca7307686b7a2ebbdf6",0,0,0,3,1,0,0
"518932dfa8a3127d9e0a9913d3dee24a",0,0,0,0,1,0,0
"a1f00583db9bcc32342065b924cc0f35",0,0,0,1,1,0,0
"b5c7fd41327d82e8103a05f1472a573f",0,0,0,0,0,6,0
"cfaa98a8e8dc38d16fae0ebd7626f016",83,0,15,27,12,13,2
"f0caa892e69d8a482b230b3ef9875732",0,0,3,0,0,1,0
"928292114f17ec8409e3395212889c16",0,0,0,0,0,0,1
"806310f3c1f5189c4acab7d634648e39",0,0,0,0,0,2,0
"41e9178109a7caa9732249894305dad7",0,0,0,2,0,0,0
"7018a5bcb35e50248d7ff6f3764b4a7b",0,0,0,6,5,0,0
"0aa3661574d3e3e1222f2ca2a2a3f756",13,0,0,0,0,1,0
"3e3582b9d282d5d9f04e98893d8af956",0,0,0,0,0,3,0
"ff358e81a345206066fa844c3cad6b07",0,0,1,0,0,0,1
"79bd018a219b395681833d86a37b27b0",0,0,0,0,0,0,2
