"","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"03dbf8760e79d2acad0ec2c1fb1e79ed",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"04d47c98738cc80175461238d9af8bd8",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411",NA,NA
"17eb269131337ba1495b877a1ebf32d6",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae",NA,NA
"3066a55aea93323ec6d766f2274e5b53",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria",NA,NA
"3244bacd89af9a0bc03e80dae275b8dd",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Elusimicrobiota","Elusimicrobia","Lineage_IV","Lineage_IV",NA,NA
"3d6fe72989e6f4da2a792485be11ddc4",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36",NA,NA
"4301b3fa5c085b170518db938fcaeb3b",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured",NA,NA
"44a6b5b149ce97dde8a567907d811025",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","uncultured",NA,NA
"5b4e45bb0b2a7fd35abcd08e6bbba3d5",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Archaea","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota",NA,NA
"5ebf44ffd0a032b448a6d05a40101015",1.11607142857143e-06,0.00223214285714286,5.99676448509165e-05,2.40869656230625e-07,0.0147118449398883,0.00222965472167506,0.000393389986053332,0.0125297921109489,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","HglApr721","HglApr721",NA,NA
