"id","1256-008-C119-T","1256-011-C120-T","1256-014-C121-T","1256-018-C122-T","1256-024-C127-T","1256-027-C128-T","1256-030-C129-T","1256-032-C132-T","1256-036-C133-T","1256-042-C143-T","1256-045-C144-T","1256-048-C145-T","1256-052-C148-T","1256-055-C149-T","1256-061-C151-T","1256-066-C153-T"
"9b80dbae369b7fc1c6fd976cf165977e",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1ac6988fc5e060d6efb85f66c17e8941",0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0
"1aea5a010e7926952ffd38e51b667cbc",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"e5fba78a525a1ae30b2e6bf81b138265",0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"75640263d100a7799e59e25ecf7e4bda",0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,2
"7d38bafed245b3709630ca3b3e9443bc",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"2009a3dc77818c32b29bee5c9d006172",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
"7b41e089e83193141925032c92793803",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"46b387c88bd08f72dbce110965d431cb",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"97f0744134d3cd4bc94263bbdac5a4c4",0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0
"887445b1a52701eb42d8f2e1ffd0d6d4",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"9d676b73552d969ccbe3158c1332b445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"47a12b32420d460c105c6258e65ea747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"816be382cac49dbe44b30e1fc6c46bbe",0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"ad9ccd9fe4ded8337b2ca7ec81d2e973",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"05d3f76a9cf06845718c1d0f7444b2a4",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"4480444ce39100b7601eb22cc9bca297",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ad01baa81177eeaf1151a745ac16f789",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"01d3c3182538841f1b85893515a69943",0,34,61,0,0,0,28,0,0,0,0,0,0,0,2,0
"b272116078916fff1854f7d231e5846d",0,17,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"82d6b47faf287dcaede6da41818b327f",12,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0
"f68bc7bc767abe2a590963ba37c37f1b",24,107,172,37,0,0,0,0,0,3,0,0,0,2,0,0
"8e737993ae9f319a48951e255d7b19a1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c2964f0dfd0f895fb53ee3fb5384612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"693866d0f9de3f7b91ce4f1212e3edbb",0,0,0,0,0,0,0,89,41,0,0,0,0,0,0,0
"7bf8fe8ded434c35263079bad205084f",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"1771cc8db1fffcaad87041231cb613cd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"5a474b6561a197f4131530f93230df93",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24474df947b65dbe9b1a949482b66173",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1ff43568e5b65d5d46e58a754adccf0b",0,0,0,0,0,0,0,10,0,21,3,0,2,0,0,0
"217df94c25108995fab1e68016273c40",0,0,0,0,0,0,0,0,0,16,0,0,5,0,2,1
"00fed98651b9539cae9ec54eaaf6f9ab",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"77e0f4ff31fe772ccf47342324936f0d",29,70,2,0,24,31,45,21,0,50,21,12,10,27,8,76
"5eac339ba4ee88b519f9c96d61cbd9ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"2fdb9bf4b44446be8e200e6738d463bb",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"e5ac709b3cb8ccbfddf2a0b434c6bd8b",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"0e4e1051d95747c221e079a40c9dcd66",0,0,0,0,1,3,0,0,0,1,0,1,1,0,4,0
"443814da12e9ce1fac8c7bbd91097dca",0,10,0,58,0,9,0,0,0,0,22,1,4,3,2,0
"67703b8c96e887c12d90f4d10cd3eb38",0,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0
"ba4ed8ad820b3cd916afc52c1a0f5f37",0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
"0d14331723b479eaaac1217b291c191a",0,0,0,0,5,5,0,0,0,1,0,0,2,1,6,0
"9f1b391a7b0691fde2f019dd57c709a1",0,0,0,0,1,0,2,0,0,0,1,1,0,0,14,0
"0564b5be25e605f34193428a58bd6aad",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"18d92b5c5ff7dac25ab3a2b113c3ae69",0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"385cb86ac72dadd4fcefba540647fd94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bf043c66087861e73924a875b2246843",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"abbd5cc737992bce3ca99b7cfec371fa",0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0
"e4395a20c0bb93b16ca903ae20686850",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"a0bcca461780283d20c7ce69bdc4bdca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"b3af09b70168459766c28c6235a1ff8c",0,1,0,16,8,29,5,0,0,2,5,5,11,7,20,2
"c2e26af01a1ed0a72fc2a5058f0b72e5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"5ef9c853d818d322bcb82aa9ec48a7bd",0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
"9b38f3610cdb002415650e7ef23ceb61",0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
"71a2f1b92ec858cd038a7e5f803a8d70",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"feeb55417da752c52c2cfb83c7820a23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bdb21183a9c26e5b3d7b90855d6b9c23",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"24a9ac05316b0feecab0cf9921bbce87",0,0,0,0,90,62,104,0,0,43,0,107,113,56,23,0
"5728232723ac8e12fce58b99def78318",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"0efa0534a9b554362047f96572d26032",0,0,0,0,2,0,3,0,0,3,0,0,1,0,0,2
"ccc246c00f5536f8f73307912b7eae2c",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26e33bc793f97ebc9defb1cb72e0b3f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"83165862a963b7e6e6a1c94e61504205",0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0
"6d63ef998b7a46793a71758a5229d873",0,0,0,0,2,0,0,0,0,0,1,1,1,9,0,0
"73db02a04dc43bfd06f5d3ecb137b07d",0,0,0,0,0,5,5,13,0,0,0,6,1,3,14,20
"fb308f88fd24f8b0e22c9a1e11782e5e",0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0
"4c0b345787707b61bb82cba031f0caf2",0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
"3791c55f1dc30a8d8be75a9542a3ffd6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"bf948a2de381cb0b1ab71968859ed984",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"f6c60ee7ce1c031015f996c4ab276fd2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"61171ce61214e5494e58e609266bb3c1",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"e04396e52ee61e4a0168dfed15c7fd6f",0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0
"22b7b5cdaf7481e47a5ad529fbbada77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"580bb6864d8a9c619f5d5df0c02c52be",0,7,0,0,5,0,0,0,0,0,0,0,3,3,15,0
"205994aec16f1b1f3ae20d0a27a1e4bc",3,0,3,21,7,7,8,1,0,2,1,2,14,8,9,7
"57c44c579dba181241ab8c72e3b632c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"11aa8b6f4f2a3aaa0ef7d7a229910bb5",0,0,0,0,1,3,0,0,7,0,0,0,1,0,0,0
"77ebd991fd6bdeab0f461dd2a0b5e773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"85b1d18a4a4e1dae9e4d45c68c7eea16",0,2,0,0,0,0,0,6,0,1,0,1,2,0,0,1
"bf1ac5c10afc415f636b7b0e6547aba8",4,43,25,0,7,0,0,0,4,48,35,3,2,23,3,54
"5ca250ec300b09e948e0dbc866f6ab7b",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2d63c050b65b041d73dde0588945306c",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ed85cc7a2d5cd8aef9011b95d7d36b08",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
