"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"5ca6fa5c41b62799d3096cdfffe4b529",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,0
"c7e8ad8c7a45349a609da8a17ceb6659",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06a643b0979b644b1fbae71edbe91ca0",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"e3666f37055583168060b79eff513358",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,0,0,0
"6675b368ee23257440a30c1c0c2d5d7e",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"61f07328c0620f1ddda897628088f31b",0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,88,122,91,0
"a72c021a5d4dd486e494fffc5572f4e5",0,0,0,3,10,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0
"681841fbb41de127b80aecfd98b87ea3",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01832aa2f07d23f4cd445c4533fc8e39",6,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2badee7407752f42e24e95661aa7d057",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"2485e63fd257603ac99468f2baab3e20",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3e550bfa735f87b9632cf3cea01ea3b6",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bcd09f3f8b32b047b064cb6aa8e6d147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"96d6318ce97ad88e7bb2ce9d610be402",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66b1c1fdc59142efe405e4e647ab1846",0,0,0,0,1,3,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0
"c1baf76a9de7e3a3dd937184b871b968",0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,23,7,0,2,0
"414d077b6f3df0db1c1b7638ad3a25ed",0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"8a13d2e2f6ec9dd282e5a414d200154c",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"65e1a4b44da0bfc3fe5f9de7652e3c8f",0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"d5f4b5643ce51ac3eb677be4ef5d7408",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ca00c42a6eec30e7a65707648b280787",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb4173c1ffebae500864cc1d6b1cb8bc",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4dbd93d77f28920dc55b467a901b1929",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
