"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5ca6fa5c41b62799d3096cdfffe4b529","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae",NA,NA
"c7e8ad8c7a45349a609da8a17ceb6659","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA
"06a643b0979b644b1fbae71edbe91ca0","d__Bacteria","Cyanobacteria","Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia",NA,NA
"e3666f37055583168060b79eff513358","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA
"6675b368ee23257440a30c1c0c2d5d7e","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales",NA,NA
"61f07328c0620f1ddda897628088f31b","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"a72c021a5d4dd486e494fffc5572f4e5","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"681841fbb41de127b80aecfd98b87ea3","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"01832aa2f07d23f4cd445c4533fc8e39","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",NA,NA
"2badee7407752f42e24e95661aa7d057","d__Bacteria","Patescibacteria","Gracilibacteria","Unclassified Gracilibacteria","Unclassified Gracilibacteria",NA,NA
"2485e63fd257603ac99468f2baab3e20","d__Bacteria","Patescibacteria","Microgenomatia","Unclassified Microgenomatia","Unclassified Microgenomatia",NA,NA
"3e550bfa735f87b9632cf3cea01ea3b6","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Chisholmbacteria","Candidatus_Chisholmbacteria",NA,NA
"bcd09f3f8b32b047b064cb6aa8e6d147","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"96d6318ce97ad88e7bb2ce9d610be402","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria",NA,NA
"66b1c1fdc59142efe405e4e647ab1846","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria",NA,NA
"c1baf76a9de7e3a3dd937184b871b968","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"414d077b6f3df0db1c1b7638ad3a25ed","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"8a13d2e2f6ec9dd282e5a414d200154c","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria",NA,NA
"65e1a4b44da0bfc3fe5f9de7652e3c8f","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"d5f4b5643ce51ac3eb677be4ef5d7408","d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"ca00c42a6eec30e7a65707648b280787","d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria",NA,NA
"bb4173c1ffebae500864cc1d6b1cb8bc","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b",NA,NA
"4dbd93d77f28920dc55b467a901b1929","d__Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae",NA,NA
"44cb2df980f8bff3d7df45af43cb1444","d__Bacteria","Cyanobacteria","Cyanobacteriia","Unclassified Cyanobacteriia","Unclassified Cyanobacteriia",NA,NA
"d53b600629d28c7a9c1bce08b94a1c94","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Unclassified Cyanobacteriales",NA,NA
"b534eb5f2e2e3c70eb73d3ffc294b1c7","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae",NA,NA
"7353772c1f1edcf0af6307fa41d7dc35","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae",NA,NA
"902506fb1c3eced07e31b913c32d7f3c","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"2ac74834c5b3210e99158cea4cd81ba3","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
"a8b7e50fe50273b411aa935849494c87","d__Bacteria","Cyanobacteria","Cyanobacteriia","Limnotrichales","Limnotrichaceae",NA,NA
"1fb32b366c6fea11ff887b919f553986","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis",NA,NA
"dbeacd928077b98713143d584553a719","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae",NA,NA
"f886e4cf345f4f84911a089122273c24","d__Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia",NA,NA
"501b136c2616fb101dc2b49385fd67d9","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA,NA
"9c3ea0cd050b9464686705eadb175de6","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae",NA,NA
"b1a53dcb8d4e8780fb2632265dc94dbe","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae",NA,NA
"d392719b25219c75f471c46bd5b2658e","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Spiroplasmataceae",NA,NA
"69f6493556f02d8ee4cf335d339f9f16","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales_Incertae_Sedis",NA,NA
"8a93efbe7e2ca557b01eb96f23ef1065","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"2d26f9d37da398edef08b8b8fe091ecf","d__Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales",NA,NA
"ea0a2619fbf370aa6224d41ecfd8a3d8","d__Bacteria","Sumerlaeota","Sumerlaeia","uncultured","uncultured",NA,NA
"478dadac9862bd51fc28b8046a4213e0","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Unclassified Ignavibacteriales",NA,NA
"77e9ab91430d529297831d7cf9e0f445","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA
"6003198affa61a28d3f6d3b483d63c14","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8",NA,NA
"2a08339ebc4c87b1356ea1245ffc57a7","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA
"dbb84892e1477312c708fd1d216e6b8a","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales",NA,NA
"ae10bbca173b5149c326569d76c9ef82","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,NA
"01c67bd4e4f615e1f614f690672f4ed4","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
