"id","1256-101-PW164-M","1256-104-PW165-M","1256-107-PW166-M","1256-110-PW167-M","1256-113-PW168-M","1256-116-PW169-M","1256-120-PW170-M","1256-123-PW171-M","1256-126-PW172-M","1256-129-PW174-M","1256-132-PW175-M","1256-134-PW176-M","1256-137-PW177-M","1256-140-PW178-M","1256-143-PW181-M","1256-145-PW182-M","1256-148-PW183-M","1256-152-PW185-M","1256-155-PW186-M","1256-158-PW187-M","1256-161-PW190-M","1256-163-PW191-M","1256-165-PW192-M","1256-169-PW193-M","1256-172-PW194-M","1256-175-PW195-M","1256-178-PW197-M","1256-185-PW199-M","1256-190-PW202-M","1256-193-PW203-M","1256-196-PW204-M"
"5b126c71e2ef8496329824b58164a3a5",0,0,10,4,10,0,0,3,0,23,8,3,8,0,0,25,5,15,0,18,7,0,13,0,0,11,0,24,34,17,25
"54511ddac3669f6e84f869148fcea49d",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"85baea190d7315401bd8d224bbd196f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0
"d73555da6f3405d510c36801da954570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"333ddefefc81ae0b9d0a5f5b190731bc",0,0,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2ef6063ba3da518eafc1004ae56f1546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"330e6c1b4e114d276cf5a494260780f6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0
"61c801f7321028859c28b52e1826dfeb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"090641e7f7e3b9f2a2cbc071118394ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"0828ceb52a6de77c35565f8c2d54c879",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abe95745f22f60eaa1c8455f80d3cdcf",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a8b25723f18ff1b48b46b6bcd725f727",0,0,1,10,24,0,0,0,0,0,0,0,10,0,25,17,5,0,0,5,4,0,1,0,0,5,0,5,3,4,11
"f985096c05f72df0f39aced453cc9b00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,6,0,0,0,29,0,0,3,0,0,0,2
"12f4956c6c94a7abbd64b28e6e158958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"7b1370e420cb61a73ee5ac8b47e82ee9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0771988f924cf3f5804ce8369d94f09d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"d58bb12cd601d911966ee9a1ca05f7f8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"f84ef60a8ea746b179e54197e840bef5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,5
"8576426e7da323a23d57b3d1867d098d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0
"74f7158cac58d7b32594964c7c5998a5",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1914267964b668e91dd35b2cb2547efa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"e23e91f0f9b108c422577a713e79178a",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1a35f58cab56bab5d168d52d85d0de5",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52ea160d6a9134f5b46ad5030ea5e75a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0
"ed33190a87c415c466212c224c19c873",0,37,0,36,0,67,12,6,25,0,0,0,0,26,3,4,0,0,23,16,0,0,1,0,137,0,0,0,5,3,0
"adc1f38f198e085fa9e1730d65919d95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"953e302d585f1edc488c2a6b817cf2ec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"fc97c90082a4cf8a35cd445d58541300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"208f9faf153341bfd5dbe20f7bb68cfb",0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"e2f5cfd1c24f672b4bea35c19dedc24b",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bda47afa14f41d137ee8c5eb80015852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0
"ee00ae66c592747289eb2c537d37b100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"67db9b2bd18a8ee85af2eb5e3219519e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0
"cc97ce7f9198fde45c7ce81910cb2d57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"83308b4ef4c9163bf707aa07627a7884",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,4,1,0
"5eea439c47fcac7a73d75898171fb17d",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3bbb7ea4272f934fc6e1afc5553f08ba",0,0,0,0,32,0,9,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,11,8
"faa0334b772310c4157743f2e5b09484",0,0,11,16,7,0,6,6,0,14,0,22,11,12,10,35,8,0,0,3,33,0,10,0,0,18,3,27,17,23,10
"5c66e54ac5038337667ec46f83d72085",0,0,13,55,0,0,6,4,0,0,6,32,7,0,21,32,16,15,0,24,28,0,16,18,0,34,3,30,27,15,17
"ce3efa0d286ca5fad2a4aee6b83ae2a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"f051f501234a113a0f51247c32f4cae4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4
"49fc70a7882c2c6e63f7d742bebfb9c5",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"85ee831736c16d0b838f194055707322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"c05cc88ab3086e20489e84200e0426ec",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,2,0
"77d809840331e383959a9789b7e1bef7",0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
"16b6815bd893a3ca42916a63decca49f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d20f6bb9e6b969b86300da5c9046d29c",0,0,0,6,0,0,0,7,0,0,0,14,0,0,0,0,0,5,0,5,4,0,0,0,0,0,0,0,3,2,5
"8662d9b41063575c702c4900cc69ddf6",0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,9,0,0,0,7,0,0,0,2,1,0,1,0,0
"4387acf68ad4bbfd64e7bbd5673d254e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"3e3bc461d5c226eaf2be6cf74b25a9d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"cc9951bb9e5bedd217053de599889226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"0cdf6f7197b8c3ec1f6af3439072e8fd",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
"bbef7a39ab74f99471ee617dde952ff4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15c76e94e2e7238a8f5426d67c0bf6e8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"bc0533e754cda40e80893c6bc36cd4b3",0,0,0,0,0,0,0,0,0,0,0,0,107,270,71,5,1,0,0,5,0,0,2,0,0,0,3,0,7,1,1
