"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","004-C118-S","E5","Coral Skeleton",9.580789623,51
"2","007-C119-S","E5","Coral Skeleton",5.013684017,36
"3","010-C120-S","E5","Coral Skeleton",6.608393994,63
"4","013-C121-S","E5","Coral Skeleton",10.328428457,56
"5","016-C122-S","E5","Coral Skeleton",9.283969971,92
"6","020-C123-S","E5","Coral Skeleton",7.166820026,59
"7","023-C127-S","E5","Coral Skeleton",30.101812749,244
"8","026-C128-S","E5","Coral Skeleton",22.178615676,134
"9","029-C129-S","E5","Coral Skeleton",29.448114895,174
"10","035-C133-S","E5","Coral Skeleton",8.144195067,87
"11","041-C143-S","E5","Coral Skeleton",6.937401186,33
"12","044-C144-S","E5","Coral Skeleton",5.765668432,58
"13","047-C145-S","E5","Coral Skeleton",14.43012782,93
"14","050-C148-S","E5","Coral Skeleton",33.459180663,226
"15","054-C149-S","E5","Coral Skeleton",26.018713029,170
"16","057-C150-S","E5","Coral Skeleton",5.707243245,54
"17","060-C151-S","E5","Coral Skeleton",12.16229694,125
"18","063-C152-S","E5","Coral Skeleton",18.127576998,96
"19","065-C153-S","E5","Coral Skeleton",39.329756206,252
"20","069-C327-S","E12","Coral Skeleton",37.10392282,386
"21","072-C328-S","E12","Coral Skeleton",36.624628032,300
"22","102-PW164-S","E11","Coral Skeleton",5.892759815,47
"23","105-PW165-S","E11","Coral Skeleton",5.25136059,36
"24","108-PW166-S","E11","Coral Skeleton",34.282360286,276
"25","111-PW167-S","E11","Coral Skeleton",31.903754585,278
"26","114-PW168-S","E11","Coral Skeleton",3.624713975,38
"27","118-PW169-S","E11","Coral Skeleton",27.637306665,193
"28","121-PW170-S","E11","Coral Skeleton",30.024280562,222
"29","124-PW171-S","E11","Coral Skeleton",34.438516516,289
"30","127-PW172-S","E11","Coral Skeleton",21.055669248,153
"31","130-PW174-S","E11","Coral Skeleton",13.671823541,89
"32","135-PW176-S","E11","Coral Skeleton",15.526107405,95
"33","138-PW177-S","E11","Coral Skeleton",22.442321729,131
"34","141-PW178-S","E11","Coral Skeleton",37.100854089,277
"35","144-PW181-S","E11","Coral Skeleton",33.198066541,248
"36","146-PW182-S","E11","Coral Skeleton",33.280833425,281
"37","149-PW183-S","E11","Coral Skeleton",23.327674781,191
"38","153-PW185-S","E11","Coral Skeleton",35.035982063,306
"39","156-PW186-S","E11","Coral Skeleton",5.98156256,61
"40","159-PW187-S","E11","Coral Skeleton",33.187237867,252
"41","162-PW190-S","E11","Coral Skeleton",5.910150668,44
"42","164-PW191-S","E11","Coral Skeleton",12.11402876,86
"43","167-PW192-S","E11","Coral Skeleton",6.657528421,45
"44","170-PW193-S","E11","Coral Skeleton",33.487896302,246
"45","173-PW194-S","E11","Coral Skeleton",18.056336769,133
"46","176-PW195-S","E11","Coral Skeleton",4.32451978,39
"47","179-PW197-S","E11","Coral Skeleton",28.858360335,181
"48","186-PW199-S","E11","Coral Skeleton",22.769927764,216
"49","191-PW202-S","E11","Coral Skeleton",4.753869783,36
"50","194-PW203-S","E11","Coral Skeleton",16.543929266,115
"51","197-PW204-S","E11","Coral Skeleton",33.19716604,275
"52","201-HI6-S","E15","Coral Skeleton",45.106769747,394
"53","204-HI7-S","E15","Coral Skeleton",7.957403316,106
"54","207-HI8-S","E15","Coral Skeleton",5.906471807,45
"55","210-HI10-S","E15","Coral Skeleton",4.560349608,82
"56","217-HI58-S","E15","Coral Skeleton",21.247398799,133
"57","220-HI59-S","E15","Coral Skeleton",7.409939607,68
"58","223-HI60-S","E15","Coral Skeleton",22.02494642,210
"59","226-HI61-S","E15","Coral Skeleton",40.439432125,347
"60","229-HI62-S","E15","Coral Skeleton",32.109596066,229
"61","236-HI64-S","E15","Coral Skeleton",10.938554644,57
"62","239-HI65-S","E15","Coral Skeleton",21.827961337,159
"63","245-HI67-S","E15","Coral Skeleton",24.251219663,160
"64","249-HI68-S","E15","Coral Skeleton",1.523325131,31
"65","252-HI69-S","E15","Coral Skeleton",12.427589294,74
"66","255-HI70-S","E15","Coral Skeleton",10.720623582,52
"67","257-HIA-S","E15","Coral Skeleton",25.778692433,168
"68","260-HIB-S","E15","Coral Skeleton",27.48165092,202
"69","263-HICS","E15","Coral Skeleton",18.004670684,104
"70","272-P2-S","E2","Coral Skeleton",12.202563017,58
"71","282-P1-S","E2","Coral Skeleton",27.624778962,181
"72","286-P6-S","E2","Coral Skeleton",31.437651283,249
"73","289-P7-S","E2","Coral Skeleton",29.107137425,199
"74","292-P8-S","E2","Coral Skeleton",29.059585087,193
"75","296-P11-S","E2","Coral Skeleton",40.735930787,325
"76","299-P12-S","E2","Coral Skeleton",27.614880596,195
"77","364-REU2-S","E9","Coral Skeleton",12.276575114,92
"78","367-REU4-S","E9","Coral Skeleton",17.134026112,114
"79","370-KaustZ-4-S","E4","Coral Skeleton",2.582299831,35
