"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8f2e929fc680237a86bdee77f7b0a5d0","d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA,NA
"2cb34003f168988ad6227485eac88e4d","d__Bacteria","Bacteroidota","Chlorobia","Chlorobiales","Chlorobiaceae",NA,NA
"055cba3d5e5dd5a1233426b109a6d6b7","d__Bacteria","WOR-1","WOR-1","WOR-1","WOR-1",NA,NA
"47830587dbfc298a3b2b7aaac2af4612","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae",NA,NA
"8ee7442bed9b3913958fd68d24f43db4","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales",NA,NA
"ba970d9abce83918fa1e8491c1ce3e8e","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA
"afe2794035780fc2e10c4f6e6cb34eb6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Unclassified Vampirivibrionia","Unclassified Vampirivibrionia",NA,NA
"b9311732854cb0d3493a2e9e85d8bd0f","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"e683295b6cd848cd647d9dec6b07d945","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"f589dd2c687c21265c5c951c69ddf730","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"98d2aeba92b38a8aba3d41dd26a19f1e","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria",NA,NA
"43d6d7bc180b12fa766310b8c26cf22a","d__Bacteria","Patescibacteria","CPR2","CPR2","CPR2",NA,NA
"ad8061dc6554d22922f9532f715848be","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Curtissbacteria","Candidatus_Curtissbacteria",NA,NA
"f5aeffac54c7633e989038cdc37e6424","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA,NA
"3603ce3ae6132c8b9aff61a7edb08bd8","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Unclassified Saccharimonadales",NA,NA
"82362b3d5039ae85ddbd2897a0ecf3d7","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales",NA,NA
"596eab5536a8612ea4191c5067ce80e5","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3",NA,NA
"98a68ca4de53004ee94b9b63ca9f0779","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Pacebacteria","Candidatus_Pacebacteria",NA,NA
"f8f6f3e8a7678de5b9243b30c20df16f","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"f3e292455fcd30a20f69ee31a338ea3f","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria",NA,NA
"ff192a91bb244f12df0d402a7ef70a0f","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria",NA,NA
"2f63b9435f0a1a2ecb25f7a676bb4ba4","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria",NA,NA
"da9179ddf7980950f1be869d8044d2a9","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria",NA,NA
"3066a55aea93323ec6d766f2274e5b53","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria",NA,NA
"bdb05226c5379bf2f9ef37cc0fad7064","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"07250dedf54cc11ffb3ff71264a6f2de","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"f00ac36f10d1b640775271ec8a646a6c","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria",NA,NA
"3c221ef9c52c3cf0d4db0b0f91000431","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"e3962de72cde06477068fb9b9ed048cf","d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"da9cc77eba6a0eff335abe64fb4b6db8","d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria",NA,NA
"2261df007bf51ab6ecc3dee1d66fb4af","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1",NA,NA
"8919e0a3904ea1b76ef8436585242f27","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b",NA,NA
"6d3383af307cb28bc008a13b2e3527fd","d__Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae",NA,NA
"dd9004c2826f567cb4f972e0e464fbc1","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae",NA,NA
"4955203e3d1f9d43cbe839402b1ce3b0","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
"c547049c64c885fc0aebf40693eab988","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"e9305207ed7184a3eb2d7c892352a275","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis",NA,NA
"5ea64524534b537d0ba21837a5eb68ac","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae",NA,NA
"700d22984559176798bd8cd62312d40b","d__Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria",NA,NA
"7527e41e9b8d48b0cfc751b8ed7dd8d1","d__Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia",NA,NA
"c7a0f3bd3778eca08559404455123563","d__Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriales",NA,NA
"4f6e8b94d267345fb7b76fc0a07565a8","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"c4f162bb647c5fe03f65250bae36d480","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales",NA,NA
"0972af539c438102f4f9e91fb23c9a06","d__Bacteria","Firmicutes","Clostridia","Unclassified Clostridia","Unclassified Clostridia",NA,NA
"782ee750ebfa9e995588c5fd1fcdbc92","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"8190ba68af261452a7826f88200c4c14","d__Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae",NA,NA
"41e6ec8e71757d8d1478eadbc6fe4a79","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales",NA,NA
"8fc0e1983b67fd0fa1922846e07ca3ae","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae",NA,NA
"52ea160d6a9134f5b46ad5030ea5e75a","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Unclassified Entomoplasmatales",NA,NA
"d82786ea3ce00abc1c54ba4ed7339b62","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA
"a1f650388d9bca8157141aa8b5bb8eaa","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae",NA,NA
"e782fb329ab7b6c3accc5e715eba340b","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae",NA,NA
"7bff15c06d5d3d8846a8c546ed8ff516","d__Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales",NA,NA
"ed9e2592db7604643e7d1d2ed8ad32db","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota",NA,NA
"9fa3e0b7a62dd6625b52a4cc34be9788","d__Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28",NA,NA
"e182edb2a63f86e233c0abf212a3e53a","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA
"02c55c5c59cea7ddd61b71ff41480379","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36",NA,NA
"8ca731d190586cf4cd3b7001355d7995","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8",NA,NA
"5c9ab0aec5a366bf8f8cef34cbb36319","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA,NA
"59d3c91935df2c46f5a1ef24f5eae02e","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17",NA,NA
"cb6f3d693166021105296e2599deebdc","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae",NA,NA
"0385bba397640d3ae565755eb20ff8a2","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae",NA,NA
"d3581a49c7baac8c9d534c4d2beff61f","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae",NA,NA
"af252e2ef6e6a36841860acf0bda3321","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae",NA,NA
"4ba991acd560a9ba463d2706eb5efa7f","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae",NA,NA
"1798b95b358ce6bf8b0168530f85da3c","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae",NA,NA
