"","PD","SR"
"E2_Coral Tissue",1680.646455,13
"E2_Coral Mucus",1627.066023,12
"E15_Coral Mucus",1399.109711,9
"E15_Coral Skeleton",1399.109711,9
"E15_Coral Tissue",1399.109711,9
"E11_Coral Mucus",1129.608899,7
"E11_Coral Skeleton",1129.608899,7
"E11_Coral Tissue",1129.608899,7
"E5_Coral Skeleton",1034.859469,6
"E5_Coral Tissue",1034.859469,6
"E5_Coral Mucus",981.279037,5
"E12_Coral Tissue",796.461367,4
"E2_Coral Skeleton",424.472093,4
"E12_Coral Mucus",369.443046,1
"E12_Coral Skeleton",369.443046,1
