"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","004-C118-S","E5","Coral Skeleton",9.580789623,51
"2","007-C119-S","E5","Coral Skeleton",5.013684017,36
"3","008-C119-T","E5","Coral Tissue",7.038124276,40
"4","010-C120-S","E5","Coral Skeleton",6.209744314,61
"5","011-C120-T","E5","Coral Tissue",10.225094534,78
"6","012-C121-M","E5","Coral Mucus",9.477005409,40
"7","013-C121-S","E5","Coral Skeleton",10.328428457,56
"8","014-C121-T","E5","Coral Tissue",6.550046195,41
"9","016-C122-S","E5","Coral Skeleton",8.43949357,89
"10","018-C122-T","E5","Coral Tissue",9.207876404,50
"11","019-C123-M","E5","Coral Mucus",9.096953257,109
"12","020-C123-S","E5","Coral Skeleton",7.166820026,59
"13","022-C127-M","E5","Coral Mucus",26.570251929,164
"14","023-C127-S","E5","Coral Skeleton",31.495967874,251
"15","024-C127-T","E5","Coral Tissue",34.420693897,224
"16","025-C128-M","E5","Coral Mucus",16.53178553,126
"17","026-C128-S","E5","Coral Skeleton",23.894575963,146
"18","027-C128-T","E5","Coral Tissue",26.016974595,154
"19","028-C129-M","E5","Coral Mucus",16.449547136,80
"20","029-C129-S","E5","Coral Skeleton",29.499178342,173
"21","030-C129-T","E5","Coral Tissue",20.756027666,120
"22","032-C132-T","E5","Coral Tissue",8.74505307,59
"23","035-C133-S","E5","Coral Skeleton",8.094432468,87
"24","036-C133-T","E5","Coral Tissue",10.87058245,65
"25","040-C143-M","E5","Coral Mucus",28.72238973,178
"26","041-C143-S","E5","Coral Skeleton",6.470170764,34
"27","042-C143-T","E5","Coral Tissue",22.872091375,148
"28","043-C144-M","E5","Coral Mucus",30.810319392,177
"29","044-C144-S","E5","Coral Skeleton",5.473570712,57
"30","045-C144-T","E5","Coral Tissue",15.728703414,89
"31","046-C145-M","E5","Coral Mucus",13.515175541,77
"32","047-C145-S","E5","Coral Skeleton",16.103498707,100
"33","048-C145-T","E5","Coral Tissue",29.072297943,226
"34","049-C148-M","E5","Coral Mucus",10.604517153,58
"35","050-C148-S","E5","Coral Skeleton",32.197042173,220
"36","052-C148-T","E5","Coral Tissue",33.920934157,217
"37","054-C149-S","E5","Coral Skeleton",25.221142919,163
"38","055-C149-T","E5","Coral Tissue",33.99485233,198
"39","056-C150-M","E5","Coral Mucus",4.966553558,74
"40","057-C150-S","E5","Coral Skeleton",6.493033958,56
"41","059-C151-M","E5","Coral Mucus",8.334118111,99
"42","060-C151-S","E5","Coral Skeleton",11.888252757,128
"43","061-C151-T","E5","Coral Tissue",34.503276311,258
"44","062-C152-M","E5","Coral Mucus",31.487250558,221
"45","063-C152-S","E5","Coral Skeleton",18.127576998,96
"46","064-C153-M","E5","Coral Mucus",43.026134828,291
"47","065-C153-S","E5","Coral Skeleton",37.672582481,246
"48","066-C153-T","E5","Coral Tissue",20.775083725,105
"49","068-C327-M","E12","Coral Mucus",6.821771801,122
"50","069-C327-S","E12","Coral Skeleton",37.145590478,398
"51","070-C327-T","E12","Coral Tissue",3.724295274,49
"52","071-C328-M","E12","Coral Mucus",15.384408019,215
"53","072-C328-S","E12","Coral Skeleton",34.923620693,290
"54","073-C328-T","E12","Coral Tissue",8.449150688,116
"55","074-C369-T","E12","Coral Tissue",7.285776785,83
"56","075-C370-T","E12","Coral Tissue",4.748590657,29
"57","076-C371-T","E12","Coral Tissue",5.004886219,95
"58","077-C372-T","E12","Coral Tissue",5.425624418,98
"59","078-C373-T","E12","Coral Tissue",6.602831816,108
"60","079-C386-T","E12","Coral Tissue",9.633182438,128
"61","080-C435-T","E12","Coral Tissue",11.805735945,166
"62","081-C436-T","E12","Coral Tissue",7.03707852,119
"63","082-C437-T","E12","Coral Tissue",11.19490703,189
"64","101-PW164-M","E11","Coral Mucus",3.651921259,71
"65","102-PW164-S","E11","Coral Skeleton",5.063188728,44
"66","103-PW164-T","E11","Coral Tissue",14.418257482,82
"67","104-PW165-M","E11","Coral Mucus",3.50496501,80
"68","105-PW165-S","E11","Coral Skeleton",5.25136059,36
"69","106-PW165-T","E11","Coral Tissue",13.394260506,93
"70","107-PW166-M","E11","Coral Mucus",8.963826221,173
"71","108-PW166-S","E11","Coral Skeleton",35.176017814,280
"72","109-PW166-T","E11","Coral Tissue",48.152614687,423
"73","110-PW167-M","E11","Coral Mucus",13.031562643,246
