"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"e43437a71f38cd3ce4235b95c0c03619","d__Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b",NA,NA
"c1356a087fefbb27d645516b409e8423","d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"af3b331a8b252a113770173aa1902410","d__Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria",NA,NA
"2b7bf3120ead165261e1aa3584eedd41","d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"3ae29370fb2308fe4c9fcf0754930c51","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria",NA,NA
"e5d0f3c2a8eb48a62042d281b287706b","d__Bacteria","Patescibacteria","ABY1","Unclassified ABY1","Unclassified ABY1",NA,NA
"b08e5e4efd7cd65a5a55318ea3534a15","d__Bacteria","Patescibacteria","ABY1","Candidatus_Buchananbacteria","Candidatus_Buchananbacteria",NA,NA
"2eb9f4e6c8a08a211d016177b3b52a52","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"94896e5e58c4b104292a9809bf69f0db","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria",NA,NA
"e523b41ed2a0d26a7349193ab39df741","d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"b7251003b10935bec11974a58e06e631","d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"cbd0a874739e36c9d92b1eb46f0df3aa","d__Bacteria","Patescibacteria","Gracilibacteria","Unclassified Gracilibacteria","Unclassified Gracilibacteria",NA,NA
"9d3070231556a078f3fc273f876e67c3","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Abawacabacteria","Candidatus_Abawacabacteria",NA,NA
"9877009424ed514bc8cd5dbc211b5e16","d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"ae93dda1398fcc61bcfbf27313fbb5d7","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Chisholmbacteria","Candidatus_Chisholmbacteria",NA,NA
"3e9cad600329bfb33036edd20e88d4cb","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Pacebacteria","Candidatus_Pacebacteria",NA,NA
"2d51ce8a79c65dce7d3631e898cc5396","d__Bacteria","Patescibacteria","Microgenomatia","Unclassified Microgenomatia","Unclassified Microgenomatia",NA,NA
"d8c8516162752403d05dedded5b6a936","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria",NA,NA
"1d26779cf1d5bef59d28501fd7c7aa9d","d__Bacteria","Patescibacteria","Microgenomatia","Candidatus_Curtissbacteria","Candidatus_Curtissbacteria",NA,NA
"ab3477503f3a42316be20ceae4ab83fc","d__Bacteria","Patescibacteria","Kazania","Kazania","Kazania",NA,NA
"d45484385e9121acc42382d19b004843","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yanofskybacteria","Candidatus_Yanofskybacteria",NA,NA
"a428d23d66c3366e2d8375eb57677a48","d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"11696481ecd6e2f5ac47f1d97a26d6d2","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria",NA,NA
"d27b4bb6d194310345f8cc074f6e24e2","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"49679f664363dd684ad964d30ea1a039","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria",NA,NA
"8b85bc0c376b93a8eb7d164e957b60be","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Adlerbacteria","Candidatus_Adlerbacteria",NA,NA
"0927dd7dceb57b3db08cf0d6d61facb5","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria",NA,NA
"0446dd6bb4e29d39dc1e3a454b0f0841","d__Bacteria","Patescibacteria","Unclassified Patescibacteria","Unclassified Patescibacteria","Unclassified Patescibacteria",NA,NA
"3d1553b7b859b581f0c5249e878443f3","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria",NA,NA
"3628853460f5ea113e23b296f860c2eb","d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria",NA,NA
"14973ecc941ee8ac6fef2daef87bdfb6","d__Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae",NA,NA
"19c8fa1bb5325954745e00503cf17756","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA,NA
"7fda2e727ea03994733df075a8abe5ba","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"7dfa5429e838e550d26550741af781c6","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA
"23b4dcd0e2be7ff69a4cbd2bd65b531d","d__Archaea","Asgardarchaeota","Odinarchaeia","Odinarchaeia","Odinarchaeia",NA,NA
"9e16d1ab652c3de6069662553bb0cbca","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia",NA,NA
"ec369c4580b4a7b3c59f0fad295eed7a","d__Archaea","Euryarchaeota","Unclassified Euryarchaeota","Unclassified Euryarchaeota","Unclassified Euryarchaeota",NA,NA
"37ed8c982182366925880f19f9d6a07d","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II",NA,NA
"3541ebf667fd33917fe5a6fc31ec0acf","d__Archaea","Thermoplasmatota","Thermoplasmata","uncultured","uncultured",NA,NA
"7a65762a783f30cf91ca9015ce216bbc","d__Archaea","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota",NA,NA
"f8455751ee1a72a2abc56a96e4ab7968","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA,NA
"b97961d3699b5a178686f6d4c29873f8","d__Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae",NA,NA
"9f81c4477ca58c5cdb4d903f0845af20","d__Archaea","Halobacterota","Halobacteria","Halobacterales","Halococcaceae",NA,NA
"22e681c0ddf37b083bc1f7cafd0113d3","d__Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae",NA,NA
"f753c43ca75368d37a96d04904be29ea","d__Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae",NA,NA
"30412c90733bf5065b41d8dfdbeead3d","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC_AAA011-D5",NA,NA
"bc282acfb5c824da9de09984be213cd2","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales",NA,NA
"55504d8e0ac23e2a21195ded2edc9eee","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified Woesearchaeales",NA,NA
"f19443a7a5e70d09059aa5546bf649fd","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC_AAA286-E23",NA,NA
"148404f74280c842d9c78d06fc988f2b","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011",NA,NA
"d4ff6d4d666088d189fa802b177125cb","d__Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Micrarchaeales",NA,NA
"c6d63b0ce291db561b4d6273e0d972a2","d__Archaea","Aenigmarchaeota","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)",NA,NA
"dede40dd44072499d8dd2a3294060324","d__Archaea","Aenigmarchaeota","Aenigmarchaeia","Aenigmarchaeales","Aenigmarchaeales",NA,NA
"ee5296c3352650377c8530c9f7f9e28a","d__Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","Iainarchaeales",NA,NA
"bcf66521900ef522cbba8275c5c1700a","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Unclassified Rickettsiales",NA,NA
"be327251e73a23883f065ecf3175578f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae",NA,NA
"64b3892e038d562c003ca648b1ed7894","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales",NA,NA
"a2b3d60279091f66fef0fbb41cfab460","d__Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae",NA,NA
"bd5f1a315ad25bea9007b63a699d2e42","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae",NA,NA
"14acb41850fd16a57b17efb6fe735da0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae",NA,NA
"5640486d4e641c50e3211908f05320c3","d__Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",NA,NA
"cb39d8dc217b0ccde4fa86bb7cb4839c","d__Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria",NA,NA
"1e72848697c4318429e402b19cd45c3f","d__Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales",NA,NA
"30f938901283f0436abb73deac3fa91a","d__Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae",NA,NA
"e39981adc7608c11c19c430e01123da5","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","AB1",NA,NA
"2bbcc2fa9a3490443f08d1de0af0e75e","d__Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured",NA,NA
"fce0b10ef45ef92a64b2a8f80352e4b6","d__Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA
"360f71981de483eef317e63e6ac5c7dc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Unclassified Rhodospirillales",NA,NA
"95bb5eddb649c358fe3e331efd4bd80d","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group",NA,NA
"4129f4804cfed26a96f91a42c3a261c8","d__Bacteria","Proteobacteria","Unclassified Proteobacteria","Unclassified Proteobacteria","Unclassified Proteobacteria",NA,NA
"e8f881e1c1407258e2afc54c4fac8f5d","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured",NA,NA
"920a75e15ae0efd30540752cc420f0b1","d__Bacteria","Proteobacteria","Magnetococcia","Magnetococcales","Magnetococcaceae",NA,NA
"67d270e8bd25c0c3aa44301770ad89e9","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Unclassified Micavibrionales",NA,NA
"7d8ad42f268270c36d8d5a6615a84131","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured",NA,NA
"13edc181295be4d7edd686f3bb798dd6","d__Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20",NA,NA
"eee550fcf02b5ca0e3e740c4bd155702","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae",NA,NA
"5020bed51613906db43d8ec39338f63c","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA
"86c911cab6d22a3aac5b73c7d80e9070","d__Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured",NA,NA
"55a2d73730627696ed9f764fe91cb7b3","d__Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Unclassified Oligoflexales",NA,NA
"0d830efe0a185ceaec850a76b31480cd","d__Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexales",NA,NA
"5520502d92ba6fb450d5404d500fcb20","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae",NA,NA
"fc75b939932869133765d5145089e4e9","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis",NA,NA
"13364321eb0b93d6dd22c410273cec8e","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Unclassified Eurycoccales",NA,NA
