"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","E1.10.Poc.dami.1.20140728.T","E1","Coral Tissue",2.413143774,22
"2","E1.10.Poc.dami.1.20140731.T","E1","Coral Tissue",10.535440812,67
"3","E1.10.Sty.pist.1.20140815.T","E1","Coral Tissue",2.075266802,38
"4","E1.11.Fun.sp.1.20140730.T","E1","Coral Tissue",19.423739286,129
"5","E1.11.Fun.sp.1.20140811.T","E1","Coral Tissue",8.663530098,41
"6","E1.11.Lep.tran.1.20140731.T","E1","Coral Tissue",18.173552382,105
"7","E1.11.Psa.cont.1.20140730.T","E1","Coral Tissue",4.566146842,37
"8","E1.11.Psa.digi.1.20140807.T","E1","Coral Tissue",9.961574579,70
"9","E1.14.Phy.lich.1.20140811.T","E1","Coral Tissue",4.346981694,57
"10","E1.15.Dip.heli.1.20140726.T","E1","Coral Tissue",19.761839652,140
"11","E1.15.Dip.heli.1.20140809.T","E1","Coral Tissue",30.402121868,278
"12","E1.15.Dip.heli.1.20140815.T","E1","Coral Tissue",21.947086883,147
"13","E1.15.Dip.heli.1.20140905.T","E1","Coral Tissue",22.337200089,201
"14","E1.17.Cau.furc.1.20140801.T","E1","Coral Tissue",17.536234696,92
"15","E1.17.Ech.lame.1.20140905.T","E1","Coral Tissue",7.048089504,99
"16","E1.17.Ech.mamm.1.20140815.T","E1","Coral Tissue",6.726764653,70
"17","E1.17.Fav.sp.1.20140805.T","E1","Coral Tissue",12.269970017,101
"18","E1.17.Fav.sp.1.20140811.T","E1","Coral Tissue",15.300435607,98
"19","E1.17.Fav.sp.2.20140805.T","E1","Coral Tissue",16.696693065,118
"20","E1.17.Hyd.exes.1.20140803.T","E1","Coral Tissue",5.977327478,53
"21","E1.19.Lob.sp.1.20140730.T","E1","Coral Tissue",3.105785074,48
"22","E1.19.Lob.sp.1.20140809.T","E1","Coral Tissue",24.063510212,175
"23","E1.19.Sym.sp.1.20140814.T","E1","Coral Tissue",5.856081932,48
"24","E1.19.Sym.sp.1.20140815.T","E1","Coral Tissue",2.820005675,64
"25","E1.19.Sym.sp.1.20140905.T","E1","Coral Tissue",18.193677983,110
"26","E1.2.Tur.pelt.1.20140814.T","E1","Coral Tissue",19.08648522,145
"27","E1.2.Tur.reni.1.20140730.T","E1","Coral Tissue",21.106930559,153
"28","E1.2.Tur.reni.1.20140814.T","E1","Coral Tissue",17.599901977,150
"29","E1.2.Tur.stel.1.20140805.T","E1","Coral Tissue",15.798791848,116
"30","E1.3.Por.cyli.1.20140801.T","E1","Coral Tissue",5.551495467,24
"31","E1.3.Por.cyli.1.20140815.T","E1","Coral Tissue",8.23881238,63
