"id","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S"
"43cdf5873abd339e129692a1efad066a",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b52230b03a1ccd82d65d32fa08331b91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"909f1a2dfb1f4f59aba82dc56e390281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"40218aa3709ced0d4f09e606a9c22982",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cbd0a874739e36c9d92b1eb46f0df3aa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"9877009424ed514bc8cd5dbc211b5e16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"9d6f724cc264b405e135e20caafd915d",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0
"62965a6407efa05fd514871dbb928efa",0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11696481ecd6e2f5ac47f1d97a26d6d2",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56538642aaff19361c4691ce47505c15",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b85bc0c376b93a8eb7d164e957b60be",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40d410e168ce5979f6959e49a10f3f49",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3628853460f5ea113e23b296f860c2eb",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"32fe43ea120251aeef3e30c31f5d9ac2",0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,20,8,0,0
"4c52eebca3710ffc5dac6160558c2131",0,0,0,0,68,58,4,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0
"30412c90733bf5065b41d8dfdbeead3d",0,38,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,0
"68a6b898e3654f45f742eda109dab440",0,0,0,0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481e5eb7f7630f556ed02770d979ebbc",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd5f1a315ad25bea9007b63a699d2e42",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f672d070ba571ceb8272352c388a9705",0,0,0,0,2,21,8,8,0,24,0,0,0,0,0,5,6,0,0,0,0,0,0,0
"fce0b10ef45ef92a64b2a8f80352e4b6",0,0,0,0,0,0,0,12,56,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"67d270e8bd25c0c3aa44301770ad89e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"f5fb573372d15d7f6fa98557666f01cf",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"cdb96c555a635973c355068c343b54fe",0,13,5,23,2,6,7,0,0,0,0,0,0,31,0,7,0,0,0,0,0,0,0,0
"ed5830c2f899dd458b539a360c710f07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"f84d5d028ad02384920684b1d0fced01",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fbdee9d6f01119f13591a20a4fd7ab88",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,37,0,0,21,0,0,0,0
"e38b1f8e16362b0a25f111205ba83f9f",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fbe6d3c41da00a782fcef3ba3702b5a8",0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,3,21,0,0,0,0,30,0,0
"7ec008c7c60579f3a67e69236f882eef",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73f7fb7807a8bfa98d5796672a6ea579",0,0,0,0,0,0,0,31,0,0,0,28,0,0,0,7,0,0,0,0,0,0,0,0
"86b46d6ce19b93dff0ba0da87c454f89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"6e1a0ba4c4264907cd59796a1bfb05bc",0,0,0,0,2,2,10,6,9,0,0,26,0,0,0,31,0,0,0,0,0,6,0,0
"bc80ae26d0910dffbc1211dfe287046d",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41b3a46457d744ba5f6932e229ebca17",0,0,0,0,0,0,3,0,0,0,0,0,0,0,40,0,12,0,0,0,0,0,0,0
"853ef92c36bd1586ab6c1c2f43edb989",0,101,0,111,59,60,44,10,0,0,0,0,0,0,0,10,14,0,0,0,0,9,0,0
"cfe17320c57d6d54087998f227ab9e73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928029b4011946a8946996f3b428f762",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04fbfd7dbd4ecaf5856cfa6bcd8f1899",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"21bf3ce0496e4ceaf4287cbe6d7f3001",0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"065541b7cd7b5fb73eab7d92c5ee4d27",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
