"sample_name_backup","expedition_number","BiologicalMatter","faith_pd","faith_SR"
"1","012-C121-M","E5","Coral Mucus",8.903989962,40
"2","019-C123-M","E5","Coral Mucus",9.163790678,109
"3","022-C127-M","E5","Coral Mucus",26.396910714,162
"4","025-C128-M","E5","Coral Mucus",16.742978252,129
"5","028-C129-M","E5","Coral Mucus",15.531138744,82
"6","040-C143-M","E5","Coral Mucus",27.825382479,175
"7","043-C144-M","E5","Coral Mucus",30.242007003,180
"8","046-C145-M","E5","Coral Mucus",13.285130679,79
"9","049-C148-M","E5","Coral Mucus",10.190658263,58
"10","056-C150-M","E5","Coral Mucus",5.026649778,76
"11","059-C151-M","E5","Coral Mucus",8.501978135,100
"12","062-C152-M","E5","Coral Mucus",33.459639956,236
"13","064-C153-M","E5","Coral Mucus",43.483814749,285
"14","068-C327-M","E12","Coral Mucus",6.53821969,122
"15","071-C328-M","E12","Coral Mucus",14.602459549,212
"16","101-PW164-M","E11","Coral Mucus",3.389684012,72
"17","104-PW165-M","E11","Coral Mucus",4.577752293,83
"18","107-PW166-M","E11","Coral Mucus",8.819689987,171
"19","110-PW167-M","E11","Coral Mucus",13.174691452,253
"20","113-PW168-M","E11","Coral Mucus",10.828008079,176
"21","116-PW169-M","E11","Coral Mucus",4.196136374,67
"22","120-PW170-M","E11","Coral Mucus",9.827098857,175
"23","123-PW171-M","E11","Coral Mucus",8.842326235,169
"24","126-PW172-M","E11","Coral Mucus",5.795044485,50
"25","129-PW174-M","E11","Coral Mucus",12.270145378,184
"26","132-PW175-M","E11","Coral Mucus",7.524879395,111
"27","134-PW176-M","E11","Coral Mucus",14.875879089,217
"28","137-PW177-M","E11","Coral Mucus",12.664764916,116
"29","140-PW178-M","E11","Coral Mucus",10.376203344,85
"30","143-PW181-M","E11","Coral Mucus",14.284536233,191
"31","145-PW182-M","E11","Coral Mucus",16.541560413,234
"32","148-PW183-M","E11","Coral Mucus",19.525711326,247
"33","152-PW185-M","E11","Coral Mucus",17.257307163,223
"34","155-PW186-M","E11","Coral Mucus",4.014854146,98
"35","158-PW187-M","E11","Coral Mucus",19.976755701,254
"36","161-PW190-M","E11","Coral Mucus",18.887395824,232
"37","163-PW191-M","E11","Coral Mucus",4.436284378,97
"38","165-PW192-M","E11","Coral Mucus",22.339684771,216
"39","169-PW193-M","E11","Coral Mucus",7.864529697,76
"40","172-PW194-M","E11","Coral Mucus",2.759769807,65
"41","175-PW195-M","E11","Coral Mucus",14.472913749,202
"42","178-PW197-M","E11","Coral Mucus",25.079287851,137
"43","185-PW199-M","E11","Coral Mucus",20.447057831,233
"44","190-PW202-M","E11","Coral Mucus",27.510855463,251
"45","193-PW203-M","E11","Coral Mucus",22.622413734,352
"46","196-PW204-M","E11","Coral Mucus",17.275349978,289
"47","200-HI6-M","E15","Coral Mucus",5.141558133,46
"48","203-HI7-M","E15","Coral Mucus",3.525061698,61
"49","206-HI8-M","E15","Coral Mucus",2.758799023,58
"50","209-HI10-M","E15","Coral Mucus",7.198297264,142
"51","212-HI57-M","E15","Coral Mucus",3.822150846,60
"52","216-HI58-M","E15","Coral Mucus",2.185853858,55
"53","219-HI59-M","E15","Coral Mucus",2.439463599,57
"54","222-HI60-M","E15","Coral Mucus",11.303883526,99
"55","225-HI61-M","E15","Coral Mucus",1.916809136,78
"56","228-HI62-M","E15","Coral Mucus",8.576164723,63
"57","232-HI63-M","E15","Coral Mucus",31.401250333,258
"58","235-HI64-M","E15","Coral Mucus",4.741746619,87
"59","238-HI65-M","E15","Coral Mucus",1.877125051,51
"60","241-HI66-M","E15","Coral Mucus",8.851317613,53
"61","244-HI67-M","E15","Coral Mucus",13.915283062,90
"62","247-HI68-M","E15","Coral Mucus",5.170316379,121
"63","251-HI69-M","E15","Coral Mucus",2.118382065,66
"64","254-HI70-M","E15","Coral Mucus",3.27204309,86
"65","256-HIA-M","E15","Coral Mucus",9.080749343,45
"66","259-HIB-M","E15","Coral Mucus",4.02009368,73
"67","262-HICM","E15","Coral Mucus",2.832173314,75
"68","269-HIE-M","E15","Coral Mucus",2.814205849,62
"69","274-P5-M","E2","Coral Mucus",28.573390683,267
"70","288-P7-M","E2","Coral Mucus",8.182872797,52
"71","291-P8-M","E2","Coral Mucus",5.760666752,61
"72","294-P11-M","E2","Coral Mucus",13.530669785,84
"73","298-P12-M","E2","Coral Mucus",1.158835319,13
"74","303-P479-M","E2","Coral Mucus",13.665323633,76
"75","305-P480-M","E2","Coral Mucus",20.061081008,117
"76","307-P481-M","E2","Coral Mucus",15.522263348,86
"77","309-P482-M","E2","Coral Mucus",29.673078228,188
"78","311-P483-M","E2","Coral Mucus",23.672497513,157
"79","313-P484-M","E2","Coral Mucus",16.343392987,119
"80","315-P485-M","E2","Coral Mucus",21.440469269,130
"81","319-P486-M","E2","Coral Mucus",22.337230889,128
"82","321-P489-M","E2","Coral Mucus",18.188856539,144
"83","323-P492-M","E2","Coral Mucus",16.08627043,150
"84","324-P493-M","E2","Coral Mucus",14.89345641,101
"85","326-P494-M","E2","Coral Mucus",3.317806576,51
"86","330-P497-M","E2","Coral Mucus",28.184688318,217
"87","332-P498-M","E2","Coral Mucus",25.490601545,248
"88","333-P499-M","E2","Coral Mucus",11.872471547,55
"89","337-P502-M","E2","Coral Mucus",20.294648997,138
"90","338-P503-M","E2","Coral Mucus",14.768364242,74
"91","340-P504-M","E2","Coral Mucus",8.219184495,153
"92","342-P507-M","E2","Coral Mucus",7.362087353,87
"93","344-P508-M","E2","Coral Mucus",7.385655894,98
"94","346-P509-M","E2","Coral Mucus",12.115738145,82
"95","348-P510-M","E2","Coral Mucus",7.228526089,34
"96","350-P511-M","E2","Coral Mucus",6.734462259,41
"97","352-P512-M","E2","Coral Mucus",7.302793938,41
"98","358-P501-M","E2","Coral Mucus",6.726802831,29
"99","363-REU2-M","E9","Coral Mucus",3.948545006,74
"100","366-REU4-M","E9","Coral Mucus",30.604296507,176
"101","E1.10.Poc.dami.1.20140731.M","E1","Coral Mucus",5.350315955,33
"102","E1.10.Sty.pist.1.20140807.M","E1","Coral Mucus",7.524071939,58
"103","E1.10.Sty.pist.1.20140815.M","E1","Coral Mucus",15.61513757,97
"104","E1.11.Fun.sp.1.20140730.M","E1","Coral Mucus",27.1933515,136
"105","E1.11.Fun.sp.1.20140811.M","E1","Coral Mucus",11.026891559,60
"106","E1.11.Lep.tran.1.20140731.M","E1","Coral Mucus",2.467473355,33
"107","E1.11.Psa.cont.1.20140730.M","E1","Coral Mucus",2.922043142,31
"108","E1.11.Psa.digi.1.20140807.M","E1","Coral Mucus",20.496888758,131
"109","E1.14.Phy.lich.1.20140811.M","E1","Coral Mucus",2.856893602,23
"110","E1.15.Dip.heli.1.20140726.M","E1","Coral Mucus",11.613979349,59
"111","E1.15.Dip.heli.1.20140809.M","E1","Coral Mucus",19.863234619,114
"112","E1.15.Dip.heli.1.20140815.M","E1","Coral Mucus",11.060160709,68
"113","E1.15.Dip.heli.1.20140905.M","E1","Coral Mucus",8.227157808,97
"114","E1.17.Cau.furc.1.20140801.M","E1","Coral Mucus",15.754508762,61
"115","E1.17.Ech.lame.1.20140905.M","E1","Coral Mucus",8.743248242,103
"116","E1.17.Ech.mamm.1.20140728.M","E1","Coral Mucus",6.119775598,65
"117","E1.17.Ech.mamm.1.20140815.M","E1","Coral Mucus",16.317659031,100
"118","E1.17.Fav.sp.1.20140805.M","E1","Coral Mucus",9.910310078,42
"119","E1.17.Fav.sp.1.20140811.M","E1","Coral Mucus",24.798615999,140
"120","E1.17.Fav.sp.2.20140805.M","E1","Coral Mucus",21.26937533,115
"121","E1.17.Hyd.exes.1.20140803.M","E1","Coral Mucus",8.776848872,47
"122","E1.19.Lob.sp.1.20140730.M","E1","Coral Mucus",10.869823985,120
"123","E1.19.Lob.sp.1.20140809.M","E1","Coral Mucus",17.944317769,125
"124","E1.19.Sym.sp.1.20140724.M","E1","Coral Mucus",3.679342566,62
"125","E1.19.Sym.sp.1.20140814.M","E1","Coral Mucus",9.885696296,69
"126","E1.19.Sym.sp.1.20140815.M","E1","Coral Mucus",8.60252178,74
"127","E1.19.Sym.sp.1.20140905.M","E1","Coral Mucus",13.091345472,125
"128","E1.2.Tur.pelt.1.20140814.M","E1","Coral Mucus",13.330004766,51
"129","E1.2.Tur.reni.1.20140730.M","E1","Coral Mucus",19.81889864,108
"130","E1.2.Tur.reni.1.20140814.M","E1","Coral Mucus",20.166908195,115
"131","E1.2.Tur.stel.1.20140805.M","E1","Coral Mucus",18.537512438,90
"132","E1.3.Por.cyli.1.20140801.M","E1","Coral Mucus",2.34744583,16
"133","E1.3.Por.cyli.1.20140815.M","E1","Coral Mucus",12.443414368,65
"134","E1.3.Por.loba.1.20140724.M","E1","Coral Mucus",13.621098322,69
"135","E1.3.Por.loba.1.20140726.M","E1","Coral Mucus",7.139202223,26
"136","E1.3.Por.loba.1.20140905.M","E1","Coral Mucus",9.641207478,66
"137","E1.4.Pac.rugo.1.20140728.M","E1","Coral Mucus",7.073713618,53
"138","E1.4.Pac.rugo.1.20140814.M","E1","Coral Mucus",25.03586672,168
"139","E1.4.Pac.spec.1.20140811.M","E1","Coral Mucus",13.893473994,106
"140","E1.5.Gal.astr.1.20140728.M","E1","Coral Mucus",23.120668961,146
"141","E1.5.Gal.astr.1.20140807.M","E1","Coral Mucus",16.528683203,88
"142","E1.5.Gal.astr.1.20140814.M","E1","Coral Mucus",18.288571885,158
"143","E1.5.Gal.astr.1.20140905.M","E1","Coral Mucus",14.799063472,93
"144","E1.6.Acr.humi.1.20140731.M","E1","Coral Mucus",6.743425892,73
"145","E1.6.Acr.sp.1.20140905.M","E1","Coral Mucus",3.39508328,90
"146","E1.6.Iso.pali.1.20140803.M","E1","Coral Mucus",13.922214016,95
"147","E1.6.Iso.pali.1.20140815.M","E1","Coral Mucus",15.839174257,103
"148","E1.6.Mon.hisp.1.20140807.M","E1","Coral Mucus",2.091387982,28
"149","E1.7.Pav.sp.1.20140905.M","E1","Coral Mucus",6.353028868,90
"150","E1.7.Pav.vari.1.20140805.M","E1","Coral Mucus",16.615067756,81
"151","E1.7.Pav.vari.1.20140815.M","E1","Coral Mucus",12.1946746,97
"152","E1.7.Pav.veno.1.20140809.M","E1","Coral Mucus",19.754258798,119
"153","E1.7.Pav.veno.1.20140811.M","E1","Coral Mucus",18.526231198,113
"154","E10.10.Poc.dami.1.20150630.M","E10","Coral Mucus",6.149537378,62
"155","E10.10.Sty.pist.1.20150630.M","E10","Coral Mucus",3.253078528,61
"156","E10.10.Sty.pist.2.20150630.M","E10","Coral Mucus",9.876449244,100
"157","E10.10.Sty.pist.3.20150630.M","E10","Coral Mucus",1.76548911,37
"158","E10.17.Fav.abdi.1.20150630.M","E10","Coral Mucus",2.861492987,40
"159","E10.17.Fav.abdi.2.20150630.M","E10","Coral Mucus",4.054872003,50
"160","E10.17.Gon.favu.1.20150629.M","E10","Coral Mucus",12.790084455,89
"161","E10.17.Gon.favu.1.20150630.M","E10","Coral Mucus",5.077559766,55
"162","E10.17.Gon.favu.2.20150630.M","E10","Coral Mucus",4.690959745,65
"163","E10.17.Mon.curt.3.20150629.M","E10","Coral Mucus",2.60816339,38
"164","E10.Aca.hill.1.20150629.M","E10","Coral Mucus",35.630113057,242
"165","E10.Aca.hill.2.20150629.M","E10","Coral Mucus",2.325513199,37
"166","E10.Aca.hill.3.20150629.M","E10","Coral Mucus",9.236518376,56
"167","E10.Acr.cyth.1.20150627.M","E10","Coral Mucus",8.696422246,119
"168","E10.Acr.cyth.2.20150627.M","E10","Coral Mucus",13.91061948,137
"169","E10.Acr.cyth.3.20150627.M","E10","Coral Mucus",4.24810472,60
"170","E10.Acr.pali.1.20150627.M","E10","Coral Mucus",11.532917882,97
"171","E10.Acr.pali.2.20150627.M","E10","Coral Mucus",13.361848427,83
"172","E10.Acr.pali.3.20150627.M","E10","Coral Mucus",5.602428087,65
"173","E10.Alv.alli.1.20150628.M","E10","Coral Mucus",3.038109876,20
"174","E10.Alv.alli.2.20150628.M","E10","Coral Mucus",3.334083099,57
"175","E10.Alv.alli.3.20150628.M","E10","Coral Mucus",7.676443114,72
"176","E10.Cyp.micr.1.20150627.M","E10","Coral Mucus",6.283262075,64
"177","E10.Cyp.sera.2.20150628.M","E10","Coral Mucus",8.210588748,53
"178","E10.Fav.abdi.1.20150629.M","E10","Coral Mucus",10.121658716,33
"179","E10.Mon.curt.1.20150629.M","E10","Coral Mucus",17.505935505,117
"180","E10.Mon.curt.2.20150629.M","E10","Coral Mucus",3.113630662,63
"181","E10.Poc.dami.1.20150628.M","E10","Coral Mucus",1.908908656,32
"182","E10.Por.hero.1.20150628.M","E10","Coral Mucus",4.003615972,20
"183","E10.Por.hero.2.20150628.M","E10","Coral Mucus",5.293565504,31
"184","E10.Por.hero.3.20150628.M","E10","Coral Mucus",1.878974966,9
"185","E10.Ser.cali.1.20150627.M","E10","Coral Mucus",1.69775122,37
"186","E10.Ser.cali.2.20150627.M","E10","Coral Mucus",7.454055478,38
"187","E10.Ser.cali.3.20150627.M","E10","Coral Mucus",12.97489635,96
"188","E10.Sty.pist.1.20150628.M","E10","Coral Mucus",5.741062099,44
"189","E3.10.Sty.pist.1.20150124.M","E3","Coral Mucus",4.273855705,56
"190","E3.10.Sty.pist.1.20150127.M","E3","Coral Mucus",12.392943786,102
"191","E3.10.Sty.pist.2.20150124.M","E3","Coral Mucus",4.721448834,54
"192","E3.11.Fun.sp.1.20150125.M","E3","Coral Mucus",12.676311018,177
"193","E3.11.Fun.sp.1.20150127.M","E3","Coral Mucus",6.093567702,45
"194","E3.11.Fun.sp.2.20150125.M","E3","Coral Mucus",8.361352147,134
"195","E3.14.Phy.lich.1.20150125.M","E3","Coral Mucus",11.088440648,108
"196","E3.14.Phy.lich.1.20150129.M","E3","Coral Mucus",8.014794519,75
"197","E3.14.Phy.lich.2.20150125.M","E3","Coral Mucus",10.146541493,81
"198","E3.15.Dip.heli.1.20150105.M","E3","Coral Mucus",3.04802274,58
"199","E3.15.Dip.heli.1.20150106.M","E3","Coral Mucus",8.065507176,59
"200","E3.15.Dip.heli.1.20150118.M","E3","Coral Mucus",11.171628532,86
"201","E3.15.Dip.heli.1.20150119.M","E3","Coral Mucus",5.583030867,97
"202","E3.15.Dip.heli.1.20150120.M","E3","Coral Mucus",6.456364787,70
"203","E3.15.Dip.heli.1.20150121.M","E3","Coral Mucus",6.588155381,106
"204","E3.15.Dip.heli.1.20150123.M","E3","Coral Mucus",3.207998727,50
"205","E3.15.Dip.heli.2.20150105.M","E3","Coral Mucus",5.125496249,52
"206","E3.15.Dip.heli.2.20150106.M","E3","Coral Mucus",4.496472335,49
"207","E3.15.Dip.heli.2.20150119.M","E3","Coral Mucus",5.797429994,71
"208","E3.15.Dip.heli.2.20150120.M","E3","Coral Mucus",6.346606557,82
"209","E3.15.Dip.heli.2.20150121.M","E3","Coral Mucus",7.866542878,96
"210","E3.15.Dip.heli.2.20150123.M","E3","Coral Mucus",9.201507671,117
"211","E3.15.Dip.heli.3.20150105.M","E3","Coral Mucus",10.323722965,119
"212","E3.15.Dip.heli.3.20150120.M","E3","Coral Mucus",2.703208673,62
"213","E3.15.Dip.heli.3.20150121.M","E3","Coral Mucus",4.982091039,92
"214","E3.15.Dip.heli.3.20150123.M","E3","Coral Mucus",13.355399985,173
"215","E3.15.Dip.heli.4.20150105.M","E3","Coral Mucus",1.685619835,52
"216","E3.17.Ech.mamm.1.20150123.M","E3","Coral Mucus",18.156805435,214
