"Family","taxon_path_count","tax_path_mean_abun","tax_path_sd","unique_function_count"
"A4b",91592,122.122666666667,68.5054714533636,750
"AEGEAN-169_marine_group",1158420,53.8749883731746,24.9210034815434,827
"AT-s2-59",41116,39.3831417624521,8.85348641831942,1044
"Acanthopleuribacteraceae",60200,57.9403272377286,11.3650369902067,1039
"Acholeplasmataceae",235852.5,39.113184079602,24.4826262589011,670
"Actinomarinaceae",1668810,55.9402654867257,29.9912972488132,678
"Alcanivoracaceae1",454310,49.3600608431117,34.4930860107568,1534
"Amoebophilaceae",1003356,81.6533203125,73.7531396478922,1024
"Anaerolineaceae",35952,47.936,26.8899981405726,750
"Arcobacteraceae",18096,15.1304347826087,8.2894121193007,1196
"Arenicellaceae",85284,72.5204081632653,18.7688177390752,1176
"BD7-11",64395,87.3744911804613,31.2338358289522,737
"BIrii41",73725.96,48.9873488372093,38.1540699681465,1505
"Bacteriovoracaceae",136969,139.196138211382,75.7827189649356,984
"Balneolaceae",540870,130.267341040462,70.2679135875216,1038
"Bdellovibrionaceae",50740,46.8081180811808,15.5428127808995,1084
"Bradymonadales",39920,42.2881355932203,13.4683804371511,944
"Caldilineaceae",31014,25.5259259259259,21.9641563131401,1215
"Calditrichaceae",24345,19.1241162608013,10.9007958580406,1273
"Caulobacteraceae",127224,89.974540311174,53.9561765733204,1414
"Cellvibrionaceae",215430,143.71581054036,62.309324283907,1499
"Chitinophagaceae",73840,63.5456110154905,39.5824903499649,1162
"Clade_III",90792,109.256317689531,25.4944455167667,831
"Clade_IV",91160,55.1148730350665,48.4318405446047,827
"Colwelliaceae",154512,49.3648562300319,38.5730509579711,1565
"Coxiellaceae",56975,54.8363811357074,10.7561957228742,1039
"Crocinitomicaceae",505164,77.0184479341363,46.8796984312785,937
"Cyanobacteriaceae",40390.22,32.0049286846276,18.4531435450966,1262
"Cyclobacteriaceae",630604,154.939557739558,192.502013235781,814
"DEV007",101365,107.378177966102,47.5068560154092,944
"Dadabacteriales",187308,66.6102418207681,37.3084712838721,703
"Desulfatiglandaceae",80010,76.2,46.5173174186604,1050
"Desulfobulbaceae",48525.5,37.6750776397515,20.1138807133821,1288
"Desulfocapsaceae",122830,33.7259747391543,17.2582173191278,1214
"Desulfosarcinaceae",109890,86.3236449332286,57.9694309100698,1273
"Desulfovibrionaceae",245733,47.5857862122386,44.6671476193561,1291
"Ectothiorhodospiraceae",160911,57.9859459459459,25.7464933941523,925
"Fibrobacteraceae",34628,46.3560910307898,13.655925060468,747
"Flammeovirgaceae",506688,84.0975933609958,73.5455052139056,1205
"Francisellaceae",137193,72.975,47.4981068780473,940
"Fusobacteriaceae",73815,38.485401459854,34.5270685373736,959
"Geminicoccaceae",132940,88.273572377158,72.6767717244841,1506
"Gracilibacteria",48620,71.7109144542773,22.018366820659,678
"HOC36",56760,46.7160493827161,14.5291004084769,1215
"Haliangiaceae",51282,41.5912408759124,27.8175874217862,1233
"Halieaceae",3525824,57.4406829363657,36.9556795583319,1306
"Hymenobacteraceae",82708,71.2385874246339,43.0985929773073,1161
"Hyphomicrobiaceae",492582,121.445266272189,78.6645594265218,1352
"Hyphomonadaceae",136032,107.365430149961,50.9244849180732,1267
