"Family","taxon_path_count","tax_path_mean_abun","tax_path_sd","unique_function_count"
"Alteromonadaceae",5828354.8,38.9804360620653,49.802267762093,1780
"Beijerinckiaceae",14330925,91.5831096625767,107.21110642382,1630
"Burkholderiaceae",6131824,80.1524666021803,102.17280391941,1319
"Clade_I",3745180,40.928245142395,38.3155250333679,906
"Comamonadaceae",11584716,92.9513768534566,115.245708985382,1731
"Cyanobiaceae",4919436.5,30.8374485983652,19.5126900965614,1156
"Endozoicomonadaceae",2757715.4,22.4917657613572,31.2378111510162,1830
"Flavobacteriaceae",2902575,56.7263719512195,41.4026238467186,984
"Pseudomonadaceae",6329078.1,30.7804595856434,36.6653559327467,2235
"SAR86_clade",1838364,58.842711734204,34.9471897995296,762
"Streptococcaceae",1830124,84.2598526703499,69.0675156489728,905
"Terasakiellaceae",1328756,100.473043478261,79.5076466015601,575
"Vibrionaceae",1488778.72,9.49815444291328,13.6220939073442,2177
