"taxon","Class","Order","Family","model","Kingdom","Phylum","Genus","Species"
"a859935a02c6fe7ea2ddaee20dc4dc47","Omnitrophia","Omnitrophales","Omnitrophales","above","d__Bacteria","Verrucomicrobiota",NA,NA
"f77009dfa769cbf03e8a7a4d13b1f3fc","Pla4_lineage","Pla4_lineage","Pla4_lineage","above","d__Bacteria","Planctomycetota",NA,NA
"fa1092af6c321a442aa9125bf9b62e33","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","above","d__Bacteria","Desulfobacterota",NA,NA
"9362e3537ec76483166a03b54638b3e6","Margulisbacteria","Margulisbacteria","Margulisbacteria","above","d__Bacteria","Margulisbacteria",NA,NA
"96ad607d3d32d73e87fbc29980822228","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","neutral","d__Bacteria","Hydrogenedentes",NA,NA
"86843848cbe303164ae25005bff20f64","Calditrichia","Calditrichales","Calditrichaceae","above","d__Bacteria","Calditrichota",NA,NA
"6ea7447ca2c8e9c0ccece8a1f6c13fa3","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","above","d__Bacteria","Desulfobacterota",NA,NA
"87308ca0a11a86a281f2e05b7a73a451","Gammaproteobacteria","uncultured","uncultured","above","d__Bacteria","Proteobacteria",NA,NA
"9f8e89902c4ab02b7fc12f04ca16008e","PAUC34f","PAUC34f","PAUC34f","above","d__Bacteria","PAUC34f",NA,NA
"0b7fcb6f9e47fc5202840ca5ec476931","Alphaproteobacteria","Puniceispirillales","uncultured","above","d__Bacteria","Proteobacteria",NA,NA
"e902ec6fb748c93610d6d4a3108e2884","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","above","d__Bacteria","Acidobacteriota",NA,NA
"f281c628daa8b6072d42f3ef7cb0176b","Nanoarchaeia","Woesearchaeales","SCGC_AAA011-D5","above","d__Archaea","Nanoarchaeota",NA,NA
"5959a89bb322ab3a7127538633543d20","Gammaproteobacteria","AT-s2-59","AT-s2-59","above","d__Bacteria","Proteobacteria",NA,NA
"c96208030f3c25e0c953e517051f9902","Alphaproteobacteria","uncultured","uncultured","above","d__Bacteria","Proteobacteria",NA,NA
"4ca838bacdf5c4d0f4d1f509dd5785c8","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","above","d__Bacteria","Bacteroidota",NA,NA
"1a60e86e1b423dd130630bf38c776172","Anaerolineae","Ardenticatenales","uncultured","above","d__Bacteria","Chloroflexi",NA,NA
"1637942ee2c170dab660ebaceac87af8","Bacteroidia","Cytophagales","Hymenobacteraceae","above","d__Bacteria","Bacteroidota",NA,NA
"5c725a99895c8eadfec01a14ed1ab1e6","Saccharimonadia","Saccharimonadales","Saccharimonadales","above","d__Bacteria","Patescibacteria",NA,NA
"78c9e1265a14df3326b58d640ccf3ba0","Thermoplasmata","Thermoplasmata","Thermoplasmata","neutral","d__Archaea","Thermoplasmatota",NA,NA
"82f17b0cbb717668e9cc3a9a538162b9","Omnitrophia","Omnitrophales","Omnitrophaceae","above","d__Bacteria","Verrucomicrobiota",NA,NA
"97e872d2f0748a1c0c49568eb3e5f488","Polyangia","Haliangiales","Haliangiaceae","above","d__Bacteria","Myxococcota",NA,NA
"aae2ca56f20129b0375e24a96780cf16","KD4-96","KD4-96","KD4-96","neutral","d__Bacteria","Chloroflexi",NA,NA
"6650410b81b6d0eb4119280133d2db93","Alphaproteobacteria","Tistrellales","Geminicoccaceae","above","d__Bacteria","Proteobacteria",NA,NA
"120eff3f0f2c86ee097ac9c95b53d7ee","Lentisphaeria","Unclassified Lentisphaeria","Unclassified Lentisphaeria","above","d__Bacteria","Verrucomicrobiota",NA,NA
"46239994a26a52e72d47853787aec4d1","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","above","d__Bacteria","Gemmatimonadota",NA,NA
"905044dd8ef2dc2074702746262df24e","Anaerolineae","Caldilineales","Caldilineaceae","above","d__Bacteria","Chloroflexi",NA,NA
"bbd8497ca4977abd6d75cba20627c2b5","Polyangia","Nannocystales","Nannocystaceae","above","d__Bacteria","Myxococcota",NA,NA
"432e6aa28a69616c96135b37b5c877f4","Oligoflexia","Oligoflexales","Oligoflexales","above","d__Bacteria","Bdellovibrionota",NA,NA
"bef53b71ca751f68f2405a80027aa06c","Unclassified Planctomycetota","Unclassified Planctomycetota","Unclassified Planctomycetota","above","d__Bacteria","Planctomycetota",NA,NA
"3c7e6b63027221109867a7ae075721d8","Rhodothermia","Rhodothermales","Rhodothermaceae","above","d__Bacteria","Bacteroidota",NA,NA
"62869c70242d27fff6ef6d9a0a4113e1","Bacteroidia","Chitinophagales","Chitinophagaceae","above","d__Bacteria","Bacteroidota",NA,NA
"d23a21152f7ec8ae9894763faabe65fc","Subgroup_22","Subgroup_22","Subgroup_22","above","d__Bacteria","Acidobacteriota",NA,NA
"ec832bb821cbccc065eacde541b107f7","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"b762d5a769a88fcb2341b1b2b1f680e4","Bacteroidia","Bacteroidales","Rikenellaceae","neutral","d__Bacteria","Bacteroidota",NA,NA
"590560a12f6a0ea1b84d9a3e7a1616be","Gammaproteobacteria","Burkholderiales","Methylophilaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"d2ff82bc924c2fe7a64b349fa0ff2bfb","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","above","d__Bacteria","Bacteroidota",NA,NA
"30fb3edb90bfc0b9261e26db761a13fd","Alphaproteobacteria","Rickettsiales","Unclassified Rickettsiales","above","d__Bacteria","Proteobacteria",NA,NA
"a66839753f785f0d91be3ac660c80f58","Myxococcia","Myxococcales","Myxococcaceae","above","d__Bacteria","Myxococcota",NA,NA
"78b099efb4027437e230e8ac29caad9e","Gammaproteobacteria","Alteromonadales","Unclassified Alteromonadales","above","d__Bacteria","Proteobacteria",NA,NA
"2d5bac4252c5dba912e35cd4830085f5","Gammaproteobacteria","pItb-vmat-80","pItb-vmat-80","above","d__Bacteria","Proteobacteria",NA,NA
"a4554d075d0b8991d9c630d43d59e9c9","Pla3_lineage","Pla3_lineage","Pla3_lineage","above","d__Bacteria","Planctomycetota",NA,NA
"ff4fd1e2aeed684a34c343d03c6aaea5","Desulfuromonadia","Bradymonadales","Bradymonadales","above","d__Bacteria","Desulfobacterota",NA,NA
"1f7acd2e5f0d2c6b5f135d17b76928f8","Polyangia","Polyangiales","Sandaracinaceae","above","d__Bacteria","Myxococcota",NA,NA
"2f19a111dde5f35f1bcdb8f58e8ff21e","Planctomycetes","Planctomycetales","Rubinisphaeraceae","above","d__Bacteria","Planctomycetota",NA,NA
"148fdb58bfb242cc0bc92fce26cc2dc5","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","above","d__Bacteria","Fibrobacterota",NA,NA
"7c9edda9c7417007a97e2d086063c5e4","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","above","d__Bacteria","Acidobacteriota",NA,NA
"4f2a7324bb4347870b11bcae996ca812","Gammaproteobacteria","Arenicellales","Arenicellaceae","above","d__Bacteria","Proteobacteria",NA,NA
"3c9107e3753ac8e5718095c1444fe158","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","above","d__Bacteria","Proteobacteria",NA,NA
"6d44644cc084c06518281afa8470b4f8","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","above","d__Bacteria","Verrucomicrobiota",NA,NA
"85494221957ab0fe0fd5d2bbbde5fcf0","Leptospirae","Leptospirales","Leptospiraceae","above","d__Bacteria","Spirochaetota",NA,NA
"dd799b2bc01cdc64bfd262659d42d1b2","Kiritimatiellae","WCHB1-41","WCHB1-41","above","d__Bacteria","Verrucomicrobiota",NA,NA
"0bf7922b0fd8c5f6340ddd5073fdd7f9","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","above","d__Bacteria","Firmicutes",NA,NA
"8424032c4e05e0883107d2726ef4a125","Dehalococcoidia","SAR202_clade","SAR202_clade","above","d__Bacteria","Chloroflexi",NA,NA
"81779d930a1e869c532f935efb6c2487","BD7-11","BD7-11","BD7-11","above","d__Bacteria","Planctomycetota",NA,NA
"0e8c6c3333cdbc263828b9cbe4296a28","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae","above","d__Bacteria","Verrucomicrobiota",NA,NA
"c5db2d3a618532bc9d107518fcb180e7","Polyangia","Polyangiales","BIrii41","above","d__Bacteria","Myxococcota",NA,NA
"f99ae02e481ec51405f1e1a255d80006","Actinobacteria","Corynebacteriales","Mycobacteriaceae","above","d__Bacteria","Actinobacteriota",NA,NA
"0b356dc2203aff9da20649ad6e23b238","Anaerolineae","SBR1031","SBR1031","above","d__Bacteria","Chloroflexi",NA,NA
"2ddf02bfccfc2b945289f069a9bf9db6","Gammaproteobacteria","Tenderiales","Tenderiaceae","above","d__Bacteria","Proteobacteria",NA,NA
"31ea468dc4c7af6971561895e5b4a376","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","above","d__Bacteria","Desulfobacterota",NA,NA
"f309c2a2a33b675c5a502356479650db","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","above","d__Bacteria","Proteobacteria",NA,NA
"cf192c135103c697ed6b0ea5bd0652c8","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","above","d__Bacteria","Proteobacteria",NA,NA
"70cb76a47ef8618d89621dde407c54c5","Acidimicrobiia","Actinomarinales","uncultured","above","d__Bacteria","Actinobacteriota",NA,NA
"0da78c970bcd67e34b7a6cb1d7e78e20","Gammaproteobacteria","Oceanospirillales","Unclassified Oceanospirillales","above","d__Bacteria","Proteobacteria",NA,NA
"2ea4f396325c08edc80f52941d8940d2","Anaerolineae","Anaerolineales","Anaerolineaceae","above","d__Bacteria","Chloroflexi",NA,NA
"d8186cbf971dbc9a54ffa7614e8a8304","Actinobacteria","Propionibacteriales","Propionibacteriaceae","above","d__Bacteria","Actinobacteriota",NA,NA
"4ca01f017978d944036f25ecda198b66","Anaerolineae","SBR1031","A4b","above","d__Bacteria","Chloroflexi",NA,NA
"70f4948e4ee1f1ce88d06de7bc193ef5","Dadabacteriia","Dadabacteriales","Dadabacteriales","above","d__Bacteria","Dadabacteria",NA,NA
"fb3d8e4080c233cddf6d034aceddfa0c","Nanoarchaeia","Woesearchaeales","SCGC_AAA286-E23","neutral","d__Archaea","Nanoarchaeota",NA,NA
"65b1be2299fa6f3c3d16b95f154c48f4","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","above","d__Bacteria","Proteobacteria",NA,NA
"bc6c07189b77231f7967eb708a5c99f7","Bacteroidia","Bacteroidales","Marinilabiliaceae","above","d__Bacteria","Bacteroidota",NA,NA
"f5f36db04331084c05d8145fab1db301","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria","neutral","d__Bacteria","Patescibacteria",NA,NA
"af76e1b647569a87dc0f1e6465538454","Bacteroidia","Bacteroidales","Marinifilaceae","neutral","d__Bacteria","Bacteroidota",NA,NA
"760c2a6a4a4aeaf6216308e15e460422","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","above","d__Bacteria","Proteobacteria",NA,NA
"3ca25c3ef4d4be166b7e8ce3771095c6","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","above","d__Bacteria","Proteobacteria",NA,NA
"bc604afbb6f9a47a4999d46da540ee22","Gammaproteobacteria","Burkholderiales","MWH-UniP1_aquatic_group","above","d__Bacteria","Proteobacteria",NA,NA
"59137048681281ec68a8a3013f09305e","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","above","d__Bacteria","Proteobacteria",NA,NA
"393dc63912a7591c868a2bb2fc1d02a0","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"72f566f713cbec5fb5e7d753c6cee91c","Alphaproteobacteria","Parvibaculales","OCS116_clade","above","d__Bacteria","Proteobacteria",NA,NA
"876287326c1f97b2676ca1a3334c884e","Clostridia","Clostridiales","Clostridiaceae","neutral","d__Bacteria","Firmicutes",NA,NA
"6a0deebfe9e7b161cefca58be356a7ba","Campylobacteria","Campylobacterales","Arcobacteraceae","above","d__Bacteria","Campilobacterota",NA,NA
"d3af82514960bade66d54cf7fd25e739","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","above","d__Bacteria","Cyanobacteria",NA,NA
"13edc181295be4d7edd686f3bb798dd6","Oligoflexia","0319-6G20","0319-6G20","neutral","d__Bacteria","Bdellovibrionota",NA,NA
"47b4549e39efd69400f17cba2a60fa91","Desulfuromonadia","PB19","PB19","above","d__Bacteria","Desulfobacterota",NA,NA
"4f0d23ac7c7bf9639257e977d5fe483d","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","above","d__Bacteria","Proteobacteria",NA,NA
"c3cfc9a59445e619cd11665224e81994","Oligoflexia","Oligoflexales","uncultured","above","d__Bacteria","Bdellovibrionota",NA,NA
"cd1726506d5656033cd45dcaeeff1628","Bacteroidia","Cytophagales","Flammeovirgaceae","above","d__Bacteria","Bacteroidota",NA,NA
"2f7eceac769be5cf712cb12ed58adf5d","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","above","d__Bacteria","Proteobacteria",NA,NA
"8bd624435cbc1c114af0c85384141cd7","Alphaproteobacteria","Rhizobiales","Unclassified Rhizobiales","neutral","d__Bacteria","Proteobacteria",NA,NA
"0ef2aea4b1dcd545c78fc0ed9ca8329f","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","above","d__Bacteria","Proteobacteria",NA,NA
"80939c455319192ef5d75183020d5a83","NB1-j","NB1-j","NB1-j","above","d__Bacteria","NB1-j",NA,NA
"c791200fd55bf692191af32c14de58a9","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","neutral","d__Bacteria","Firmicutes",NA,NA
"fa4b244de4f513fbe376b1e03b638860","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","above","d__Bacteria","Actinobacteriota",NA,NA
"251734cc5d62aa36f1b7ec891710c138","Bacteroidia","Bacteroidales","Prolixibacteraceae","above","d__Bacteria","Bacteroidota",NA,NA
"3941f4ed6d883b7b74218c4d826987a8","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","above","d__Bacteria","Proteobacteria",NA,NA
"7067849d874daa76a54437ca53540d9c","Cyanobacteriia","Cyanobacteriales","Nostocaceae","neutral","d__Bacteria","Cyanobacteria",NA,NA
"d23931a93e4d0554b104bf85c767ff07","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae1","above","d__Bacteria","Proteobacteria",NA,NA
"2ad496f617fd25dfc3a3151074fff069","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","above","d__Bacteria","Cyanobacteria",NA,NA
"9e5ca1bd20bd457a1c266d7d0e83c0ec","Bacteroidia","Bacteroidales","Unclassified Bacteroidales","above","d__Bacteria","Bacteroidota",NA,NA
"0f309a35772d0b6d1a81a0b3701030f1","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"adbe52fa3684cfd8c329602a44f2f166","Gammaproteobacteria","HOC36","HOC36","above","d__Bacteria","Proteobacteria",NA,NA
"f953ae3d25209f3cfe74a2d17049c345","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","above","d__Bacteria","Firmicutes",NA,NA
"9ca5f6f460a06d143757143b3c38cc10","Gammaproteobacteria","BD7-8","BD7-8","neutral","d__Bacteria","Proteobacteria",NA,NA
"301ff7294412539a7cb66156be330637","Clostridia","Lachnospirales","Lachnospiraceae","above","d__Bacteria","Firmicutes",NA,NA
"9cf247accbb08102b02d5ab3db2da558","Bacilli","Lactobacillales","Leuconostocaceae","neutral","d__Bacteria","Firmicutes",NA,NA
"93e6dd7f5cff61b10508023b656f0428","Alphaproteobacteria","SAR11_clade","Clade_IV","above","d__Bacteria","Proteobacteria",NA,NA
"c3e53c139e2b77e01725dfe522cb8393","Bacteroidia","Chitinophagales","uncultured","above","d__Bacteria","Bacteroidota",NA,NA
"498ef5935a6ef1b3ec6f4a446c22e81b","Alphaproteobacteria","SAR11_clade","Clade_III","above","d__Bacteria","Proteobacteria",NA,NA
"b02b1920535dcd614c6bd39eb30a7259","Gammaproteobacteria","Coxiellales","Coxiellaceae","above","d__Bacteria","Proteobacteria",NA,NA
"84e6fe5b4a799fcff24a45e77b882538","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","above","d__Bacteria","Proteobacteria",NA,NA
"845c69f31c1f07179e7925fdf2f1ed81","Gammaproteobacteria","OM182_clade","OM182_clade","above","d__Bacteria","Proteobacteria",NA,NA
"fe91b708e4f90914a272e639da3d7c42","Rhodothermia","Balneolales","Balneolaceae","above","d__Bacteria","Bacteroidota",NA,NA
"7adf8968e7bb40c15df1b4c10a5d8c13","Bacteroidia","Flavobacteriales","NS7_marine_group","above","d__Bacteria","Bacteroidota",NA,NA
"915ec277ffc66e7a75ef315a32e95fd3","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","above","d__Bacteria","Proteobacteria",NA,NA
"f303a0054921b750324599549983d8ce","Cyanobacteriia","Cyanobacteriales","Microcystaceae","neutral","d__Bacteria","Cyanobacteria",NA,NA
