"id","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f2d486003e6dd4ac1614f06780b288b2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia","Woeseia uncultured_bacterium"
"3aa6716402cb244c38c681b05ed1f121","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"c7e8ad8c7a45349a609da8a17ceb6659","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"4a89eb3342f0af1fd5600f45d63fe469","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"5835c0e995842a229d388b33dee4b0e9","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"d8d667e0dc97034da77a41a5ca016a26","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"0bd0c82e4a6bbae5574cb6ebf164cca5","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"fd0ddde52f9956bfe49ea116957affe8","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"59aa8dd7cdf6f5798fef877f731f6b4d","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"128fdcfc9449b5af851751255fa31399","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"6e9eba73e37d43de2b5348378a70f2de","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"1a9c19d3518b06f07d971f9314d59af6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"f571de329f19ca45898d545122b1dc34","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Candidatus_Obscuribacter","Candidatus_Obscuribacter uncultured_bacterium"
"14a21b46630e5114d26ce9d1c2ef062d","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"578b43fe67026f8d044daeba16bf1cd7","d__Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","Obscuribacteraceae uncultured_bacterium"
"349e5cee0ddc895828f896cce323e838","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales uncultured_bacterium"
"f5abc6525119fef9527cabd7a337fd02","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales uncultured_bacterium"
"395c52ea59da6ee9ca5a7f38d559045d","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales uncultured_bacterium"
"3bd3a656b3f73ea104afa2c20252dc48","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Unclassified  Vampirovibrionales"
"781f7a03b587df5613ef1d70af2693f5","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales uncultured_bacterium"
"2d63a2b1c9057c16ec812ee9251ec538","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Unclassified  Vampirovibrionales"
"29483c751540f67b35f1ce9844ba395d","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Unclassified Vampirovibrionales","Unclassified Vampirovibrionales","Unclassified Vampirovibrionales"
"1dd9d3077a2d541098cec318c2438c1a","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionales","Vampirovibrionales","Unclassified  Vampirovibrionales"
